HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00291/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00291/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: ModNation™ Racers
LDR: ! Serial: NPEA00291
LDR: ! Elf path: /dev_hdd0/game/NPEA00291/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xdd6c380000, g_priv_addr = 0xde6c380000
MEM: ! Memory initialized.
LDR: W Unknown module 'cellJpgEnc'
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0xd54dc4)
LDR: ! Imported function 'cellFsAioFinish' in 'sys_fs' module (0xd54dfc)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0xd54e34)
LDR: ! Imported function 'cellFsGetFreeSize' in 'sys_fs' module (0xd54e6c)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0xd54ea4)
LDR: E Unimplemented function 'cellFsUtime' in 'sys_fs' module (0xd54edc)
LDR: ! Imported function 'cellFsAioInit' in 'sys_fs' module (0xd54f14)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0xd54f4c)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0xd54f84)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0xd54fbc)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0xd54ff4)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0xd5502c)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0xd55064)
LDR: W Unknown module 'cellSync'
LDR: ! Imported function 'cellSyncMutexUnlock' in 'cellSync' module (0xd5509c)
LDR: ! Imported function 'cellSyncMutexInitialize' in 'cellSync' module (0xd550d4)
LDR: ! Imported function 'cellSyncMutexTryLock' in 'cellSync' module (0xd5510c)
LDR: ! Imported function 'cellGameCreateGameData' in 'cellGame' module (0xd55144)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0xd5517c)
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module (0xd551b4)
LDR: ! Imported function 'cellGameDataCheck' in 'cellGame' module (0xd551ec)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0xd55224)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0xd5525c)
LDR: ! Imported function '_sys_net_errno_loc' in 'sys_net' module (0xd55294)
LDR: ! Imported function 'connect' in 'sys_net' module (0xd552cc)
LDR: ! Imported function 'socketclose' in 'sys_net' module (0xd55304)
LDR: ! Imported function 'gethostbyname' in 'sys_net' module (0xd5533c)
LDR: ! Imported function 'socket' in 'sys_net' module (0xd55374)
LDR: ! Imported function '_sys_net_h_errno_loc' in 'sys_net' module (0xd553ac)
LDR: ! Imported function 'inet_addr' in 'sys_net' module (0xd553e4)
LDR: ! Imported function 'send' in 'sys_net' module (0xd5541c)
LDR: ! Imported function 'recv' in 'sys_net' module (0xd55454)
LDR: ! Imported function 'recvfrom' in 'sys_net' module (0xd56fe4)
LDR: ! Imported function 'listen' in 'sys_net' module (0xd5701c)
LDR: ! Imported function 'socketselect' in 'sys_net' module (0xd57054)
LDR: ! Imported function 'inet_ntoa' in 'sys_net' module (0xd5708c)
LDR: ! Imported function 'setsockopt' in 'sys_net' module (0xd570c4)
LDR: ! Imported function 'sendto' in 'sys_net' module (0xd570fc)
LDR: ! Imported function 'shutdown' in 'sys_net' module (0xd57134)
LDR: ! Imported function 'inet_aton' in 'sys_net' module (0xd5716c)
LDR: ! Imported function 'bind' in 'sys_net' module (0xd571a4)
LDR: ! Imported function 'sys_net_show_ifconfig' in 'sys_net' module (0xd571dc)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0xd57214)
LDR: ! Imported function 'accept' in 'sys_net' module (0xd5724c)
LDR: ! Imported function 'socketpoll' in 'sys_net' module (0xd584e4)
LDR: ! Imported function 'getpeername' in 'sys_net' module (0xd5851c)
LDR: ! Imported function 'cellNetCtlGetInfo' in 'cellNetCtl' module (0xd5548c)
LDR: ! Imported function 'cellNetCtlGetState' in 'cellNetCtl' module (0xd554c4)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0xd554fc)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0xd57284)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0xd572bc)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0xd572f4)
LDR: ! Imported function 'cellNetCtlAddHandler' in 'cellNetCtl' module (0xd58554)
LDR: ! Imported function 'cellNetCtlDelHandler' in 'cellNetCtl' module (0xd5858c)
LDR: ! Imported function 'cellRtcSetWin32FileTime' in 'cellRtc' module (0xd55534)
LDR: ! Imported function 'cellRtcSetTick' in 'cellRtc' module (0xd5556c)
LDR: ! Imported function 'cellRtcGetCurrentTick' in 'cellRtc' module (0xd555a4)
LDR: ! Imported function 'cellRtcConvertUtcToLocalTime' in 'cellRtc' module (0xd555dc)
LDR: ! Imported function 'cellRtcParseDateTime' in 'cellRtc' module (0xd55614)
LDR: ! Imported function 'cellRtcGetWin32FileTime' in 'cellRtc' module (0xd5564c)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0xd55684)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0xd556bc)
LDR: ! Imported function 'sceNpBasicSendMessageGui' in 'sceNp' module (0xd5732c)
LDR: ! Imported function 'sceNpManagerGetTicket' in 'sceNp' module (0xd57364)
LDR: ! Imported function 'sceNpBasicAddBlockListEntry' in 'sceNp' module (0xd5739c)
LDR: ! Imported function 'sceNpBasicAddFriend' in 'sceNp' module (0xd573d4)
LDR: ! Imported function 'sceNpBasicGetFriendPresenceByIndex' in 'sceNp' module (0xd5740c)
LDR: ! Imported function 'sceNpBasicRegisterContextSensitiveHandler' in 'sceNp' module (0xd57444)
LDR: ! Imported function 'sceNpBasicAbortGui' in 'sceNp' module (0xd5747c)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0xd574b4)
LDR: ! Imported function 'sceNpManagerUnregisterCallback' in 'sceNp' module (0xd574ec)
LDR: ! Imported function 'sceNpLookupDestroyTitleCtx' in 'sceNp' module (0xd57524)
LDR: ! Imported function 'sceNpLookupInit' in 'sceNp' module (0xd5755c)
LDR: ! Imported function 'sceNpSignalingActivateConnection' in 'sceNp' module (0xd57594)
LDR: ! Imported function 'sceNpSignalingCreateCtx' in 'sceNp' module (0xd575cc)
LDR: ! Imported function 'sceNpBasicRecvMessageAttachmentLoad' in 'sceNp' module (0xd57604)
LDR: ! Imported function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module (0xd5763c)
LDR: ! Imported function 'sceNpBasicGetBlockListEntryCount' in 'sceNp' module (0xd57674)
LDR: ! Imported function 'sceNpLookupPollAsync' in 'sceNp' module (0xd576ac)
LDR: ! Imported function 'sceNpBasicRecvMessageCustom' in 'sceNp' module (0xd576e4)
LDR: ! Imported function 'sceNpManagerRequestTicket2' in 'sceNp' module (0xd5771c)
LDR: ! Imported function 'sceNpLookupTerm' in 'sceNp' module (0xd57754)
LDR: ! Imported function 'sceNpSignalingTerminateConnection' in 'sceNp' module (0xd5778c)
LDR: ! Imported function 'sceNpBasicGetPlayersHistoryEntryCount' in 'sceNp' module (0xd577c4)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0xd577fc)
LDR: ! Imported function 'sceNpSignalingDestroyCtx' in 'sceNp' module (0xd57834)
LDR: ! Imported function 'sceNpBasicUnregisterHandler' in 'sceNp' module (0xd5786c)
LDR: ! Imported function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module (0xd578a4)
LDR: ! Imported function 'sceNpBasicGetPlayersHistoryEntry' in 'sceNp' module (0xd578dc)
LDR: ! Imported function 'sceNpBasicAddPlayersHistoryAsync' in 'sceNp' module (0xd57914)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0xd5794c)
LDR: ! Imported function 'sceNpBasicSetPresenceDetails' in 'sceNp' module (0xd57984)
LDR: ! Imported function 'sceNpSignalingGetConnectionStatus' in 'sceNp' module (0xd579bc)
LDR: ! Imported function 'sceNpLookupCreateTitleCtx' in 'sceNp' module (0xd579f4)
LDR: ! Imported function 'sceNpLookupNpIdAsync' in 'sceNp' module (0xd57a2c)
LDR: ! Imported function 'sceNpUtilCmpNpId' in 'sceNp' module (0xd57a64)
LDR: ! Imported function 'sceNpBasicGetEvent' in 'sceNp' module (0xd57a9c)
LDR: ! Imported function 'sceNpManagerRegisterCallback' in 'sceNp' module (0xd57ad4)
LDR: ! Imported function 'sceNpLookupCreateTransactionCtx' in 'sceNp' module (0xd57b0c)
LDR: ! Imported function 'sceNpManagerGetChatRestrictionFlag' in 'sceNp' module (0xd57b44)
LDR: ! Imported function 'sceNpBasicSendMessage' in 'sceNp' module (0xd57b7c)
LDR: ! Imported function 'sceNpFriendlist' in 'sceNp' module (0xd57bb4)
LDR: ! Imported function 'sceNpBasicGetBlockListEntry' in 'sceNp' module (0xd57bec)
LDR: ! Imported function 'sceNpFriendlistAbortGui' in 'sceNp' module (0xd57c24)
LDR: ! Imported function 'sceNpLookupDestroyTransactionCtx' in 'sceNp' module (0xd57c5c)
LDR: ! Imported function 'sceNpManagerGetAvatarUrl' in 'sceNp' module (0xd585c4)
LDR: ! Imported function 'sceNpBasicSetPresence' in 'sceNp' module (0xd585fc)
LDR: ! Imported function 'sceNpManagerRequestTicket' in 'sceNp' module (0xd58634)
LDR: ! Imported function 'sceNpManagerGetAccountRegion' in 'sceNp' module (0xd5866c)
LDR: ! Imported function 'sceNpBasicRegisterHandler' in 'sceNp' module (0xd586a4)
LDR: ! Imported function 'sceNpManagerGetOnlineId' in 'sceNp' module (0xd586dc)
LDR: ! Imported function '_cellSpursLFQueueInitialize' in 'cellSpurs' module (0xd556f4)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0xd5572c)
LDR: ! Imported function 'cellSpursAttributeEnableSpuPrintfIfAvailable' in 'cellSpurs' module (0xd55764)
LDR: ! Imported function '_cellSpursTasksetAttributeInitialize' in 'cellSpurs' module (0xd5579c)
LDR: ! Imported function 'cellSpursLFQueueAttachLv2EventQueue' in 'cellSpurs' module (0xd557d4)
LDR: ! Imported function 'cellSpursCreateTaskWithAttribute' in 'cellSpurs' module (0xd5580c)
LDR: ! Imported function '_cellSpursLFQueuePopBody' in 'cellSpurs' module (0xd55844)
LDR: ! Imported function 'cellSpursTasksetAttributeSetName' in 'cellSpurs' module (0xd5587c)
LDR: ! Imported function 'cellSpursLFQueueDetachLv2EventQueue' in 'cellSpurs' module (0xd558b4)
LDR: ! Imported function '_cellSpursLFQueuePushBody' in 'cellSpurs' module (0xd558ec)
LDR: ! Imported function 'cellSpursTasksetAttributeSetTasksetSize' in 'cellSpurs' module (0xd55924)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0xd5595c)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0xd55994)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0xd559cc)
LDR: ! Imported function 'cellSpursAttributeSetSpuThreadGroupType' in 'cellSpurs' module (0xd55a04)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0xd55a3c)
LDR: ! Imported function '_cellSpursTaskAttributeInitialize' in 'cellSpurs' module (0xd55a74)
LDR: ! Imported function 'cellSpursCreateTasksetWithAttribute' in 'cellSpurs' module (0xd55aac)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0xd55ae4)
LDR: ! Imported function 'cellSpursCreateJobChainWithAttribute' in 'cellSpurs' module (0xd581d4)
LDR: ! Imported function 'cellSpursTaskExitCodeInitialize' in 'cellSpurs' module (0xd5820c)
LDR: ! Imported function '_cellSpursJobChainAttributeInitialize' in 'cellSpurs' module (0xd58244)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0xd5827c)
LDR: ! Imported function 'cellSpursJobGuardInitialize' in 'cellSpurs' module (0xd582b4)
LDR: ! Imported function 'cellSpursShutdownJobChain' in 'cellSpurs' module (0xd582ec)
LDR: ! Imported function 'cellSpursTaskAttributeSetExitCodeContainer' in 'cellSpurs' module (0xd58324)
LDR: ! Imported function 'cellSpursJoinJobChain' in 'cellSpurs' module (0xd5835c)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0xd58394)
LDR: ! Imported function 'cellSpursJobGuardNotify' in 'cellSpurs' module (0xd583cc)
LDR: ! Imported function 'cellSpursRunJobChain' in 'cellSpurs' module (0xd58404)
LDR: ! Imported function 'cellPadClearBuf' in 'sys_io' module (0xd55b1c)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0xd55b54)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0xd55b8c)
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module (0xd55bc4)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0xd55bfc)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0xd55c34)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0xd55c6c)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0xd55ca4)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0xd55cdc)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0xd55d14)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0xd55d4c)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0xd55d84)
LDR: ! Imported function 'sceNpTrophyAbortHandle' in 'sceNpTrophy' module (0xd55dbc)
LDR: ! Imported function 'sceNpTrophyGetGameInfo' in 'sceNpTrophy' module (0xd55df4)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0xd55e2c)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0xd55e64)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0xd55e9c)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0xd55ed4)
LDR: ! Imported function 'sceNpTrophyGetTrophyInfo' in 'sceNpTrophy' module (0xd55f0c)
LDR: W Unknown module 'cellPhotoUtility'
LDR: E Unimplemented function 'cellPhotoExportInitialize2' in 'cellPhotoUtility' module (0xd55f44)
LDR: E Unimplemented function 'cellPhotoExportFromFile' in 'cellPhotoUtility' module (0xd55f7c)
LDR: E Unimplemented function 'cellPhotoExportFinalize' in 'cellPhotoUtility' module (0xd55fb4)
LDR: ! Imported function 'cellUserInfoGetStat' in 'cellUserInfo' module (0xd55fec)
LDR: ! Imported function 'cellUserInfoGetList' in 'cellUserInfo' module (0xd56024)
LDR: ! Imported function 'sceNpCommerce2DoCheckoutStartAsync' in 'sceNpCommerce2' module (0xd5605c)
LDR: ! Imported function 'sceNpCommerce2DestroyReq' in 'sceNpCommerce2' module (0xd56094)
LDR: ! Imported function 'sceNpCommerce2Init' in 'sceNpCommerce2' module (0xd560cc)
LDR: ! Imported function 'sceNpCommerce2GetCategoryContentsStart' in 'sceNpCommerce2' module (0xd56104)
LDR: ! Imported function 'sceNpCommerce2Term' in 'sceNpCommerce2' module (0xd5613c)
LDR: ! Imported function 'sceNpCommerce2CreateSessionAbort' in 'sceNpCommerce2' module (0xd56174)
LDR: ! Imported function 'sceNpCommerce2DestroyCtx' in 'sceNpCommerce2' module (0xd561ac)
LDR: ! Imported function 'sceNpCommerce2GetCategoryContentsCreateReq' in 'sceNpCommerce2' module (0xd561e4)
LDR: ! Imported function 'sceNpCommerce2AbortReq' in 'sceNpCommerce2' module (0xd5621c)
LDR: ! Imported function 'sceNpCommerce2GetProductInfoStart' in 'sceNpCommerce2' module (0xd56254)
LDR: ! Imported function 'sceNpCommerce2CreateSessionFinish' in 'sceNpCommerce2' module (0xd5628c)
LDR: ! Imported function 'sceNpCommerce2GetContentInfo' in 'sceNpCommerce2' module (0xd562c4)
LDR: ! Imported function 'sceNpCommerce2DestroyGetCategoryContentsResult' in 'sceNpCommerce2' module (0xd562fc)
LDR: ! Imported function 'sceNpCommerce2GetProductInfoCreateReq' in 'sceNpCommerce2' module (0xd56334)
LDR: ! Imported function 'sceNpCommerce2GetCategoryInfo' in 'sceNpCommerce2' module (0xd5636c)
LDR: ! Imported function 'sceNpCommerce2GetProductInfoGetResult' in 'sceNpCommerce2' module (0xd563a4)
LDR: ! Imported function 'sceNpCommerce2GetCategoryContentsGetResult' in 'sceNpCommerce2' module (0xd563dc)
LDR: ! Imported function 'sceNpCommerce2CreateSessionStart' in 'sceNpCommerce2' module (0xd56414)
LDR: ! Imported function 'sceNpCommerce2DoCheckoutFinishAsync' in 'sceNpCommerce2' module (0xd5644c)
LDR: ! Imported function 'sceNpCommerce2InitGetCategoryContentsResult' in 'sceNpCommerce2' module (0xd56484)
LDR: ! Imported function 'sceNpCommerce2CreateCtx' in 'sceNpCommerce2' module (0xd564bc)
LDR: ! Imported function 'sceNpCommerce2GetPrice' in 'sceNpCommerce2' module (0xd564f4)
LDR: ! Imported function 'sceNpCommerce2GetGameSkuInfoFromGameProductInfo' in 'sceNpCommerce2' module (0xd5652c)
LDR: ! Imported function 'sceNpCommerce2GetGameProductInfoFromContentInfo' in 'sceNpCommerce2' module (0xd56564)
