HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
G: W rfile_t::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/PS3_GAME/USRDIR/BOOT.BIN', 0x1) failed: error 0x3
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Dante's Inferno™ HDD EN/FR/ES
LDR: ! Serial: NPEB00548
G: W rfile_t::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x7ec0c20000, g_priv_addr = 0x7fc0c20000
MEM: ! Memory initialized.
LDR: ! Imported function 'sceNpManagerGetOnlineName' in 'sceNp' module (0xef44cc)
LDR: ! Imported function 'sceNpLookupDestroyTransactionCtx' in 'sceNp' module (0xef44ec)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0xef450c)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0xef452c)
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module (0xef454c)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0xef456c)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0xef458c)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0xef45ac)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0xef45cc)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0xef45ec)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0xef460c)
LDR: ! Imported function 'cellGcmSetDebugOutputLevel' in 'cellGcmSys' module (0xef462c)
LDR: ! Imported function 'cellGcmGetVBlankCount' in 'cellGcmSys' module (0xef464c)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0xef466c)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0xef468c)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0xef46ac)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0xef46cc)
LDR: ! Imported function 'cellGcmResetFlipStatus' in 'cellGcmSys' module (0xef46ec)
LDR: ! Imported function 'cellGcmSetDefaultCommandBuffer' in 'cellGcmSys' module (0xef470c)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0xef472c)
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module (0xef474c)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0xef476c)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0xef478c)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0xef47ac)
LDR: ! Imported function 'socketpoll' in 'sys_net' module (0xef47cc)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0xef47ec)
LDR: ! Imported function 'getsockname' in 'sys_net' module (0xef480c)
LDR: ! Imported function 'recvfrom' in 'sys_net' module (0xef482c)
LDR: ! Imported function 'listen' in 'sys_net' module (0xef484c)
LDR: ! Imported function 'socketselect' in 'sys_net' module (0xef486c)
LDR: ! Imported function 'getsockopt' in 'sys_net' module (0xef488c)
LDR: ! Imported function '_sys_net_errno_loc' in 'sys_net' module (0xef48ac)
LDR: ! Imported function 'connect' in 'sys_net' module (0xef48cc)
LDR: ! Imported function 'socketclose' in 'sys_net' module (0xef48ec)
LDR: ! Imported function 'gethostbyname' in 'sys_net' module (0xef490c)
LDR: ! Imported function 'setsockopt' in 'sys_net' module (0xef492c)
LDR: ! Imported function 'sys_net_abort_resolver' in 'sys_net' module (0xef494c)
LDR: ! Imported function 'sendto' in 'sys_net' module (0xef496c)
LDR: ! Imported function 'socket' in 'sys_net' module (0xef498c)
LDR: ! Imported function 'shutdown' in 'sys_net' module (0xef49ac)
LDR: ! Imported function 'bind' in 'sys_net' module (0xef49cc)
LDR: ! Imported function 'sys_net_show_ifconfig' in 'sys_net' module (0xef49ec)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0xef4a0c)
LDR: ! Imported function 'accept' in 'sys_net' module (0xef4a2c)
LDR: ! Imported function 'inet_addr' in 'sys_net' module (0xef4a4c)
LDR: ! Imported function 'send' in 'sys_net' module (0xef4a6c)
LDR: ! Imported function 'getpeername' in 'sys_net' module (0xef4a8c)
LDR: ! Imported function 'recv' in 'sys_net' module (0xef4aac)
LDR: ! Imported function 'sys_net_free_thread_context' in 'sys_net' module (0xef4acc)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0xef4aec)
LDR: ! Imported function 'cellNetCtlAddHandler' in 'cellNetCtl' module (0xef4b0c)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0xef4b2c)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0xef4b4c)
LDR: ! Imported function 'cellNetCtlGetInfo' in 'cellNetCtl' module (0xef4b6c)
LDR: ! Imported function 'cellNetCtlGetState' in 'cellNetCtl' module (0xef4b8c)
LDR: ! Imported function 'cellNetCtlDelHandler' in 'cellNetCtl' module (0xef4bac)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0xef4bcc)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0xef4bec)
LDR: ! Imported function 'cellKbClearBuf' in 'sys_io' module (0xef4c0c)
LDR: ! Imported function 'cellKbGetInfo' in 'sys_io' module (0xef4c2c)
LDR: ! Imported function 'cellKbSetLEDStatus' in 'sys_io' module (0xef4c4c)
LDR: ! Imported function 'cellKbInit' in 'sys_io' module (0xef4c6c)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0xef4c8c)
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module (0xef4cac)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0xef4ccc)
LDR: ! Imported function 'cellKbSetCodeType' in 'sys_io' module (0xef4cec)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0xef4d0c)
LDR: ! Imported function 'cellKbEnd' in 'sys_io' module (0xef4d2c)
LDR: ! Imported function 'cellKbSetReadMode' in 'sys_io' module (0xef4d4c)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0xef4d6c)
LDR: ! Imported function 'cellKbRead' in 'sys_io' module (0xef4d8c)
LDR: ! Imported function 'cellFsRmdir' in 'sys_fs' module (0xef4dac)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0xef4dcc)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0xef4dec)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0xef4e0c)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0xef4e2c)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0xef4e4c)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0xef4e6c)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0xef4e8c)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0xef4eac)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0xef4ecc)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0xef4eec)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0xef4f0c)
LDR: ! Imported function 'cellFsRename' in 'sys_fs' module (0xef4f2c)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0xef4f4c)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0xef4f6c)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0xef4f8c)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0xef4fac)
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0xef4fcc)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0xef4fec)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0xef500c)
LDR: ! Imported function 'cellSaveDataListLoad2' in 'cellSysutil' module (0xef502c)
LDR: ! Imported function 'cellSysCacheMount' in 'cellSysutil' module (0xef504c)
LDR: ! Imported function 'cellMsgDialogClose' in 'cellSysutil' module (0xef506c)
LDR: ! Imported function 'cellSysutilEnableBgmPlayback' in 'cellSysutil' module (0xef508c)
LDR: ! Imported function 'cellSaveDataFixedLoad2' in 'cellSysutil' module (0xef50ac)
LDR: ! Imported function 'cellSaveDataFixedSave2' in 'cellSysutil' module (0xef50cc)
LDR: ! Imported function 'cellSaveDataListSave2' in 'cellSysutil' module (0xef50ec)
LDR: E Unimplemented function 'cellOskDialogUnloadAsync' in 'cellSysutil' module (0xef510c)
LDR: ! Imported function 'cellMsgDialogOpenErrorCode' in 'cellSysutil' module (0xef512c)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0xef514c)
LDR: E Unimplemented function 'cellOskDialogDisableDimmer' in 'cellSysutil' module (0xef516c)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0xef518c)
LDR: ! Imported function 'cellMsgDialogAbort' in 'cellSysutil' module (0xef51ac)
LDR: ! Imported function 'cellSysCacheClear' in 'cellSysutil' module (0xef51cc)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0xef51ec)
LDR: ! Imported function 'cellAudioOutGetDeviceInfo' in 'cellSysutil' module (0xef520c)
LDR: E Unimplemented function 'cellOskDialogLoadAsync' in 'cellSysutil' module (0xef522c)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0xef524c)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0xef526c)
LDR: ! Imported function 'cellMsgDialogProgressBarInc' in 'cellSysutil' module (0xef528c)
LDR: ! Imported function 'cellMsgDialogProgressBarSetMsg' in 'cellSysutil' module (0xef52ac)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0xef52cc)
LDR: ! Imported function 'cellSysutilGetBgmPlaybackStatus' in 'cellSysutil' module (0xef52ec)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0xef530c)
LDR: E Unimplemented function 'cellGameDataGetSizeKB' in 'cellSysutil' module (0xef532c)
LDR: E Unimplemented function 'cellOskDialogSetKeyLayoutOption' in 'cellSysutil' module (0xef534c)
LDR: E Unimplemented function 'cellOskDialogAbort' in 'cellSysutil' module (0xef536c)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0xef538c)
LDR: E Unimplemented function 'cellOskDialogSetInitialKeyLayout' in 'cellSysutil' module (0xef53ac)
LDR: ! Imported function 'cellGameDataCheckCreate2' in 'cellSysutil' module (0xef53cc)
LDR: ! Imported function 'cellSaveDataFixedDelete' in 'cellSysutil' module (0xef53ec)
LDR: ! Imported function 'cellSysutilDisableBgmPlayback' in 'cellSysutil' module (0xef540c)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0xef542c)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0xef544c)
LDR: E Unimplemented function 'cellOskDialogSetLayoutMode' in 'cellSysutil' module (0xef546c)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0xef548c)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0xef54ac)
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module (0xef54cc)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0xef54ec)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0xef550c)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0xef552c)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0xef554c)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0xef556c)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0xef558c)
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module (0xef55ac)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0xef55cc)
LDR: ! Imported function 'cellSpursWorkloadAttributeSetName' in 'cellSpurs' module (0xef55ec)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0xef560c)
LDR: ! Imported function 'cellSpursRemoveWorkload' in 'cellSpurs' module (0xef562c)
LDR: ! Imported function 'cellSpursWaitForWorkloadShutdown' in 'cellSpurs' module (0xef564c)
LDR: ! Imported function 'cellSpursGetSpuThreadId' in 'cellSpurs' module (0xef566c)
LDR: ! Imported function 'cellSpursWakeUp' in 'cellSpurs' module (0xef568c)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0xef56ac)
