HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00280/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00280/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Shadow of the Colossus™ (PlayStation®Store)
LDR: ! Serial: NPEA00280
LDR: ! Elf path: /dev_hdd0/game/NPEA00280/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xd04e00000, g_priv_addr = 0xe04e00000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x4eb834)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x4eb854)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x4eb874)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x4eb894)
LDR: ! Imported function 'cellFsAioCancel' in 'sys_fs' module (0x4eb8b4)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x4eb8d4)
LDR: ! Imported function 'cellFsAioRead' in 'sys_fs' module (0x4eb8f4)
LDR: ! Imported function 'cellFsAioInit' in 'sys_fs' module (0x4eb914)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x4eb934)
LDR: ! Imported function 'cellFsRmdir' in 'sys_fs' module (0x4ec6d4)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0x4ec6f4)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0x4ec714)
LDR: ! Imported function 'cellFsSdataOpenByFd' in 'sys_fs' module (0x4ec734)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0x4ec754)
LDR: ! Imported function 'cellFsFsync' in 'sys_fs' module (0x4ec774)
LDR: ! Imported function 'cellFsGetFreeSize' in 'sys_fs' module (0x4ec794)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0x4ec7b4)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0x4ec7d4)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x4ec7f4)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0x4ec814)
LDR: ! Imported function '_cellSpursLFQueueInitialize' in 'cellSpurs' module (0x4eb994)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0x4eb9b4)
LDR: ! Imported function 'cellSpursAttributeEnableSpuPrintfIfAvailable' in 'cellSpurs' module (0x4eb9d4)
LDR: ! Imported function '_cellSpursTasksetAttributeInitialize' in 'cellSpurs' module (0x4eb9f4)
LDR: ! Imported function 'cellSpursLFQueueAttachLv2EventQueue' in 'cellSpurs' module (0x4eba14)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x4eba34)
LDR: ! Imported function 'cellSpursInitializeWithAttribute2' in 'cellSpurs' module (0x4eba54)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x4eba74)
LDR: ! Imported function 'cellSpursCreateTaskset2' in 'cellSpurs' module (0x4eba94)
LDR: ! Imported function 'cellSpursEventFlagClear' in 'cellSpurs' module (0x4ebab4)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0x4ebad4)
LDR: ! Imported function 'cellSpursCreateTaskset' in 'cellSpurs' module (0x4ebaf4)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x4ebb14)
LDR: ! Imported function 'cellSpursTasksetAttributeSetName' in 'cellSpurs' module (0x4ebb34)
LDR: ! Imported function 'cellSpursLFQueueDetachLv2EventQueue' in 'cellSpurs' module (0x4ebb54)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x4ebb74)
LDR: ! Imported function '_cellSpursLFQueuePushBody' in 'cellSpurs' module (0x4ebb94)
LDR: ! Imported function '_cellSpursTaskAttribute2Initialize' in 'cellSpurs' module (0x4ebbb4)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0x4ebbd4)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0x4ebbf4)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0x4ebc14)
LDR: ! Imported function 'cellSpursAttributeSetSpuThreadGroupType' in 'cellSpurs' module (0x4ebc34)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0x4ebc54)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0x4ebc74)
LDR: ! Imported function 'cellSpursCreateTasksetWithAttribute' in 'cellSpurs' module (0x4ebc94)
LDR: ! Imported function '_cellSpursTasksetAttribute2Initialize' in 'cellSpurs' module (0x4ebcb4)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0x4ebcd4)
LDR: ! Imported function '_cellSpursSendSignal' in 'cellSpurs' module (0x4ebcf4)
LDR: ! Imported function 'cellSpursCreateTask2' in 'cellSpurs' module (0x4ebd14)
LDR: ! Imported function 'cellSpursCreateTaskWithAttribute' in 'cellSpurs' module (0x4ec834)
LDR: ! Imported function 'cellSpursBarrierInitialize' in 'cellSpurs' module (0x4ec854)
LDR: ! Imported function 'cellSpursTaskGetContextSaveAreaSize' in 'cellSpurs' module (0x4ec874)
LDR: ! Imported function '_cellSpursTaskAttributeInitialize' in 'cellSpurs' module (0x4ec894)
LDR: ! Imported function 'cellSpursJobQueueAttributeSetDoBusyWaiting' in 'cellSpursJq' module (0x4ebd34)
LDR: ! Imported function 'cellSpursJobQueueAttributeSetSubmitWithEntryLock' in 'cellSpursJq' module (0x4ebd54)
LDR: ! Imported function 'cellSpursJobQueueAttributeSetMaxSizeJobDescriptor' in 'cellSpursJq' module (0x4ebd74)
LDR: ! Imported function 'cellSpursJobQueueAttributeInitialize' in 'cellSpursJq' module (0x4ebd94)
LDR: ! Imported function 'cellSpursJobQueueAttributeSetIsJobTypeMemoryCheck' in 'cellSpursJq' module (0x4ebdb4)
LDR: ! Imported function 'cellSpursShutdownJobQueue' in 'cellSpursJq' module (0x4ebdd4)
LDR: ! Imported function 'cellSpursJoinJobQueue' in 'cellSpursJq' module (0x4ebdf4)
LDR: ! Imported function '_cellSpursJobQueuePort2PushJobListBody' in 'cellSpursJq' module (0x4ebe14)
LDR: ! Imported function 'cellSpursJobQueuePort2Destroy' in 'cellSpursJq' module (0x4ebe34)
LDR: ! Imported function '_cellSpursJobQueuePort2PushJobBody' in 'cellSpursJq' module (0x4ebe54)
LDR: ! Imported function 'cellSpursJobQueueAttributeSetGrabParameters' in 'cellSpursJq' module (0x4ebe74)
LDR: ! Imported function 'cellSpursJobQueuePort2Create' in 'cellSpursJq' module (0x4ebe94)
LDR: ! Imported function '_cellSpursCreateJobQueue' in 'cellSpursJq' module (0x4ebeb4)
LDR: ! Imported function 'cellSpursJobQueuePort2Sync' in 'cellSpursJq' module (0x4ebed4)
LDR: ! Imported function 'cellSpursJobQueueAttributeSetIsHaltOnError' in 'cellSpursJq' module (0x4ebef4)
LDR: W Unknown module 'cellSync'
LDR: ! Imported function 'cellSyncLFQueueSize' in 'cellSync' module (0x4ebf14)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x4ebf34)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x4ebf54)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0x4ebf74)
LDR: ! Imported function 'cellSysmoduleInitialize' in 'cellSysmodule' module (0x4ec8b4)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0x4ebf94)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x4ebfb4)
LDR: ! Imported function 'cellSysCacheMount' in 'cellSysutil' module (0x4ebfd4)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x4ebff4)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0x4ec014)
LDR: ! Imported function 'cellSysCacheClear' in 'cellSysutil' module (0x4ec034)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0x4ec054)
LDR: ! Imported function 'cellAudioOutGetDeviceInfo' in 'cellSysutil' module (0x4ec074)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x4ec094)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x4ec0b4)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x4ec0d4)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0x4ec0f4)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x4ec114)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x4ec134)
LDR: ! Imported function 'cellAudioOutGetNumberOfDevice' in 'cellSysutil' module (0x4ec154)
LDR: ! Imported function 'cellAudioOutGetConfiguration' in 'cellSysutil' module (0x4ec174)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x4ec194)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x4ec1b4)
LDR: W Unknown module 'cellSysutilAvconfExt'
LDR: ! Imported function 'cellVideoOutSetGamma' in 'cellSysutilAvconfExt' module (0x4ec1d4)
LDR: ! Imported function 'cellVideoOutGetScreenSize' in 'cellSysutilAvconfExt' module (0x4ec1f4)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0x4ec214)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0x4ec234)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0x4ec254)
LDR: ! Imported function 'sceNpDrmIsAvailable2' in 'sceNp' module (0x4ec8d4)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0x4ec274)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0x4ec294)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0x4ec2b4)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0x4ec2d4)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0x4ec2f4)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0x4ec314)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0x4ec334)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0x4ec354)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0x4ec374)
LDR: ! Imported function 'cellGameGetParamString' in 'cellGame' module (0x4ec394)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0x4ec3b4)
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module (0x4ec3d4)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0x4ec3f4)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0x4ec414)
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module (0x4ec434)
LDR: ! Imported function 'cellGcmSetPrepareFlip' in 'cellGcmSys' module (0x4ec454)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x4ec474)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0x4ec494)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0x4ec4b4)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0x4ec4d4)
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0x4ec4f4)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0x4ec514)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0x4ec534)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0x4ec554)
LDR: ! Imported function 'cellGcmSetFlipImmediate' in 'cellGcmSys' module (0x4ec574)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0x4ec594)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0x4ec5b4)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x4ec5d4)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0x4ec5f4)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x4ec8f4)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x4ec914)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0x4ec934)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0x4ec954)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0x4ec974)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x4ec994)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x4ec614)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x4ec634)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x4ec654)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x4ec674)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x4ec694)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x4ec6b4)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x4ec9b4)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x4ec9d4)
LDR: ! Imported function 'sys_lwcond_destroy' in 'sysPrxForUser' module (0x4ec9f4)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x4eca14)
LDR: ! Imported function 'sys_prx_load_module' in 'sysPrxForUser' module (0x4eca34)
LDR: ! Imported function 'sys_lwcond_wait' in 'sysPrxForUser' module (0x4eca54)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x4eca74)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x4eca94)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x4ecab4)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0x4ecad4)
LDR: ! Imported function '_sys_spu_printf_initialize' in 'sysPrxForUser' module (0x4ecaf4)
LDR: ! Imported function 'sys_process_is_stack' in 'sysPrxForUser' module (0x4ecb14)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0x4ecb34)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0x4ecb54)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0x4ecb74)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0x4ecb94)
LDR: E Unimplemented function 'sys_prx_load_module_on_memcontainer_by_fd' in 'sysPrxForUser' module (0x4ecbb4)
LDR: ! Imported function 'sys_ppu_thread_once' in 'sysPrxForUser' module (0x4ecbd4)
LDR: ! Imported function 'sys_prx_load_module_on_memcontainer' in 'sysPrxForUser' module (0x4ecbf4)
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module (0x4ecc14)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0x4ecc34)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0x4ecc54)
LDR: ! Imported function 'sys_lwcond_create' in 'sysPrxForUser' module (0x4ecc74)
LDR: ! Imported function '_sys_spu_printf_finalize' in 'sysPrxForUser' module (0x4ecc94)
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module (0x4eccb4)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0x4eccd4)
LDR: ! Imported function 'sys_lwcond_signal_all' in 'sysPrxForUser' module (0x4eccf4)
LDR: E Unimplemented function 'sys_prx_load_module_by_fd' in 'sysPrxForUser' module (0x4ecd14)
LDR: ! Imported function 'sys_lwcond_signal' in 'sysPrxForUser' module (0x4ecd34)
HLE: ! sysPrxForUser: Thread Local Storage initialized (g_tls_start=0x1f54000, user_size=0x238)
*** TLS segment addr: 0x00739c50
*** TLS segment size: 0x00000004
LDR: E 'BreakPoints.dat' is broken (version=0xdae0, break_count=0x0, marked_count=0x93173968, length=0x6)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f54b0, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x0044ffc8]} sys_memory: sys_memory_get_user_memory_size(mem_info_addr=0xd000fc04)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f52b8, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f4608, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f4630, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f4658, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f4540, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f4568, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f4590, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f45b8, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f45e0, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000020, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x200000a0, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000130, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000190, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x200001d0, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000210, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x200002d0, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000300, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000330, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000360, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x20000390, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x200003c0, attr=*0x4f5d18)
HLE: W {PPU[0x1] Thread (main_thread)[0x0043f490]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fb20, summertime_addr=0xd000fb24)
HLE: W {PPU[0x1] Thread (main_thread)[0x0043f490]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[0x1] Thread (main_thread)[0x0043f490]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[0x1] Thread (main_thread)[0x00446750]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fa70, summertime_addr=0xd000fa74)
HLE: W {PPU[0x1] Thread (main_thread)[0x00446750]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[0x1] Thread (main_thread)[0x00446750]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[0x1] Thread (main_thread)[0x00440f00]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fb20, summertime_addr=0xd000fb24)
HLE: W {PPU[0x1] Thread (main_thread)[0x00440f00]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[0x1] Thread (main_thread)[0x00440f00]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[0x1] Thread (main_thread)[0x00446750]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fa70, summertime_addr=0xd000fa74)
HLE: W {PPU[0x1] Thread (main_thread)[0x00446750]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[0x1] Thread (main_thread)[0x00446750]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[0x1] Thread (main_thread)[0x0043f434]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fb20, summertime_addr=0xd000fb24)
HLE: W {PPU[0x1] Thread (main_thread)[0x0043f434]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[0x1] Thread (main_thread)[0x0043f434]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[0x1] Thread (main_thread)[0x00440f00]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fb20, summertime_addr=0xd000fb24)
HLE: W {PPU[0x1] Thread (main_thread)[0x00440f00]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[0x1] Thread (main_thread)[0x00440f00]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[0x1] Thread (main_thread)[0x004eca94]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16f40b8, attr=*0xd000fb50)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ec0d4]} cellSysutil: cellSysutilRegisterCallback(slot=0, func_addr=0x723a70, userdata=0x0)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ebf54]} cellSysmodule: cellSysmoduleLoadModule(id=0x0043: CELL_SYSMODULE_FIBER)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ebf54]} cellSysmodule: cellSysmoduleLoadModule(id=0x0011: CELL_SYSMODULE_AUDIO)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ebf54]} cellSysmodule: cellSysmoduleLoadModule(id=0x000e: CELL_SYSMODULE_FS)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ebf54]} cellSysmodule: cellSysmoduleLoadModule(id=0x000a: CELL_SYSMODULE_SPURS)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ebf54]} cellSysmodule: cellSysmoduleLoadModule(id=0x0010: CELL_SYSMODULE_GCM_SYS)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ebf54]} cellSysmodule: cellSysmoduleLoadModule(id=0x0017: CELL_SYSMODULE_IO)
HLE: W {PPU[0x1] Thread (main_thread)[0x004ebf54]} cellSysmodule: cellSysmoduleLoadModule(id=0x0009: CELL_SYSMODULE_RTC)
