HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00279/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEA00279/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: ICO™ (PlayStation®Store)
LDR: ! Serial: NPEA00279
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xf6596c0000, g_priv_addr = 0xf7596c0000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellFsSdataOpenByFd' in 'sys_fs' module (0x3bdd9c)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0x3bddbc)
LDR: ! Imported function 'cellFsFsync' in 'sys_fs' module (0x3bdddc)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x3bddfc)
LDR: ! Imported function 'cellFsGetFreeSize' in 'sys_fs' module (0x3bde1c)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0x3bde3c)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0x3bde5c)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x3bde7c)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0x3bde9c)
LDR: ! Imported function 'cellRtcGetCurrentClockLocalTime' in 'cellRtc' module (0x3bd11c)
LDR: ! Imported function '_cellSpursLFQueueInitialize' in 'cellSpurs' module (0x3bd13c)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0x3bd15c)
LDR: ! Imported function 'cellSpursAttributeEnableSpuPrintfIfAvailable' in 'cellSpurs' module (0x3bd17c)
LDR: ! Imported function '_cellSpursTasksetAttributeInitialize' in 'cellSpurs' module (0x3bd19c)
LDR: ! Imported function 'cellSpursLFQueueAttachLv2EventQueue' in 'cellSpurs' module (0x3bd1bc)
LDR: ! Imported function 'cellSpursCreateTaskWithAttribute' in 'cellSpurs' module (0x3bd1dc)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x3bd1fc)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x3bd21c)
LDR: ! Imported function 'cellSpursCreateTaskset2' in 'cellSpurs' module (0x3bd23c)
LDR: ! Imported function 'cellSpursEventFlagClear' in 'cellSpurs' module (0x3bd25c)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x3bd27c)
LDR: ! Imported function 'cellSpursTasksetAttributeSetName' in 'cellSpurs' module (0x3bd29c)
LDR: ! Imported function 'cellSpursLFQueueDetachLv2EventQueue' in 'cellSpurs' module (0x3bd2bc)
LDR: ! Imported function 'cellSpursBarrierInitialize' in 'cellSpurs' module (0x3bd2dc)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x3bd2fc)
LDR: ! Imported function '_cellSpursLFQueuePushBody' in 'cellSpurs' module (0x3bd31c)
LDR: ! Imported function '_cellSpursTaskAttribute2Initialize' in 'cellSpurs' module (0x3bd33c)
LDR: ! Imported function 'cellSpursTaskGetContextSaveAreaSize' in 'cellSpurs' module (0x3bd35c)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0x3bd37c)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0x3bd39c)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0x3bd3bc)
LDR: ! Imported function 'cellSpursAttributeSetSpuThreadGroupType' in 'cellSpurs' module (0x3bd3dc)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0x3bd3fc)
LDR: ! Imported function '_cellSpursTaskAttributeInitialize' in 'cellSpurs' module (0x3bd41c)
LDR: ! Imported function 'cellSpursCreateTasksetWithAttribute' in 'cellSpurs' module (0x3bd43c)
LDR: ! Imported function '_cellSpursTasksetAttribute2Initialize' in 'cellSpurs' module (0x3bd45c)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0x3bd47c)
LDR: ! Imported function '_cellSpursSendSignal' in 'cellSpurs' module (0x3bd49c)
LDR: ! Imported function 'cellSpursCreateTask2' in 'cellSpurs' module (0x3bd4bc)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0x3bdebc)
LDR: ! Imported function 'cellSpursCreateTaskset' in 'cellSpurs' module (0x3bdedc)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0x3bdefc)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0x3bdf1c)
LDR: ! Imported function 'cellSyncLFQueueSize' in 'cellSync' module (0x3bd4dc)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x3bd4fc)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x3bd51c)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0x3bd53c)
LDR: ! Imported function 'cellSysmoduleInitialize' in 'cellSysmodule' module (0x3bdf3c)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0x3bd55c)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x3bd57c)
LDR: ! Imported function 'cellSysCacheMount' in 'cellSysutil' module (0x3bd59c)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x3bd5bc)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0x3bd5dc)
LDR: ! Imported function 'cellSysCacheClear' in 'cellSysutil' module (0x3bd5fc)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0x3bd61c)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x3bd63c)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x3bd65c)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x3bd67c)
LDR: ! Imported function 'cellVideoOutGetResolutionAvailability' in 'cellSysutil' module (0x3bd69c)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x3bd6bc)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x3bd6dc)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x3bd6fc)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x3bd71c)
LDR: ! Imported function 'cellAudioOutGetDeviceInfo' in 'cellSysutil' module (0x3bdf5c)
LDR: ! Imported function 'cellAudioOutGetNumberOfDevice' in 'cellSysutil' module (0x3bdf7c)
LDR: ! Imported function 'cellAudioOutGetConfiguration' in 'cellSysutil' module (0x3bdf9c)
LDR: W Unknown module 'cellSysutilAvconfExt'
LDR: ! Imported function 'cellVideoOutSetGamma' in 'cellSysutilAvconfExt' module (0x3bd73c)
LDR: ! Imported function 'cellVideoOutGetScreenSize' in 'cellSysutilAvconfExt' module (0x3bd75c)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0x3bd77c)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0x3bd79c)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0x3bd7bc)
LDR: ! Imported function 'sceNpDrmIsAvailable2' in 'sceNp' module (0x3bdfbc)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0x3bd7dc)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0x3bd7fc)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0x3bd81c)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0x3bd83c)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0x3bd85c)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0x3bd87c)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0x3bd89c)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0x3bd8bc)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0x3bd8dc)
LDR: ! Imported function 'cellGameGetParamString' in 'cellGame' module (0x3bd8fc)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0x3bd91c)
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module (0x3bd93c)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0x3bd95c)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0x3bd97c)
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module (0x3bd99c)
LDR: ! Imported function 'cellGcmSetPrepareFlip' in 'cellGcmSys' module (0x3bd9bc)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x3bd9dc)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0x3bd9fc)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0x3bda1c)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0x3bda3c)
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0x3bda5c)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0x3bda7c)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0x3bda9c)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0x3bdabc)
LDR: ! Imported function 'cellGcmSetFlipImmediate' in 'cellGcmSys' module (0x3bdadc)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0x3bdafc)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0x3bdb1c)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x3bdb3c)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0x3bdb5c)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x3bdfdc)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x3bdffc)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0x3be01c)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0x3be03c)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0x3be05c)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x3be07c)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x3bdb7c)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x3bdb9c)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x3bdbbc)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x3bdbdc)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x3bdbfc)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x3bdc1c)
LDR: ! Imported function 'cellVdecOpenEx' in 'libvdec' module (0x3bdc3c)
LDR: ! Imported function 'cellVdecClose' in 'libvdec' module (0x3bdc5c)
LDR: ! Imported function 'cellVdecGetPicItem' in 'libvdec' module (0x3bdc7c)
LDR: ! Imported function 'cellVdecDecodeAu' in 'libvdec' module (0x3bdc9c)
LDR: ! Imported function 'cellVdecGetPicture' in 'libvdec' module (0x3bdcbc)
LDR: ! Imported function 'cellVdecEndSeq' in 'libvdec' module (0x3bdcdc)
LDR: ! Imported function 'cellVdecStartSeq' in 'libvdec' module (0x3bdcfc)
LDR: ! Imported function 'cellVdecQueryAttrEx' in 'libvdec' module (0x3bdd1c)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x3be09c)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x3be0bc)
LDR: ! Imported function 'sys_lwcond_destroy' in 'sysPrxForUser' module (0x3be0dc)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x3be0fc)
LDR: ! Imported function 'sys_prx_load_module' in 'sysPrxForUser' module (0x3be11c)
LDR: ! Imported function 'sys_lwcond_wait' in 'sysPrxForUser' module (0x3be13c)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x3be15c)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x3be17c)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x3be19c)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0x3be1bc)
LDR: ! Imported function '_sys_spu_printf_initialize' in 'sysPrxForUser' module (0x3be1dc)
LDR: ! Imported function 'sys_process_is_stack' in 'sysPrxForUser' module (0x3be1fc)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0x3be21c)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0x3be23c)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0x3be25c)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0x3be27c)
LDR: E Unimplemented function 'sys_prx_load_module_on_memcontainer_by_fd' in 'sysPrxForUser' module (0x3be29c)
LDR: ! Imported function 'sys_ppu_thread_once' in 'sysPrxForUser' module (0x3be2bc)
LDR: ! Imported function 'sys_prx_load_module_on_memcontainer' in 'sysPrxForUser' module (0x3be2dc)
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module (0x3be2fc)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0x3be31c)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0x3be33c)
LDR: ! Imported function 'sys_lwcond_create' in 'sysPrxForUser' module (0x3be35c)
LDR: ! Imported function '_sys_spu_printf_finalize' in 'sysPrxForUser' module (0x3be37c)
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module (0x3be39c)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0x3be3bc)
LDR: ! Imported function 'sys_lwcond_signal_all' in 'sysPrxForUser' module (0x3be3dc)
LDR: E Unimplemented function 'sys_prx_load_module_by_fd' in 'sysPrxForUser' module (0x3be3fc)
LDR: ! Imported function 'sys_lwcond_signal' in 'sysPrxForUser' module (0x3be41c)
HLE: ! sysPrxForUser: Thread Local Storage initialized (g_tls_start=0x13e3000, user_size=0x238)
*** TLS segment addr: 0x004e1bf8
*** TLS segment size: 0x00000008
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc6728, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 3
HLE: W {PPU[1] Thread (main_thread)[0x0031c748]} sys_memory: sys_memory_get_user_memory_size(mem_info_addr=0xd000fc04)
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc6530, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 4
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc5880, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 5
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc58a8, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 6
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc58d0, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 7
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc57b8, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 8
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc57e0, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 9
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc5808, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 10
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc5830, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 11
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0xcc5858, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 12
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000020, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 13
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x200000a0, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 14
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000130, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 15
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000190, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 16
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x200001d0, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 17
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000210, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 18
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x200002d0, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 19
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000300, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 20
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000330, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 21
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000360, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 22
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20000390, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 23
HLE: W {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x200003c0, attr_addr=0x463f88)
HLE: ! {PPU[1] Thread (main_thread)[0x003be17c]} sys_lwmutex: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 24
HLE: W {PPU[1] Thread (main_thread)[0x0030bb30]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fb20, summertime_addr=0xd000fb24)
HLE: W {PPU[1] Thread (main_thread)[0x0030bb30]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[1] Thread (main_thread)[0x0030bb30]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[1] Thread (main_thread)[0x00312ed4]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fa70, summertime_addr=0xd000fa74)
HLE: W {PPU[1] Thread (main_thread)[0x00312ed4]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[1] Thread (main_thread)[0x00312ed4]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[1] Thread (main_thread)[0x0030d5a0]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fb20, summertime_addr=0xd000fb24)
HLE: W {PPU[1] Thread (main_thread)[0x0030d5a0]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[1] Thread (main_thread)[0x0030d5a0]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[1] Thread (main_thread)[0x00312ed4]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fa70, summertime_addr=0xd000fa74)
HLE: W {PPU[1] Thread (main_thread)[0x00312ed4]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[1] Thread (main_thread)[0x00312ed4]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
HLE: W {PPU[1] Thread (main_thread)[0x0030bad4]} sys_time: sys_time_get_timezone(timezone_addr=0xd000fb20, summertime_addr=0xd000fb24)
HLE: W {PPU[1] Thread (main_thread)[0x0030bad4]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_TIMEZONE
HLE: W {PPU[1] Thread (main_thread)[0x0030bad4]} cellSysutil: cellSysutilGetSystemParamInt: CELL_SYSUTIL_SYSTEMPARAM_ID_SUMMERTIME
