HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00223/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00223/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Ricochet HD
LDR: ! Serial: NPEB00223
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x6a27040000, g_priv_addr = 0x6b27040000
MEM: ! Memory initialized.
LDR: ! Imported function 'sceNpBasicGetEvent' in 'sceNp' module (0xabed24)
LDR: ! Imported function 'sceNpManagerRegisterCallback' in 'sceNp' module (0xabed44)
LDR: ! Imported function 'sceNpBasicSendMessage' in 'sceNp' module (0xabed64)
LDR: ! Imported function 'sceNpScoreAbortTransaction' in 'sceNp' module (0xabed84)
LDR: ! Imported function 'sceNpManagerGetOnlineName' in 'sceNp' module (0xabeda4)
LDR: ! Imported function 'sceNpScoreGetRankingByRange' in 'sceNp' module (0xabedc4)
LDR: ! Imported function 'sceNpSignalingDeactivateConnection' in 'sceNp' module (0xabede4)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0xabee04)
LDR: ! Imported function 'sceNpBasicSendMessageGui' in 'sceNp' module (0xac04a4)
LDR: ! Imported function 'sceNpManagerGetAccountAge' in 'sceNp' module (0xac04c4)
LDR: ! Imported function 'sceNpBasicRecvMessageAttachmentLoad' in 'sceNp' module (0xac04e4)
LDR: ! Imported function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module (0xac0504)
LDR: ! Imported function 'sceNpBasicRecvMessageCustom' in 'sceNp' module (0xac0524)
LDR: ! Imported function 'sceNpBasicGetCustomInvitationEntryCount' in 'sceNp' module (0xac0544)
LDR: ! Imported function 'sceNpManagerGetAccountRegion' in 'sceNp' module (0xac0564)
LDR: ! Imported function 'sceNpManagerGetNetworkTime' in 'sceNp' module (0xac0584)
LDR: ! Imported function 'sceNpScoreGetBoardInfo' in 'sceNp' module (0xac05a4)
LDR: W Unknown module 'sceNp2'
LDR: E Unimplemented function 'sceNpMatching2DestroyContext' in 'sceNp2' module (0xabee24)
LDR: E Unimplemented function 'sceNpMatching2GetWorldInfoList' in 'sceNp2' module (0xabee44)
LDR: E Unimplemented function 'sceNpMatching2SearchRoom' in 'sceNp2' module (0xabee64)
LDR: E Unimplemented function 'sceNpMatching2LeaveRoom' in 'sceNp2' module (0xabee84)
LDR: E Unimplemented function 'sceNpMatching2Term2' in 'sceNp2' module (0xabeea4)
LDR: E Unimplemented function 'sceNpMatching2GetServerInfo' in 'sceNp2' module (0xabeec4)
LDR: E Unimplemented function 'sceNpMatching2GetEventData' in 'sceNp2' module (0xabeee4)
LDR: ! Imported function 'sceNp2Init' in 'sceNp2' module (0xabef04)
LDR: E Unimplemented function 'sceNpMatching2JoinRoom' in 'sceNp2' module (0xabef24)
LDR: E Unimplemented function 'sceNpMatching2KickoutRoomMember' in 'sceNp2' module (0xabef44)
LDR: E Unimplemented function 'sceNpMatching2ContextStartAsync' in 'sceNp2' module (0xabef64)
LDR: E Unimplemented function 'sceNpMatching2RegisterContextCallback' in 'sceNp2' module (0xabef84)
LDR: E Unimplemented function 'sceNpMatching2GetServerIdListLocal' in 'sceNp2' module (0xabefa4)
LDR: E Unimplemented function 'sceNpMatching2CreateContext' in 'sceNp2' module (0xabefc4)
LDR: E Unimplemented function 'sceNpMatching2ClearEventData' in 'sceNp2' module (0xabefe4)
LDR: E Unimplemented function 'sceNpMatching2SetDefaultRequestOptParam' in 'sceNp2' module (0xabf004)
LDR: E Unimplemented function 'sceNpMatching2RegisterRoomEventCallback' in 'sceNp2' module (0xabf024)
LDR: E Unimplemented function 'sceNpMatching2GetRoomDataExternalList' in 'sceNp2' module (0xabf044)
LDR: E Unimplemented function 'sceNpMatching2CreateJoinRoom' in 'sceNp2' module (0xabf064)
LDR: E Unimplemented function 'sceNpMatching2ContextStop' in 'sceNp2' module (0xabf084)
LDR: E Unimplemented function 'sceNpMatching2Init2' in 'sceNp2' module (0xabf0a4)
LDR: E Unimplemented function 'sceNpMatching2RegisterRoomMessageCallback' in 'sceNp2' module (0xabf0c4)
LDR: ! Imported function 'sceNp2Term' in 'sceNp2' module (0xac05c4)
LDR: ! Imported function 'sceNpCommerce2GetStoreBrowseUserdata' in 'sceNpCommerce2' module (0xabf0e4)
LDR: ! Imported function 'sceNpCommerce2Init' in 'sceNpCommerce2' module (0xabf104)
LDR: ! Imported function 'sceNpCommerce2Term' in 'sceNpCommerce2' module (0xabf124)
LDR: ! Imported function 'sceNpCommerce2ExecuteStoreBrowse' in 'sceNpCommerce2' module (0xabf144)
LDR: ! Imported function 'socketpoll' in 'sys_net' module (0xabf164)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0xabf184)
LDR: ! Imported function 'recvfrom' in 'sys_net' module (0xabf1a4)
LDR: ! Imported function 'listen' in 'sys_net' module (0xabf1c4)
LDR: ! Imported function 'socketselect' in 'sys_net' module (0xabf1e4)
LDR: ! Imported function '_sys_net_errno_loc' in 'sys_net' module (0xabf204)
LDR: ! Imported function 'connect' in 'sys_net' module (0xabf224)
LDR: ! Imported function 'socketclose' in 'sys_net' module (0xabf244)
LDR: ! Imported function 'gethostbyname' in 'sys_net' module (0xabf264)
LDR: ! Imported function 'inet_ntoa' in 'sys_net' module (0xabf284)
LDR: ! Imported function 'setsockopt' in 'sys_net' module (0xabf2a4)
LDR: ! Imported function 'sys_net_abort_socket' in 'sys_net' module (0xabf2c4)
LDR: ! Imported function 'sendto' in 'sys_net' module (0xabf2e4)
LDR: ! Imported function 'socket' in 'sys_net' module (0xabf304)
LDR: ! Imported function 'shutdown' in 'sys_net' module (0xabf324)
LDR: ! Imported function 'sendmsg' in 'sys_net' module (0xabf344)
LDR: ! Imported function 'bind' in 'sys_net' module (0xabf364)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0xabf384)
LDR: ! Imported function 'accept' in 'sys_net' module (0xabf3a4)
LDR: ! Imported function 'inet_addr' in 'sys_net' module (0xabf3c4)
LDR: ! Imported function 'send' in 'sys_net' module (0xabf3e4)
LDR: ! Imported function 'getpeername' in 'sys_net' module (0xabf404)
LDR: ! Imported function 'recv' in 'sys_net' module (0xabf424)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0xabf444)
LDR: ! Imported function 'cellKbClearBuf' in 'sys_io' module (0xabf464)
LDR: ! Imported function 'cellKbInit' in 'sys_io' module (0xabf484)
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module (0xabf4a4)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0xabf4c4)
LDR: ! Imported function 'cellKbSetCodeType' in 'sys_io' module (0xabf4e4)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0xabf504)
LDR: ! Imported function 'cellKbEnd' in 'sys_io' module (0xabf524)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0xabf544)
LDR: ! Imported function 'cellKbRead' in 'sys_io' module (0xabf564)
LDR: ! Imported function 'cellPadClearBuf' in 'sys_io' module (0xabfe44)
LDR: ! Imported function 'cellKbGetInfo' in 'sys_io' module (0xabfe64)
LDR: ! Imported function 'cellMouseGetData' in 'sys_io' module (0xabfe84)
LDR: ! Imported function 'cellMouseClearBuf' in 'sys_io' module (0xabfea4)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0xabfec4)
LDR: ! Imported function 'cellMouseGetInfo' in 'sys_io' module (0xabfee4)
LDR: ! Imported function 'cellMouseInit' in 'sys_io' module (0xabff04)
LDR: ! Imported function 'cellKbSetReadMode' in 'sys_io' module (0xabff24)
LDR: ! Imported function 'cellMouseEnd' in 'sys_io' module (0xabff44)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0xabf584)
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module (0xabf5a4)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0xabf5c4)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0xabf5e4)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0xabf604)
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0xabf624)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0xabf644)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0xabf664)
LDR: E Unimplemented function 'cellOskDialogUnloadAsync' in 'cellSysutil' module (0xabf684)
LDR: E Unimplemented function 'cellOskDialogAddSupportLanguage' in 'cellSysutil' module (0xabf6a4)
LDR: E Unimplemented function 'cellOskDialogLoadAsync' in 'cellSysutil' module (0xabf6c4)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0xabf6e4)
LDR: ! Imported function 'cellSysutilGetSystemParamString' in 'cellSysutil' module (0xabf704)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0xabf724)
LDR: E Unimplemented function 'cellOskDialogSetKeyLayoutOption' in 'cellSysutil' module (0xabf744)
LDR: E Unimplemented function 'cellOskDialogAbort' in 'cellSysutil' module (0xabf764)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0xabf784)
LDR: ! Imported function 'cellMsgDialogClose' in 'cellSysutil' module (0xac07a4)
LDR: ! Imported function 'cellMsgDialogOpenErrorCode' in 'cellSysutil' module (0xac07c4)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0xac07e4)
LDR: ! Imported function 'cellMsgDialogAbort' in 'cellSysutil' module (0xac0804)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0xac0824)
LDR: ! Imported function 'cellAudioOutGetDeviceInfo' in 'cellSysutil' module (0xac0844)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0xac0864)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0xac0884)
LDR: ! Imported function 'cellAudioOutGetNumberOfDevice' in 'cellSysutil' module (0xac08a4)
LDR: ! Imported function 'cellAudioOutGetConfiguration' in 'cellSysutil' module (0xac08c4)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0xac08e4)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0xac0904)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0xac0924)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0xac0a64)
LDR: ! Imported function 'cellGcmInitCursor' in 'cellGcmSys' module (0xabf7a4)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0xabf7c4)
LDR: ! Imported function 'cellGcmSetCursorPosition' in 'cellGcmSys' module (0xabf7e4)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0xabf804)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0xabf824)
LDR: ! Imported function 'cellGcmIoOffsetToAddress' in 'cellGcmSys' module (0xabf844)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0xabf864)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0xabf884)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0xabf8a4)
LDR: ! Imported function 'cellGcmSetDebugOutputLevel' in 'cellGcmSys' module (0xabf8c4)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0xabf8e4)
LDR: ! Imported function 'cellGcmGetLastFlipTime' in 'cellGcmSys' module (0xabf904)
LDR: ! Imported function 'cellGcmMapEaIoAddress' in 'cellGcmSys' module (0xabf924)
LDR: ! Imported function 'cellGcmSetCursorDisable' in 'cellGcmSys' module (0xabf944)
LDR: ! Imported function 'cellGcmGetFlipStatus' in 'cellGcmSys' module (0xabf964)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0xabf984)
LDR: ! Imported function 'cellGcmGetReport' in 'cellGcmSys' module (0xabf9a4)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0xabf9c4)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0xabf9e4)
LDR: ! Imported function 'cellGcmMapMainMemory' in 'cellGcmSys' module (0xabfa04)
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0xabfa24)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0xabfa44)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0xabfa64)
LDR: ! Imported function 'cellGcmGetReportDataLocation' in 'cellGcmSys' module (0xabfa84)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0xabfaa4)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0xabfac4)
LDR: ! Imported function 'cellGcmResetFlipStatus' in 'cellGcmSys' module (0xabfae4)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0xabfb04)
LDR: ! Imported function 'cellGcmUpdateCursor' in 'cellGcmSys' module (0xabfb24)
LDR: ! Imported function 'cellGcmSetCursorEnable' in 'cellGcmSys' module (0xabfb44)
LDR: ! Imported function 'cellGcmSetGraphicsHandler' in 'cellGcmSys' module (0xabfb64)
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module (0xabfb84)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0xabfba4)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0xabfbc4)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0xabfbe4)
LDR: ! Imported function 'cellGcmSetCursorImageOffset' in 'cellGcmSys' module (0xabfc04)
LDR: ! Imported function 'cellRescGetNumColorBuffers' in 'cellResc' module (0xabfc24)
LDR: ! Imported function 'cellRescSetWaitFlip' in 'cellResc' module (0xabfc44)
LDR: ! Imported function 'cellRescSetDsts' in 'cellResc' module (0xabfc64)
LDR: ! Imported function 'cellRescResetFlipStatus' in 'cellResc' module (0xabfc84)
LDR: ! Imported function 'cellRescAdjustAspectRatio' in 'cellResc' module (0xabfca4)
LDR: ! Imported function 'cellRescSetDisplayMode' in 'cellResc' module (0xabfcc4)
LDR: ! Imported function 'cellRescSetConvertAndFlip' in 'cellResc' module (0xabfce4)
LDR: ! Imported function 'cellRescExit' in 'cellResc' module (0xabfd04)
LDR: ! Imported function 'cellRescSetFlipHandler' in 'cellResc' module (0xabfd24)
LDR: ! Imported function 'cellRescInit' in 'cellResc' module (0xabfd44)
LDR: ! Imported function 'cellRescGetBufferSize' in 'cellResc' module (0xabfd64)
LDR: ! Imported function 'cellRescGetLastFlipTime' in 'cellResc' module (0xabfd84)
LDR: ! Imported function 'cellRescSetSrc' in 'cellResc' module (0xabfda4)
LDR: ! Imported function 'cellRescSetBufferAddress' in 'cellResc' module (0xabfdc4)
LDR: ! Imported function 'cellRescGetFlipStatus' in 'cellResc' module (0xabfde4)
LDR: ! Imported function 'cellRescSetVBlankHandler' in 'cellResc' module (0xabfe04)
LDR: ! Imported function 'cellRescCreateInterlaceTable' in 'cellResc' module (0xabfe24)
LDR: ! Imported function 'cellFsStReadInit' in 'sys_fs' module (0xabff64)
LDR: ! Imported function 'cellFsStRead' in 'sys_fs' module (0xabff84)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0xabffa4)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0xabffc4)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0xabffe4)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0xac0004)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0xac0024)
LDR: ! Imported function 'cellFsStReadStart' in 'sys_fs' module (0xac0044)
LDR: ! Imported function 'cellFsFsync' in 'sys_fs' module (0xac0064)
LDR: ! Imported function 'cellFsGetDirectoryEntries' in 'sys_fs' module (0xac0084)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0xac00a4)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0xac00c4)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0xac00e4)
LDR: ! Imported function 'cellFsStReadFinish' in 'sys_fs' module (0xac0104)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0xac0124)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0xac0144)
LDR: ! Imported function 'cellFsStReadStop' in 'sys_fs' module (0xac0164)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0xac0184)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0xac01a4)
LDR: ! Imported function 'cellSpursRemoveWorkload' in 'cellSpurs' module (0xac01c4)
LDR: ! Imported function 'cellSpursWaitForWorkloadShutdown' in 'cellSpurs' module (0xac01e4)
LDR: ! Imported function 'cellSpursAddWorkload' in 'cellSpurs' module (0xac0204)
LDR: ! Imported function 'cellSpursWakeUp' in 'cellSpurs' module (0xac0224)
LDR: ! Imported function 'cellSpursShutdownWorkload' in 'cellSpurs' module (0xac0244)
LDR: ! Imported function '_cellSpursWorkloadFlagReceiver' in 'cellSpurs' module (0xac0264)
LDR: ! Imported function 'cellSpursInitialize' in 'cellSpurs' module (0xac0284)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0xac02a4)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0xac02c4)
LDR: ! Imported function 'cellSpursReadyCountStore' in 'cellSpurs' module (0xac02e4)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0xac0944)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0xac0964)
LDR: ! Imported function 'cellSpursCreateTaskset' in 'cellSpurs' module (0xac0984)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0xac09a4)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0xac09c4)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0xac09e4)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0xac0a04)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0xac0a24)
LDR: ! Imported function '_cellSpursSendSignal' in 'cellSpurs' module (0xac0a44)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0xac0304)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0xac0324)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0xac0344)
LDR: ! Imported function 'cellNetCtlGetInfo' in 'cellNetCtl' module (0xac0364)
LDR: ! Imported function 'cellNetCtlGetState' in 'cellNetCtl' module (0xac0384)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0xac03a4)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0xac03c4)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0xac03e4)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0xac0404)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0xac0424)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0xac0444)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0xac0464)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0xac0484)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0xac05e4)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0xac0604)
LDR: ! Imported function 'sceNpTrophySetSoundLevel' in 'sceNpTrophy' module (0xac0624)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0xac0644)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0xac0664)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0xac0684)
LDR: ! Imported function 'sceNpTrophyAbortHandle' in 'sceNpTrophy' module (0xac06a4)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0xac06c4)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0xac06e4)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0xac0704)
LDR: ! Imported function 'sceNpTrophyGetTrophyUnlockState' in 'sceNpTrophy' module (0xac0724)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0xac0744)
LDR: ! Imported function 'sceNpTrophyGetTrophyInfo' in 'sceNpTrophy' module (0xac0764)
LDR: ! Imported function 'cellRtcGetCurrentTick' in 'cellRtc' module (0xac0784)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0xac0a84)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0xac0aa4)
LDR: ! Imported function 'sys_lwcond_destroy' in 'sysPrxForUser' module (0xac0ac4)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0xac0ae4)
LDR: ! Imported function 'sys_lwcond_wait' in 'sysPrxForUser' module (0xac0b04)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0xac0b24)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0xac0b44)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0xac0b64)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0xac0b84)
LDR: E Unimplemented function 'sys_prx_get_my_module_id' in 'sysPrxForUser' module (0xac0ba4)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0xac0bc4)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0xac0be4)
LDR: ! Imported function 'sys_prx_get_module_info' in 'sysPrxForUser' module (0xac0c04)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0xac0c24)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0xac0c44)
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module (0xac0c64)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0xac0c84)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0xac0ca4)
LDR: ! Imported function 'sys_lwcond_create' in 'sysPrxForUser' module (0xac0cc4)
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module (0xac0ce4)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0xac0d04)
LDR: ! Imported function 'sys_lwcond_signal_all' in 'sysPrxForUser' module (0xac0d24)
LDR: ! Imported function 'sys_lwcond_signal' in 'sysPrxForUser' module (0xac0d44)
HLE: ! sysPrxForUser: Thread Local Storage initialized (g_tls_start=0xec9000, user_size=0x2e4)
*** TLS segment addr: 0x00be533c
*** TLS segment size: 0x00000004
