·! LDR: Title: Virtua Fighter 5 Final Showdown
·! LDR: **** cellAudio import: [cellAudioInit] -> 0x6cec80
·! LDR: **** cellAudio import: [cellAudioSetNotifyEventQueue] -> 0x6ceca0
·! LDR: **** cellAudio import: [cellAudioGetPortTimestamp] -> 0x6cecc0
·! LDR: **** cellAudio import: [cellAudioPortClose] -> 0x6cece0
·! LDR: **** cellAudio import: [cellAudioPortStop] -> 0x6ced00
·! LDR: **** cellAudio import: [cellAudioGetPortConfig] -> 0x6ced20
·! LDR: **** cellAudio import: [cellAudioPortStart] -> 0x6ced40
·! LDR: **** cellAudio import: [cellAudioQuit] -> 0x6ced60
·! LDR: **** cellAudio import: [cellAudioPortOpen] -> 0x6ced80
·! LDR: **** cellAudio import: [cellAudioGetPortBlockTag] -> 0x6ceda0
·! LDR: **** cellAudio import: [cellAudioRemoveNotifyEventQueue] -> 0x6cedc0

·! LDR: ** Imported module 'cellRtc' (0x0, 0x0)
·! LDR: **** cellRtc import: [cellRtcGetCurrentClockLocalTime] -> 0x6cede0
·! LDR: **** cellRtc import: [cellRtcSetTick] -> 0x6cee00
·! LDR: **** cellRtc import: [cellRtcGetCurrentTick] -> 0x6cee20
·! LDR: **** cellRtc import: [cellRtcConvertUtcToLocalTime] -> 0x6cee40
·! LDR: **** cellRtc import: [cellRtcGetTime_t] -> 0x6cee60

·! LDR: ** Imported module 'cellSync' (0x0, 0x0)
·! LDR: **** cellSync import: [cellSyncMutexUnlock] -> 0x6cee80
·! LDR: **** cellSync import: [cellSyncMutexInitialize] -> 0x6ceea0
·! LDR: **** cellSync import: [cellSyncMutexTryLock] -> 0x6ceec0
·! LDR: **** cellSync import: [cellSyncBarrierInitialize] -> 0x6d0780
·! LDR: **** cellSync import: [cellSyncBarrierTryWait] -> 0x6d07a0

·! LDR: ** Imported module 'cellSysutil' (0x0, 0x0)
·! LDR: **** cellSysutil import: [cellSysutilUnregisterCallback] -> 0x6ceee0
·! LDR: **** cellSysutil import: [cellVideoOutConfigure] -> 0x6cef00
·! LDR: **** cellSysutil import: [cellSysutilCheckCallback] -> 0x6cef20
·! LDR: **** cellSysutil import: [cellSaveDataListLoad2] -> 0x6cef40
·! LDR: **** cellSysutil import: [cellVideoOutGetDeviceInfo] -> 0x6cef60
·! LDR: **** cellSysutil import: [cellMsgDialogClose] -> 0x6cef80
·! LDR: **** cellSysutil import: [cellSysutilEnableBgmPlayback] -> 0x6cefa0
·! LDR: **** cellSysutil import: [cellSaveDataFixedLoad2] -> 0x6cefc0
·! LDR: **** cellSysutil import: [cellSaveDataFixedSave2] -> 0x6cefe0
·! LDR: **** cellSysutil import: [cellSaveDataListSave2] -> 0x6cf000
·! LDR: **** cellSysutil import: [cellOskDialogUnloadAsync] -> 0x6cf020
·! LDR: **** cellSysutil import: [cellSysutilGetSystemParamInt] -> 0x6cf040
·! LDR: **** cellSysutil import: [cellMsgDialogAbort] -> 0x6cf060
·! LDR: **** cellSysutil import: [cellVideoOutGetNumberOfDevice] -> 0x6cf080
·! LDR: **** cellSysutil import: [cellMsgDialogOpen2] -> 0x6cf0a0
·! LDR: **** cellSysutil import: [cellOskDialogLoadAsync] -> 0x6cf0c0
·! LDR: **** cellSysutil import: [cellVideoOutGetState] -> 0x6cf0e0
·! LDR: **** cellSysutil import: [cellSaveDataAutoSave2] -> 0x6cf100
·! LDR: **** cellSysutil import: [cellMsgDialogProgressBarInc] -> 0x6cf120
·! LDR: **** cellSysutil import: [cellSysutilRegisterCallback] -> 0x6cf140
·! LDR: **** cellSysutil import: [cellVideoOutGetResolutionAvailability] -> 0x6cf160
·! LDR: **** cellSysutil import: [cellOskDialogSetKeyLayoutOption] -> 0x6cf180
·! LDR: **** cellSysutil import: [cellOskDialogAbort] -> 0x6cf1a0
·! LDR: **** cellSysutil import: [cellVideoOutGetResolution] -> 0x6cf1c0
·! LDR: **** cellSysutil import: [cellSaveDataDelete2] -> 0x6cf1e0
·! LDR: **** cellSysutil import: [cellAudioOutGetState] -> 0x6cf200
·! LDR: **** cellSysutil import: [cellSaveDataAutoLoad2] -> 0x6cf220

·! LDR: ** Imported module 'cellGame' (0x0, 0x0)
·! LDR: **** cellGame import: [cellGameGetParamString] -> 0x6cf240
·! LDR: **** cellGame import: [cellGameContentPermit] -> 0x6cf260
·! LDR: **** cellGame import: [cellGameContentErrorDialog] -> 0x6cf280
·! LDR: **** cellGame import: [cellGameGetParamInt] -> 0x6cf2a0
·! LDR: **** cellGame import: [cellGamePatchCheck] -> 0x6cf2c0
·! LDR: **** cellGame import: [cellGameDataCheck] -> 0x6cf2e0
·! LDR: **** cellGame import: [cellGameBootCheck] -> 0x6cf300

·! LDR: ** Imported module 'cellSysmodule' (0x0, 0x0)
·! LDR: **** cellSysmodule import: [cellSysmoduleUnloadModule] -> 0x6cf320
·! LDR: **** cellSysmodule import: [cellSysmoduleLoadModule] -> 0x6cf340
·! LDR: **** cellSysmodule import: [cellSysmoduleInitialize] -> 0x6d07c0

·! LDR: ** Imported module 'cellSpurs' (0x0, 0x0)
·! LDR: **** cellSpurs import: [cellSpursQueueDetachLv2EventQueue] -> 0x6cf360
·! LDR: **** cellSpurs import: [_cellSpursQueueInitialize] -> 0x6cf380
·! LDR: **** cellSpurs import: [_cellSpursTasksetAttributeInitialize] -> 0x6cf3a0
·! LDR: **** cellSpurs import: [cellSpursDestroyTaskset2] -> 0x6cf3c0
·! LDR: **** cellSpurs import: [cellSpursEventFlagDetachLv2EventQueue] -> 0x6cf3e0
·! LDR: **** cellSpurs import: [cellSpursEventFlagWait] -> 0x6cf400
·! LDR: **** cellSpurs import: [cellSpursCreateTaskset2] -> 0x6cf420
·! LDR: **** cellSpurs import: [cellSpursEventFlagClear] -> 0x6cf440
·! LDR: **** cellSpurs import: [_cellSpursEventFlagInitialize] -> 0x6cf460
·! LDR: **** cellSpurs import: [cellSpursTasksetAttributeSetName] -> 0x6cf480
·! LDR: **** cellSpurs import: [cellSpursEventFlagAttachLv2EventQueue] -> 0x6cf4a0
·! LDR: **** cellSpurs import: [cellSpursQueuePopBody] -> 0x6cf4c0
·! LDR: **** cellSpurs import: [cellSpursQueuePushBody] -> 0x6cf4e0
·! LDR: **** cellSpurs import: [cellSpursJoinTaskset] -> 0x6cf500
·! LDR: **** cellSpurs import: [cellSpursShutdownTaskset] -> 0x6cf520
·! LDR: **** cellSpurs import: [cellSpursJoinTask2] -> 0x6cf540
·! LDR: **** cellSpurs import: [cellSpursInitialize] -> 0x6cf560
·! LDR: **** cellSpurs import: [cellSpursCreateTasksetWithAttribute] -> 0x6cf580
·! LDR: **** cellSpurs import: [_cellSpursTasksetAttribute2Initialize] -> 0x6cf5a0
·! LDR: **** cellSpurs import: [cellSpursFinalize] -> 0x6cf5c0
·! LDR: **** cellSpurs import: [cellSpursCreateTask2WithBinInfo] -> 0x6cf5e0
·! LDR: **** cellSpurs import: [cellSpursQueueAttachLv2EventQueue] -> 0x6cf600
·! LDR: **** cellSpurs import: [_cellSpursLFQueueInitialize] -> 0x6d07e0
·! LDR: **** cellSpurs import: [cellSpursLFQueueAttachLv2EventQueue] -> 0x6d0800
·! LDR: **** cellSpurs import: [cellSpursLFQueueDetachLv2EventQueue] -> 0x6d0820
·! LDR: **** cellSpurs import: [_cellSpursLFQueuePushBody] -> 0x6d0840
·! LDR: **** cellSpurs import: [cellSpursCreateTask] -> 0x6d0860

·! LDR: ** Imported module 'cellResc' (0x0, 0x0)
·! LDR: **** cellResc import: [cellRescGcmSurface2RescSrc] -> 0x6cf620
·! LDR: **** cellResc import: [cellRescSetDsts] -> 0x6cf640
·! LDR: **** cellResc import: [cellRescSetDisplayMode] -> 0x6cf660
·! LDR: **** cellResc import: [cellRescSetConvertAndFlip] -> 0x6cf680
·! LDR: **** cellResc import: [cellRescExit] -> 0x6cf6a0
·! LDR: **** cellResc import: [cellRescSetFlipHandler] -> 0x6cf6c0
·! LDR: **** cellResc import: [cellRescInit] -> 0x6cf6e0
·! LDR: **** cellResc import: [cellRescGetBufferSize] -> 0x6cf700
·! LDR: **** cellResc import: [cellRescSetSrc] -> 0x6cf720
·! LDR: **** cellResc import: [cellRescSetBufferAddress] -> 0x6cf740
·! LDR: **** cellResc import: [cellRescVideoOutResolutionId2RescBufferMode] -> 0x6cf760
·! LDR: **** cellResc import: [cellRescSetVBlankHandler] -> 0x6cf780

·! LDR: ** Imported module 'sceNp' (0x0, 0x0)
·! LDR: **** sceNp import: [sceNpBasicSendMessageGui] -> 0x6cf7a0
·! LDR: **** sceNp import: [sceNpBasicGetFriendListEntry] -> 0x6cf7c0
·! LDR: **** sceNp import: [sceNpScoreGetRankingByRangeAsync] -> 0x6cf7e0
·! LDR: **** sceNp import: [sceNpScoreDestroyTitleCtx] -> 0x6cf800
·! LDR: **** sceNp import: [sceNpScoreInit] -> 0x6cf820
·! LDR: **** sceNp import: [sceNpScoreGetRankingByNpIdAsync] -> 0x6cf840
·! LDR: **** sceNp import: [sceNpBasicRegisterContextSensitiveHandler] -> 0x6cf860
·! LDR: **** sceNp import: [sceNpManagerUnregisterCallback] -> 0x6cf880
·! LDR: **** sceNp import: [sceNpBasicRecvMessageAttachmentLoad] -> 0x6cf8a0
·! LDR: **** sceNp import: [sceNpManagerGetContentRatingFlag] -> 0x6cf8c0
·! LDR: **** sceNp import: [sceNpScoreCreateTransactionCtx] -> 0x6cf8e0
·! LDR: **** sceNp import: [sceNpBasicRecvMessageCustom] -> 0x6cf900
·! LDR: **** sceNp import: [sceNpScoreTerm] -> 0x6cf920
·! LDR: **** sceNp import: [sceNpScorePollAsync] -> 0x6cf940
·! LDR: **** sceNp import: [sceNpManagerGetStatus] -> 0x6cf960
·! LDR: **** sceNp import: [sceNpBasicUnregisterHandler] -> 0x6cf980
·! LDR: **** sceNp import: [sceNpBasicGetFriendListEntryCount] -> 0x6cf9a0
·! LDR: **** sceNp import: [sceNpManagerGetAccountRegion] -> 0x6cf9c0
·! LDR: **** sceNp import: [sceNpScoreCreateTitleCtx] -> 0x6cf9e0
·! LDR: **** sceNp import: [sceNpManagerGetNetworkTime] -> 0x6cfa00
·! LDR: **** sceNp import: [sceNpScoreDestroyTransactionCtx] -> 0x6cfa20
·! LDR: **** sceNp import: [sceNpProfileCallGui] -> 0x6cfa40
·! LDR: **** sceNp import: [sceNpUtilCmpNpId] -> 0x6cfa60
·! LDR: **** sceNp import: [sceNpScoreGetGameDataAsync] -> 0x6cfa80
·! LDR: **** sceNp import: [sceNpBasicGetEvent] -> 0x6cfaa0
·! LDR: **** sceNp import: [sceNpManagerRegisterCallback] -> 0x6cfac0
·! LDR: **** sceNp import: [sceNpManagerGetChatRestrictionFlag] -> 0x6cfae0
·! LDR: **** sceNp import: [sceNpScoreAbortTransaction] -> 0x6cfb00
·! LDR: **** sceNp import: [sceNpDrmIsAvailable2] -> 0x6cfb20
·! LDR: **** sceNp import: [sceNpFriendlist] -> 0x6cfb40
·! LDR: **** sceNp import: [sceNpScoreRecordScoreAsync] -> 0x6cfb60
·! LDR: **** sceNp import: [sceNpScoreRecordGameDataAsync] -> 0x6cfb80
·! LDR: **** sceNp import: [sceNpManagerGetNpId] -> 0x6cfba0

·! LDR: ** Imported module 'sceNp2' (0x0, 0x0)
·! LDR: **** sceNp2 import: [sceNpMatching2DestroyContext] -> 0x6cfbc0
·! LDR: **** sceNp2 import: [sceNpMatching2GetWorldInfoList] -> 0x6cfbe0
·! LDR: **** sceNp2 import: [sceNpMatching2SearchRoom] -> 0x6cfc00
·! LDR: **** sceNp2 import: [sceNpMatching2SignalingGetConnectionStatus] -> 0x6cfc20
·! LDR: **** sceNp2 import: [sceNpMatching2CreateServerContext] -> 0x6cfc40
·! LDR: **** sceNp2 import: [sceNpMatching2LeaveRoom] -> 0x6cfc60
·! LDR: **** sceNp2 import: [sceNpMatching2Term2] -> 0x6cfc80
·! LDR: **** sceNp2 import: [sceNpMatching2SignalingGetConnectionInfo] -> 0x6cfca0
·! LDR: **** sceNp2 import: [sceNpMatching2AbortRequest] -> 0x6cfcc0
·! LDR: **** sceNp2 import: [sceNpMatching2GetServerInfo] -> 0x6cfce0
·! LDR: **** sceNp2 import: [sceNpMatching2GetEventData] -> 0x6cfd00
·! LDR: **** sceNp2 import: [sceNpMatching2GetRoomSlotInfoLocal] -> 0x6cfd20
·! LDR: **** sceNp2 import: [sceNp2Init] -> 0x6cfd40
·! LDR: **** sceNp2 import: [sceNpMatching2JoinRoom] -> 0x6cfd60
·! LDR: **** sceNp2 import: [sceNpMatching2ContextStartAsync] -> 0x6cfd80
·! LDR: **** sceNp2 import: [sceNpMatching2RegisterContextCallback] -> 0x6cfda0
·! LDR: **** sceNp2 import: [sceNpMatching2SetRoomDataInternal] -> 0x6cfdc0
·! LDR: **** sceNp2 import: [sceNpMatching2GetServerIdListLocal] -> 0x6cfde0
·! LDR: **** sceNp2 import: [sceNpMatching2CreateContext] -> 0x6cfe00
·! LDR: **** sceNp2 import: [sceNpMatching2RegisterSignalingCallback] -> 0x6cfe20
·! LDR: **** sceNp2 import: [sceNp2Term] -> 0x6cfe40
·! LDR: **** sceNp2 import: [sceNpMatching2SetRoomMemberDataInternal] -> 0x6cfe60
·! LDR: **** sceNp2 import: [sceNpMatching2DeleteServerContext] -> 0x6cfe80
·! LDR: **** sceNp2 import: [sceNpMatching2RegisterRoomEventCallback] -> 0x6cfea0
·! LDR: **** sceNp2 import: [sceNpMatching2GetRoomPasswordLocal] -> 0x6cfec0
·! LDR: **** sceNp2 import: [sceNpMatching2CreateJoinRoom] -> 0x6cfee0
·! LDR: **** sceNp2 import: [sceNpMatching2ContextStop] -> 0x6cff00
·! LDR: **** sceNp2 import: [sceNpMatching2Init2] -> 0x6cff20

·! LDR: ** Imported module 'sceNpTrophy' (0x0, 0x0)
·! LDR: **** sceNpTrophy import: [sceNpTrophyRegisterContext] -> 0x6cff40
·! LDR: **** sceNpTrophy import: [sceNpTrophyCreateHandle] -> 0x6cff60
·! LDR: **** sceNpTrophy import: [sceNpTrophyGetRequiredDiskSpace] -> 0x6cff80
·! LDR: **** sceNpTrophy import: [sceNpTrophyDestroyContext] -> 0x6cffa0
·! LDR: **** sceNpTrophy import: [sceNpTrophyInit] -> 0x6cffc0
·! LDR: **** sceNpTrophy import: [sceNpTrophyDestroyHandle] -> 0x6cffe0
·! LDR: **** sceNpTrophy import: [sceNpTrophyUnlockTrophy] -> 0x6d0000
·! LDR: **** sceNpTrophy import: [sceNpTrophyTerm] -> 0x6d0020
·! LDR: **** sceNpTrophy import: [sceNpTrophyCreateContext] -> 0x6d0040

·! LDR: ** Imported module 'sceNpTus' (0x0, 0x0)
·! LDR: **** sceNpTus import: [sceNpTusCreateTransactionCtx] -> 0x6d0060
·! LDR: **** sceNpTus import: [sceNpTusPollAsync] -> 0x6d0080
·! LDR: **** sceNpTus import: [sceNpTusTerm] -> 0x6d00a0
·! LDR: **** sceNpTus import: [sceNpTusDestroyTitleCtx] -> 0x6d00c0
·! LDR: **** sceNpTus import: [sceNpTusAbortTransaction] -> 0x6d00e0
·! LDR: **** sceNpTus import: [sceNpTusDestroyTransactionCtx] -> 0x6d0100
·! LDR: **** sceNpTus import: [sceNpTusGetDataAsync] -> 0x6d0120
·! LDR: **** sceNpTus import: [sceNpTusCreateTitleCtx] -> 0x6d0140
·! LDR: **** sceNpTus import: [sceNpTusInit] -> 0x6d0160
·! LDR: **** sceNpTus import: [sceNpTusSetDataAsync] -> 0x6d0180

·! LDR: ** Imported module 'sceNpCommerce2' (0x0, 0x0)
·! LDR: **** sceNpCommerce2 import: [sceNpCommerce2Init] -> 0x6d01a0
·! LDR: **** sceNpCommerce2 import: [sceNpCommerce2Term] -> 0x6d01c0
·! LDR: **** sceNpCommerce2 import: [sceNpCommerce2ExecuteStoreBrowse] -> 0x6d01e0

·! LDR: ** Imported module 'sys_net' (0x0, 0x0)
·! LDR: **** sys_net import: [sys_net::sys_net_initialize_network_ex] -> 0x6d0200
·! LDR: **** sys_net import: [sys_net::socketclose] -> 0x6d0220
·! LDR: **** sys_net import: [sys_net::setsockopt] -> 0x6d0240
·! LDR: **** sys_net import: [sys_net::socket] -> 0x6d0260
·! LDR: **** sys_net import: [sys_net::bind] -> 0x6d0280
·! LDR: **** sys_net import: [sys_net::sys_net_finalize_network] -> 0x6d02a0

·! LDR: ** Imported module 'cellNetCtl' (0x0, 0x0)
·! LDR: **** cellNetCtl import: [cellNetCtlNetStartDialogLoadAsync] -> 0x6d02c0
·! LDR: **** cellNetCtl import: [cellNetCtlAddHandler] -> 0x6d02e0
·! LDR: **** cellNetCtl import: [cellNetCtlNetStartDialogUnloadAsync] -> 0x6d0300
·! LDR: **** cellNetCtl import: [cellNetCtlTerm] -> 0x6d0320
·! LDR: **** cellNetCtl import: [cellNetCtlGetNatInfo] -> 0x6d0340
·! LDR: **** cellNetCtl import: [cellNetCtlNetStartDialogAbortAsync] -> 0x6d0360
·! LDR: **** cellNetCtl import: [cellNetCtlGetState] -> 0x6d0380
·! LDR: **** cellNetCtl import: [cellNetCtlDelHandler] -> 0x6d03a0
·! LDR: **** cellNetCtl import: [cellNetCtlInit] -> 0x6d03c0

·! LDR: ** Imported module 'cellRudp' (0x0, 0x0)
·! LDR: **** cellRudp import: [cellRudpSetOption] -> 0x6d03e0
·! LDR: **** cellRudp import: [cellRudpWrite] -> 0x6d0400
·! LDR: **** cellRudp import: [cellRudpTerminate] -> 0x6d0420
·! LDR: **** cellRudp import: [cellRudpInit] -> 0x6d0440
·! LDR: **** cellRudp import: [cellRudpPollCreate] -> 0x6d0460
·! LDR: **** cellRudp import: [cellRudpEnableInternalIOThread] -> 0x6d0480
·! LDR: **** cellRudp import: [cellRudpCreateContext] -> 0x6d04a0
·! LDR: **** cellRudp import: [cellRudpSetEventHandler] -> 0x6d04c0
·! LDR: **** cellRudp import: [cellRudpPollDestroy] -> 0x6d04e0
·! LDR: **** cellRudp import: [cellRudpRead] -> 0x6d0500
·! LDR: **** cellRudp import: [cellRudpPollControl] -> 0x6d0520
·! LDR: **** cellRudp import: [cellRudpEnd] -> 0x6d0540
·! LDR: **** cellRudp import: [cellRudpInitiate] -> 0x6d0560
·! LDR: **** cellRudp import: [cellRudpPollWait] -> 0x6d0580
·! LDR: **** cellRudp import: [cellRudpBind] -> 0x6d05a0
·! LDR: **** cellRudp import: [cellRudpGetOption] -> 0x6d05c0

·! LDR: ** Imported module 'cellVoice' (0x0, 0x0)
·! LDR: **** cellVoice import: [cellVoiceStart] -> 0x6d05e0
·! LDR: **** cellVoice import: [cellVoiceDisconnectIPortFromOPort] -> 0x6d0600
·! LDR: **** cellVoice import: [cellVoiceCreatePort] -> 0x6d0620
·! LDR: **** cellVoice import: [cellVoiceReadFromOPort] -> 0x6d0640
·! LDR: **** cellVoice import: [cellVoiceWriteToIPort] -> 0x6d0660
·! LDR: **** cellVoice import: [cellVoiceDeletePort] -> 0x6d0680
·! LDR: **** cellVoice import: [cellVoiceConnectIPortToOPort] -> 0x6d06a0
·! LDR: **** cellVoice import: [cellVoiceInit] -> 0x6d06c0
·! LDR: **** cellVoice import: [cellVoiceStop] -> 0x6d06e0
·! LDR: **** cellVoice import: [cellVoiceEnd] -> 0x6d0700

·! LDR: ** Imported module 'sysPrxForUser' (0x0, 0x0)
·! LDR: **** sysPrxForUser import: [sys_lwmutex_lock] -> 0x6d0880
·! LDR: **** sysPrxForUser import: [sys_lwmutex_unlock] -> 0x6d08a0
·! LDR: **** sysPrxForUser import: [sys_lwcond_destroy] -> 0x6d08c0
·! LDR: **** sysPrxForUser import: [sys_ppu_thread_create] -> 0x6d08e0
·! LDR: **** sysPrxForUser import: [sys_prx_load_module] -> 0x6d0900
·! LDR: **** sysPrxForUser import: [sys_lwcond_wait] -> 0x6d0920
·! LDR: **** sysPrxForUser import: [_sys_process_atexitspawn] -> 0x6d0940
·! LDR: **** sysPrxForUser import: [sys_lwmutex_create] -> 0x6d0960
·! LDR: **** sysPrxForUser import: [sys_ppu_thread_get_id] -> 0x6d0980
·! LDR: **** sysPrxForUser import: [_sys_heap_malloc] -> 0x6d09a0
·! LDR: **** sysPrxForUser import: [sys_prx_register_library] -> 0x6d09c0
·! LDR: **** sysPrxForUser import: [_sys_heap_memalign] -> 0x6d09e0
·! LDR: **** sysPrxForUser import: [sys_process_is_stack] -> 0x6d0a00
·! LDR: **** sysPrxForUser import: [sys_get_random_number] -> 0x6d0a20
·! LDR: **** sysPrxForUser import: [sys_initialize_tls] -> 0x6d0a40
·! LDR: **** sysPrxForUser import: [sys_time_get_system_time] -> 0x6d0a60
·! LDR: **** sysPrxForUser import: [_sys_heap_free] -> 0x6d0a80
·! LDR: **** sysPrxForUser import: [_sys_process_at_Exitspawn] -> 0x6d0aa0
·! LDR: **** sysPrxForUser import: [sys_prx_exitspawn_with_level] -> 0x6d0ac0
·! LDR: **** sysPrxForUser import: [sys_prx_load_module_on_memcontainer_by_fd] -> 0x6d0ae0
·! LDR: **** sysPrxForUser import: [sys_prx_load_module_on_memcontainer] -> 0x6d0b00
·! LDR: **** sysPrxForUser import: [sys_lwmutex_trylock] -> 0x6d0b20
·! LDR: **** sysPrxForUser import: [_sys_heap_delete_heap] -> 0x6d0b40
·! LDR: **** sysPrxForUser import: [sys_ppu_thread_exit] -> 0x6d0b60
·! LDR: **** sysPrxForUser import: [_sys_heap_create_heap] -> 0x6d0b80
·! LDR: **** sysPrxForUser import: [sys_lwmutex_destroy] -> 0x6d0ba0
·! LDR: **** sysPrxForUser import: [sys_lwcond_create] -> 0x6d0bc0
·! LDR: **** sysPrxForUser import: [sys_spu_image_close] -> 0x6d0be0
·! LDR: **** sysPrxForUser import: [sys_process_exit] -> 0x6d0c00
·! LDR: **** sysPrxForUser import: [sys_lwcond_signal_all] -> 0x6d0c20
·! LDR: **** sysPrxForUser import: [sys_spu_image_import] -> 0x6d0c40
·! LDR: **** sysPrxForUser import: [sys_prx_load_module_by_fd] -> 0x6d0c60
·! LDR: **** sysPrxForUser import: [sys_lwcond_signal] -> 0x6d0c80
