·! LDR: Title: God of War Ascension™ (Demo)
·! LDR: **** sceNp import: [sceNpSignalingAddExtendedHandler] -> 0x56fd64
·! LDR: **** sceNp import: [sceNpManagerUnregisterCallback] -> 0x56fd9c
·! LDR: **** sceNp import: [sceNpManagerGetTicketParam] -> 0x56fdd4
·! LDR: **** sceNp import: [sceNpLookupDestroyTitleCtx] -> 0x56fe0c
·! LDR: **** sceNp import: [sceNpLookupInit] -> 0x56fe44
·! LDR: **** sceNp import: [sceNpSignalingActivateConnection] -> 0x56fe7c
·! LDR: **** sceNp import: [sceNpSignalingCreateCtx] -> 0x56feb4
·! LDR: **** sceNp import: [sceNpLookupPollAsync] -> 0x56feec
·! LDR: **** sceNp import: [sceNpManagerRequestTicket] -> 0x56ff24
·! LDR: **** sceNp import: [sceNpLookupTerm] -> 0x56ff5c
·! LDR: **** sceNp import: [sceNpLookupTitleSmallStorageAsync] -> 0x56ff94
·! LDR: **** sceNp import: [sceNpSignalingTerminateConnection] -> 0x56ffcc
·! LDR: **** sceNp import: [sceNpSignalingGetLocalNetInfo] -> 0x570004
·! LDR: **** sceNp import: [sceNpManagerGetStatus] -> 0x57003c
·! LDR: **** sceNp import: [sceNpSignalingDestroyCtx] -> 0x570074
·! LDR: **** sceNp import: [sceNpBasicUnregisterHandler] -> 0x5700ac
·! LDR: **** sceNp import: [sceNpDrmIsAvailable] -> 0x5700e4
·! LDR: **** sceNp import: [sceNpInit] -> 0x57011c
·! LDR: **** sceNp import: [sceNpManagerGetNetworkTime] -> 0x570154
·! LDR: **** sceNp import: [sceNpBasicSetPresenceDetails] -> 0x57018c
·! LDR: **** sceNp import: [sceNpSignalingGetConnectionStatus] -> 0x5701c4
·! LDR: **** sceNp import: [sceNpLookupCreateTitleCtx] -> 0x5701fc
·! LDR: **** sceNp import: [sceNpUtilCmpNpId] -> 0x570234
·! LDR: **** sceNp import: [sceNpBasicGetEvent] -> 0x57026c
·! LDR: **** sceNp import: [sceNpManagerRegisterCallback] -> 0x5702a4
·! LDR: **** sceNp import: [sceNpLookupCreateTransactionCtx] -> 0x5702dc
·! LDR: **** sceNp import: [sceNpBasicSendMessage] -> 0x570314
·! LDR: **** sceNp import: [sceNpLookupDestroyTransactionCtx] -> 0x57034c
·! LDR: **** sceNp import: [sceNpBasicGetFriendPresenceByNpId] -> 0x570384
·! LDR: **** sceNp import: [sceNpManagerGetNpId] -> 0x5703bc
·! LDR: **** sceNp import: [sceNpDrmIsAvailable2] -> 0x571034

·! LDR: ** Imported module 'cellVoice' (0x0, 0x0)
·! LDR: **** cellVoice import: [cellVoiceStart] -> 0x5703f4
·! LDR: **** cellVoice import: [cellVoiceDisconnectIPortFromOPort] -> 0x57042c
·! LDR: **** cellVoice import: [cellVoiceCreatePort] -> 0x570464
·! LDR: **** cellVoice import: [cellVoiceReadFromOPort] -> 0x57049c
·! LDR: **** cellVoice import: [cellVoiceWriteToIPort] -> 0x5704d4
·! LDR: **** cellVoice import: [cellVoiceGetPortInfo] -> 0x57050c
·! LDR: **** cellVoice import: [cellVoiceSetPortAttr] -> 0x570544
·! LDR: **** cellVoice import: [cellVoiceDeletePort] -> 0x57057c
·! LDR: **** cellVoice import: [cellVoiceConnectIPortToOPort] -> 0x5705b4
·! LDR: **** cellVoice import: [cellVoiceInit] -> 0x5705ec
·! LDR: **** cellVoice import: [cellVoiceEnd] -> 0x570624

·! LDR: ** Imported module 'cellSysmodule' (0x0, 0x0)
·! LDR: **** cellSysmodule import: [cellSysmoduleUnloadModule] -> 0x57065c
·! LDR: **** cellSysmodule import: [cellSysmoduleLoadModule] -> 0x570694
·! LDR: **** cellSysmodule import: [cellSysmoduleIsLoaded] -> 0x5706cc
·! LDR: **** cellSysmodule import: [cellSysmoduleInitialize] -> 0x57106c

·! LDR: ** Imported module 'cellSysutilAvconfExt' (0x0, 0x0)
·! LDR: **** cellSysutilAvconfExt import: [cellVideoOutSetGamma] -> 0x570704
·! LDR: **** cellSysutilAvconfExt import: [cellVideoOutGetScreenSize] -> 0x57073c

·! LDR: ** Imported module 'cellGame' (0x0, 0x0)
·! LDR: **** cellGame import: [cellGameGetParamString] -> 0x570774
·! LDR: **** cellGame import: [cellGameContentPermit] -> 0x5707ac
·! LDR: **** cellGame import: [cellGameDataCheck] -> 0x5707e4
·! LDR: **** cellGame import: [cellGameBootCheck] -> 0x57081c

·! LDR: ** Imported module 'libvdec' (0x0, 0x0)
·! LDR: **** libvdec import: [cellVdecOpenEx] -> 0x570854
·! LDR: **** libvdec import: [cellVdecClose] -> 0x57088c
·! LDR: **** libvdec import: [cellVdecGetPicItem] -> 0x5708c4
·! LDR: **** libvdec import: [cellVdecDecodeAu] -> 0x5708fc
·! LDR: **** libvdec import: [cellVdecGetPicture] -> 0x570934
·! LDR: **** libvdec import: [cellVdecEndSeq] -> 0x57096c
·! LDR: **** libvdec import: [cellVdecStartSeq] -> 0x5709a4
·! LDR: **** libvdec import: [cellVdecQueryAttrEx] -> 0x5709dc

·! LDR: ** Imported module 'cellAudio' (0x0, 0x0)
·! LDR: **** cellAudio import: [cellAudioInit] -> 0x57114c
·! LDR: **** cellAudio import: [cellAudioPortClose] -> 0x571184
·! LDR: **** cellAudio import: [cellAudioPortStop] -> 0x5711bc
·! LDR: **** cellAudio import: [cellAudioGetPortConfig] -> 0x5711f4
·! LDR: **** cellAudio import: [cellAudioPortStart] -> 0x57122c
·! LDR: **** cellAudio import: [cellAudioQuit] -> 0x571264
·! LDR: **** cellAudio import: [cellAudioPortOpen] -> 0x57129c

·! LDR: ** Imported module 'sysPrxForUser' (0x0, 0x0)
·! LDR: **** sysPrxForUser import: [sys_lwmutex_lock] -> 0x5712d4
·! LDR: **** sysPrxForUser import: [sys_lwmutex_unlock] -> 0x57130c
·! LDR: **** sysPrxForUser import: [sys_lwcond_destroy] -> 0x571344
·! LDR: **** sysPrxForUser import: [sys_ppu_thread_create] -> 0x57137c
·! LDR: **** sysPrxForUser import: [sys_prx_load_module] -> 0x5713b4
·! LDR: **** sysPrxForUser import: [sys_lwcond_wait] -> 0x5713ec
·! LDR: **** sysPrxForUser import: [_sys_process_atexitspawn] -> 0x571424
·! LDR: **** sysPrxForUser import: [sys_lwmutex_create] -> 0x57145c
·! LDR: **** sysPrxForUser import: [sys_ppu_thread_get_id] -> 0x571494
·! LDR: **** sysPrxForUser import: [sys_mmapper_free_memory] -> 0x5714cc
·! LDR: **** sysPrxForUser import: [sys_prx_register_library] -> 0x571504
·! LDR: **** sysPrxForUser import: [sys_mmapper_unmap_memory] -> 0x57153c
·! LDR: **** sysPrxForUser import: [sys_process_is_stack] -> 0x571574
·! LDR: **** sysPrxForUser import: [sys_game_process_exitspawn2] -> 0x5715ac
·! LDR: **** sysPrxForUser import: [sys_initialize_tls] -> 0x5715e4
·! LDR: **** sysPrxForUser import: [sys_time_get_system_time] -> 0x57161c
·! LDR: **** sysPrxForUser import: [_sys_process_at_Exitspawn] -> 0x571654
·! LDR: **** sysPrxForUser import: [sys_prx_exitspawn_with_level] -> 0x57168c
·! LDR: **** sysPrxForUser import: [sys_prx_load_module_on_memcontainer_by_fd] -> 0x5716c4
·! LDR: **** sysPrxForUser import: [sys_prx_load_module_on_memcontainer] -> 0x5716fc
·! LDR: **** sysPrxForUser import: [sys_lwmutex_trylock] -> 0x571734
·! LDR: **** sysPrxForUser import: [sys_ppu_thread_exit] -> 0x57176c
·! LDR: **** sysPrxForUser import: [sys_mmapper_allocate_memory] -> 0x5717a4
·! LDR: **** sysPrxForUser import: [sys_lwmutex_destroy] -> 0x5717dc
·! LDR: **** sysPrxForUser import: [sys_lwcond_create] -> 0x571814
·! LDR: **** sysPrxForUser import: [sys_mmapper_map_memory] -> 0x57184c
·! LDR: **** sysPrxForUser import: [sys_process_exit] -> 0x571884
·! LDR: **** sysPrxForUser import: [sys_lwcond_signal_all] -> 0x5718bc
·! LDR: **** sysPrxForUser import: [sys_prx_load_module_by_fd] -> 0x5718f4
·! LDR: **** sysPrxForUser import: [sys_lwcond_signal] -> 0x57192c
