HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/
LDR: ! Imported function 'cellVdecClose' in 'libvdec' module (0x5e9e20)
LDR: ! Imported function 'cellVdecGetPicItem' in 'libvdec' module (0x5e9e40)
LDR: ! Imported function 'cellVdecDecodeAu' in 'libvdec' module (0x5e9e60)
LDR: ! Imported function 'cellVdecGetPicture' in 'libvdec' module (0x5e9e80)
LDR: ! Imported function 'cellVdecEndSeq' in 'libvdec' module (0x5e9ea0)
LDR: ! Imported function 'cellVdecStartSeq' in 'libvdec' module (0x5e9ec0)
LDR: ! Imported function 'cellVdecQueryAttrEx' in 'libvdec' module (0x5e9ee0)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0x5e9f00)
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module (0x5e9f20)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x5e9f40)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0x5e9f60)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x5e9f80)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x5e9fa0)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0x5e9fc0)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0x5e9fe0)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0x5ea000)
LDR: ! Imported function 'cellGcmGetFlipStatus' in 'cellGcmSys' module (0x5ea020)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0x5ea040)
LDR: ! Imported function 'cellGcmGetReport' in 'cellGcmSys' module (0x5ea060)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0x5ea080)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0x5ea0a0)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0x5ea0c0)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x5ea0e0)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0x5ea100)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0x5ea120)
LDR: ! Imported function 'cellGcmResetFlipStatus' in 'cellGcmSys' module (0x5ea140)
LDR: ! Imported function 'cellGcmSetDefaultCommandBuffer' in 'cellGcmSys' module (0x5ea160)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0x5ea180)
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module (0x5ea1a0)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0x5ea1c0)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x5ea1e0)
LDR: ! Imported function 'cellGcmSetVBlankFrequency' in 'cellGcmSys' module (0x5ea200)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0x5ea220)
LDR: ! Imported function 'cellSpursAttributeEnableSpuPrintfIfAvailable' in 'cellSpurs' module (0x5ea240)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x5ea260)
LDR: ! Imported function 'cellSpursCreateJobChainWithAttribute' in 'cellSpurs' module (0x5ea280)
LDR: ! Imported function '_cellSpursJobChainAttributeInitialize' in 'cellSpurs' module (0x5ea2a0)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x5ea2c0)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x5ea2e0)
LDR: ! Imported function 'cellSpursJobGuardInitialize' in 'cellSpurs' module (0x5ea300)
LDR: ! Imported function 'cellSpursEventFlagTryWait' in 'cellSpurs' module (0x5ea320)
LDR: ! Imported function 'cellSpursShutdownJobChain' in 'cellSpurs' module (0x5ea340)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x5ea360)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0x5ea380)
LDR: ! Imported function 'cellSpursJobChainAttributeSetName' in 'cellSpurs' module (0x5ea3a0)
LDR: ! Imported function 'cellSpursJoinJobChain' in 'cellSpurs' module (0x5ea3c0)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0x5ea3e0)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0x5ea400)
LDR: ! Imported function 'cellSpursJobGuardNotify' in 'cellSpurs' module (0x5ea420)
LDR: ! Imported function 'cellSpursRunJobChain' in 'cellSpurs' module (0x5ea440)
LDR: ! Imported function 'cellFiberPpuRunFibers' in 'cellFiber' module (0x5ea460)
LDR: ! Imported function 'cellFiberPpuWaitSignal' in 'cellFiber' module (0x5ea480)
LDR: ! Imported function 'cellFiberPpuCreateFiber' in 'cellFiber' module (0x5ea4a0)
LDR: ! Imported function 'cellFiberPpuSendSignal' in 'cellFiber' module (0x5ea4c0)
LDR: ! Imported function 'cellFiberPpuFinalizeScheduler' in 'cellFiber' module (0x5ea4e0)
LDR: ! Imported function 'cellFiberPpuJoinFiber' in 'cellFiber' module (0x5ea500)
LDR: ! Imported function 'cellFiberPpuInitializeScheduler' in 'cellFiber' module (0x5ea520)
LDR: ! Imported function '_cellFiberPpuInitialize' in 'cellFiber' module (0x5ea6c0)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x5ea540)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x5ea560)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x5ea580)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x5ea5a0)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0x5ea6e0)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0x5ea700)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0x5ea720)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x5ea740)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0x5ea760)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x5ea780)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x5ea7a0)
LDR: ! Imported function 'cellFsRename' in 'sys_fs' module (0x5ea7c0)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0x5ea7e0)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x5ea5c0)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x5ea5e0)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0x5ea600)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0x5ea620)
LDR: ! Imported function 'cellGamePatchCheck' in 'cellGame' module (0x5ea640)
LDR: ! Imported function 'cellGameDataCheck' in 'cellGame' module (0x5ea660)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0x5ea680)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x5ea800)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0x5ea820)
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module (0x5ea840)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x5ea860)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0x5ea880)
LDR: ! Imported function 'cellMouseInit' in 'sys_io' module (0x5ea8a0)
LDR: ! Imported function 'cellMouseEnd' in 'sys_io' module (0x5ea8c0)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x5ea8e0)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0x5ea900)
LDR: ! Imported function 'recvfrom' in 'sys_net' module (0x5ea920)
LDR: ! Imported function 'listen' in 'sys_net' module (0x5ea940)
LDR: ! Imported function 'socketselect' in 'sys_net' module (0x5ea960)
LDR: ! Imported function 'sys_net_show_nameserver' in 'sys_net' module (0x5ea980)
LDR: ! Imported function '_sys_net_errno_loc' in 'sys_net' module (0x5ea9a0)
LDR: ! Imported function 'connect' in 'sys_net' module (0x5ea9c0)
LDR: ! Imported function 'socketclose' in 'sys_net' module (0x5ea9e0)
LDR: ! Imported function 'sys_net_show_route' in 'sys_net' module (0x5eaa00)
LDR: ! Imported function 'inet_ntoa' in 'sys_net' module (0x5eaa20)
LDR: ! Imported function 'setsockopt' in 'sys_net' module (0x5eaa40)
LDR: ! Imported function 'sys_net_abort_socket' in 'sys_net' module (0x5eaa60)
LDR: ! Imported function 'sendto' in 'sys_net' module (0x5eaa80)
LDR: ! Imported function 'socket' in 'sys_net' module (0x5eaaa0)
LDR: ! Imported function 'shutdown' in 'sys_net' module (0x5eaac0)
LDR: ! Imported function 'inet_aton' in 'sys_net' module (0x5eaae0)
LDR: ! Imported function 'bind' in 'sys_net' module (0x5eab00)
LDR: ! Imported function 'sys_net_show_ifconfig' in 'sys_net' module (0x5eab20)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0x5eab40)
LDR: ! Imported function 'accept' in 'sys_net' module (0x5eab60)
LDR: ! Imported function 'inet_addr' in 'sys_net' module (0x5eab80)
LDR: ! Imported function 'send' in 'sys_net' module (0x5eaba0)
LDR: ! Imported function 'recv' in 'sys_net' module (0x5eabc0)
LDR: ! Imported function 'sys_net_free_thread_context' in 'sys_net' module (0x5eabe0)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0x5eac00)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0x5eac20)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0x5eac40)
LDR: ! Imported function 'cellNetCtlGetInfo' in 'cellNetCtl' module (0x5eac60)
LDR: ! Imported function 'cellNetCtlGetNatInfo' in 'cellNetCtl' module (0x5eac80)
LDR: ! Imported function 'cellNetCtlGetState' in 'cellNetCtl' module (0x5eaca0)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0x5eacc0)
LDR: ! Imported function 'sceNpBasicSendMessageGui' in 'sceNp' module (0x5eace0)
LDR: ! Imported function 'sceNpBasicGetFriendListEntry' in 'sceNp' module (0x5ead00)
LDR: ! Imported function 'sceNpSignalingGetConnectionInfo' in 'sceNp' module (0x5ead20)
LDR: ! Imported function 'sceNpScoreGetRankingByRangeAsync' in 'sceNp' module (0x5ead40)
LDR: ! Imported function 'sceNpScoreDestroyTitleCtx' in 'sceNp' module (0x5ead60)
LDR: ! Imported function 'sceNpScoreSetTimeout' in 'sceNp' module (0x5ead80)
LDR: ! Imported function 'sceNpManagerGetMyLanguages' in 'sceNp' module (0x5eada0)
LDR: ! Imported function 'sceNpScoreInit' in 'sceNp' module (0x5eadc0)
LDR: ! Imported function 'sceNpScoreGetRankingByNpIdAsync' in 'sceNp' module (0x5eade0)
LDR: ! Imported function 'sceNpBasicRegisterContextSensitiveHandler' in 'sceNp' module (0x5eae00)
LDR: ! Imported function 'sceNpSignalingAddExtendedHandler' in 'sceNp' module (0x5eae20)
LDR: ! Imported function 'sceNpManagerUnregisterCallback' in 'sceNp' module (0x5eae40)
LDR: ! Imported function 'sceNpSignalingActivateConnection' in 'sceNp' module (0x5eae60)
LDR: ! Imported function 'sceNpSignalingCreateCtx' in 'sceNp' module (0x5eae80)
LDR: ! Imported function 'sceNpBasicRecvMessageAttachmentLoad' in 'sceNp' module (0x5eaea0)
LDR: ! Imported function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module (0x5eaec0)
LDR: ! Imported function 'sceNpScoreCreateTransactionCtx' in 'sceNp' module (0x5eaee0)
LDR: ! Imported function 'sceNpBasicGetBlockListEntryCount' in 'sceNp' module (0x5eaf00)
LDR: ! Imported function 'sceNpBasicRecvMessageCustom' in 'sceNp' module (0x5eaf20)
LDR: ! Imported function 'sceNpSignalingTerminateConnection' in 'sceNp' module (0x5eaf40)
LDR: ! Imported function 'sceNpScoreTerm' in 'sceNp' module (0x5eaf60)
LDR: ! Imported function 'sceNpScorePollAsync' in 'sceNp' module (0x5eaf80)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0x5eafa0)
LDR: ! Imported function 'sceNpBasicGetCustomInvitationEntryCount' in 'sceNp' module (0x5eafc0)
LDR: ! Imported function 'sceNpSignalingDestroyCtx' in 'sceNp' module (0x5eafe0)
LDR: ! Imported function 'sceNpBasicUnregisterHandler' in 'sceNp' module (0x5eb000)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0x5eb020)
LDR: ! Imported function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module (0x5eb040)
LDR: ! Imported function 'sceNpManagerGetAccountRegion' in 'sceNp' module (0x5eb060)
LDR: ! Imported function 'sceNpScoreCreateTitleCtx' in 'sceNp' module (0x5eb080)
LDR: ! Imported function 'sceNpBasicAddPlayersHistoryAsync' in 'sceNp' module (0x5eb0a0)
LDR: ! Imported function 'sceNpBasicSetPresenceDetails' in 'sceNp' module (0x5eb0c0)
LDR: ! Imported function 'sceNpScoreDestroyTransactionCtx' in 'sceNp' module (0x5eb0e0)
LDR: ! Imported function 'sceNpSignalingGetConnectionStatus' in 'sceNp' module (0x5eb100)
LDR: ! Imported function 'sceNpProfileCallGui' in 'sceNp' module (0x5eb120)
LDR: ! Imported function 'sceNpUtilCmpNpId' in 'sceNp' module (0x5eb140)
LDR: ! Imported function 'sceNpBasicGetEvent' in 'sceNp' module (0x5eb160)
LDR: ! Imported function 'sceNpManagerRegisterCallback' in 'sceNp' module (0x5eb180)
LDR: ! Imported function 'sceNpManagerGetChatRestrictionFlag' in 'sceNp' module (0x5eb1a0)
LDR: ! Imported function 'sceNpScoreAbortTransaction' in 'sceNp' module (0x5eb1c0)
LDR: ! Imported function 'sceNpScoreRecordScoreAsync' in 'sceNp' module (0x5eb1e0)
LDR: ! Imported function 'sceNpBasicGetBlockListEntry' in 'sceNp' module (0x5eb200)
LDR: ! Imported function 'sceNpSignalingDeactivateConnection' in 'sceNp' module (0x5eb220)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0x5eb240)
LDR: W Unknown module 'sceNp2'
LDR: E Unimplemented function 'sceNpMatching2DestroyContext' in 'sceNp2' module (0x5eb260)
LDR: E Unimplemented function 'sceNpMatching2GetWorldInfoList' in 'sceNp2' module (0x5eb280)
LDR: E Unimplemented function 'sceNpMatching2SearchRoom' in 'sceNp2' module (0x5eb2a0)
LDR: E Unimplemented function 'sceNpMatching2CreateServerContext' in 'sceNp2' module (0x5eb2c0)
LDR: E Unimplemented function 'sceNpMatching2LeaveRoom' in 'sceNp2' module (0x5eb2e0)
LDR: E Unimplemented function 'sceNpMatching2SetRoomDataExternal' in 'sceNp2' module (0x5eb300)
LDR: E Unimplemented function 'sceNpMatching2Term2' in 'sceNp2' module (0x5eb320)
LDR: E Unimplemented function 'sceNpMatching2AbortRequest' in 'sceNp2' module (0x5eb340)
LDR: E Unimplemented function 'sceNpMatching2GetServerInfo' in 'sceNp2' module (0x5eb360)
LDR: E Unimplemented function 'sceNpMatching2GetEventData' in 'sceNp2' module (0x5eb380)
LDR: ! Imported function 'sceNp2Init' in 'sceNp2' module (0x5eb3a0)
LDR: E Unimplemented function 'sceNpMatching2JoinRoom' in 'sceNp2' module (0x5eb3c0)
LDR: E Unimplemented function 'sceNpMatching2KickoutRoomMember' in 'sceNp2' module (0x5eb3e0)
LDR: E Unimplemented function 'sceNpMatching2ContextStartAsync' in 'sceNp2' module (0x5eb400)
LDR: E Unimplemented function 'sceNpMatching2RegisterContextCallback' in 'sceNp2' module (0x5eb420)
LDR: E Unimplemented function 'sceNpMatching2SetRoomDataInternal' in 'sceNp2' module (0x5eb440)
LDR: E Unimplemented function 'sceNpMatching2SignalingGetPingInfo' in 'sceNp2' module (0x5eb460)
LDR: E Unimplemented function 'sceNpMatching2GetServerIdListLocal' in 'sceNp2' module (0x5eb480)
LDR: E Unimplemented function 'sceNpMatching2CreateContext' in 'sceNp2' module (0x5eb4a0)
LDR: ! Imported function 'sceNp2Term' in 'sceNp2' module (0x5eb4c0)
LDR: E Unimplemented function 'sceNpMatching2RegisterRoomEventCallback' in 'sceNp2' module (0x5eb4e0)
LDR: E Unimplemented function 'sceNpMatching2CreateJoinRoom' in 'sceNp2' module (0x5eb500)
LDR: E Unimplemented function 'sceNpMatching2Init2' in 'sceNp2' module (0x5eb520)
LDR: W Unknown module 'cellSysutilAvc2'
LDR: E Unimplemented function 'cellSysutilAvc2GetPlayerInfo' in 'cellSysutilAvc2' module (0x5eb540)
LDR: E Unimplemented function 'cellSysutilAvc2StopStreaming' in 'cellSysutilAvc2' module (0x5eb560)
LDR: E Unimplemented function 'cellSysutilAvc2SetVoiceMuting' in 'cellSysutilAvc2' module (0x5eb580)
LDR: E Unimplemented function 'cellSysutilAvc2StartVoiceDetection' in 'cellSysutilAvc2' module (0x5eb5a0)
LDR: E Unimplemented function 'cellSysutilAvc2SetStreamingTarget' in 'cellSysutilAvc2' module (0x5eb5c0)
LDR: E Unimplemented function 'cellSysutilAvc2Unload' in 'cellSysutilAvc2' module (0x5eb5e0)
LDR: E Unimplemented function 'cellSysutilAvc2JoinChatRequest' in 'cellSysutilAvc2' module (0x5eb600)
LDR: E Unimplemented function 'cellSysutilAvc2StartStreaming' in 'cellSysutilAvc2' module (0x5eb620)
LDR: E Unimplemented function 'cellSysutilAvc2InitParam' in 'cellSysutilAvc2' module (0x5eb640)
LDR: E Unimplemented function 'cellSysutilAvc2LeaveChatRequest' in 'cellSysutilAvc2' module (0x5eb660)
LDR: E Unimplemented function 'cellSysutilAvc2GetSpeakerMuting' in 'cellSysutilAvc2' module (0x5eb680)
LDR: E Unimplemented function 'cellSysutilAvc2SetSpeakerMuting' in 'cellSysutilAvc2' module (0x5eb6a0)
LDR: E Unimplemented function 'cellSysutilAvc2Load' in 'cellSysutilAvc2' module (0x5eb6c0)
LDR: E Unimplemented function 'cellSysutilAvc2SetAttribute' in 'cellSysutilAvc2' module (0x5eb6e0)
LDR: E Unimplemented function 'cellSysutilAvc2GetVoiceMuting' in 'cellSysutilAvc2' module (0x5eb700)
LDR: W Unknown module 'cellSaveData'
LDR: ! Imported function 'cellSaveDataListDelete' in 'cellSaveData' module (0x5eb720)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0x5eb740)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0x5eb760)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0x5eb780)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0x5eb7a0)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0x5eb7c0)
LDR: ! Imported function 'sceNpTrophyAbortHandle' in 'sceNpTrophy' module (0x5eb7e0)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0x5eb800)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0x5eb820)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0x5eb840)
LDR: ! Imported function 'sceNpTrophyGetTrophyUnlockState' in 'sceNpTrophy' module (0x5eb860)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0x5eb880)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x5eb8a0)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x5eb8c0)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x5eb8e0)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x5eb900)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x5eb920)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x5eb940)
LDR: ! Imported function '_sys_heap_malloc' in 'sysPrxForUser' module (0x5eb960)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0x5eb980)
LDR: ! Imported function '_sys_heap_memalign' in 'sysPrxForUser' module (0x5eb9a0)
LDR: ! Imported function '_sys_spu_printf_initialize' in 'sysPrxForUser' module (0x5eb9c0)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0x5eb9e0)
