HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00927-[VANQUISH]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00927-[VANQUISH]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00927-[VANQUISH]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: VANQUISH
LDR: ! Serial: BLES00927
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x5d85e80000, g_priv_addr = 0x5e85e80000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x12cd610)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0x12cd630)
LDR: ! Imported function 'cellFsRename' in 'sys_fs' module (0x12cd650)
LDR: ! Imported function 'cellRtcGetCurrentClockLocalTime' in 'cellRtc' module (0x12cc4b0)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0x12cc4d0)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x12cc4f0)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x12cc510)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x12cc530)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0x12cc550)
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module (0x12cc570)
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module (0x12cc590)
LDR: ! Imported function 'cellGcmGetReport' in 'cellGcmSys' module (0x12cc5b0)
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module (0x12cc5d0)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0x12cc5f0)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x12cc610)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0x12cc630)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x12cc650)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0x12cc670)
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0x12cc690)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x12cc6b0)
LDR: ! Imported function 'cellSysutilEnableBgmPlayback' in 'cellSysutil' module (0x12cc6d0)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x12cc6f0)
LDR: ! Imported function 'cellMsgDialogAbort' in 'cellSysutil' module (0x12cc710)
LDR: ! Imported function 'cellSysutilGetBgmPlaybackStatus2' in 'cellSysutil' module (0x12cc730)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0x12cc750)
LDR: ! Imported function 'cellAudioOutGetDeviceInfo' in 'cellSysutil' module (0x12cc770)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x12cc790)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x12cc7b0)
LDR: ! Imported function 'cellMsgDialogProgressBarInc' in 'cellSysutil' module (0x12cc7d0)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x12cc7f0)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x12cc810)
LDR: ! Imported function 'cellSysutilDisableBgmPlayback' in 'cellSysutil' module (0x12cc830)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x12cc850)
LDR: ! Imported function 'cellAudioOutGetNumberOfDevice' in 'cellSysutil' module (0x12cc870)
LDR: ! Imported function 'cellSaveDataEnableOverlay' in 'cellSysutil' module (0x12cc890)
LDR: ! Imported function 'cellAudioOutGetConfiguration' in 'cellSysutil' module (0x12cc8b0)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0x12cc8d0)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x12cc8f0)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x12cc910)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x12cc930)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x12cc950)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0x12cd670)
LDR: ! Imported function 'cellSpursAttributeEnableSpuPrintfIfAvailable' in 'cellSpurs' module (0x12cc970)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x12cc990)
LDR: ! Imported function 'cellSpursCreateJobChainWithAttribute' in 'cellSpurs' module (0x12cc9b0)
LDR: ! Imported function '_cellSpursJobChainAttributeInitialize' in 'cellSpurs' module (0x12cc9d0)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x12cc9f0)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x12cca10)
LDR: ! Imported function 'cellSpursJobGuardInitialize' in 'cellSpurs' module (0x12cca30)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x12cca50)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0x12cca70)
LDR: ! Imported function 'cellSpursAttributeEnableSystemWorkload' in 'cellSpurs' module (0x12cca90)
LDR: ! Imported function 'cellSpursJobChainAttributeSetName' in 'cellSpurs' module (0x12ccab0)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0x12ccad0)
LDR: ! Imported function 'cellSpursJobGuardNotify' in 'cellSpurs' module (0x12ccaf0)
LDR: ! Imported function 'cellSpursJobSetMaxGrab' in 'cellSpurs' module (0x12ccb10)
LDR: ! Imported function 'cellSpursRunJobChain' in 'cellSpurs' module (0x12ccb30)
LDR: ! Imported function '_cellSpursLFQueueInitialize' in 'cellSpurs' module (0x12cd690)
LDR: ! Imported function 'cellSpursQueueDetachLv2EventQueue' in 'cellSpurs' module (0x12cd6b0)
LDR: ! Imported function '_cellSpursQueueInitialize' in 'cellSpurs' module (0x12cd6d0)
LDR: ! Imported function '_cellSpursTasksetAttributeInitialize' in 'cellSpurs' module (0x12cd6f0)
LDR: ! Imported function 'cellSpursLFQueueAttachLv2EventQueue' in 'cellSpurs' module (0x12cd710)
LDR: ! Imported function 'cellSpursCreateTaskWithAttribute' in 'cellSpurs' module (0x12cd730)
LDR: ! Imported function 'cellSpursTaskExitCodeInitialize' in 'cellSpurs' module (0x12cd750)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0x12cd770)
LDR: ! Imported function 'cellSpursCreateTaskset' in 'cellSpurs' module (0x12cd790)
LDR: ! Imported function 'cellSpursTasksetAttributeSetName' in 'cellSpurs' module (0x12cd7b0)
LDR: ! Imported function 'cellSpursLFQueueDetachLv2EventQueue' in 'cellSpurs' module (0x12cd7d0)
LDR: ! Imported function '_cellSpursLFQueuePushBody' in 'cellSpurs' module (0x12cd7f0)
LDR: ! Imported function 'cellSpursTasksetAttributeSetTasksetSize' in 'cellSpurs' module (0x12cd810)
LDR: ! Imported function 'cellSpursQueuePopBody' in 'cellSpurs' module (0x12cd830)
LDR: ! Imported function 'cellSpursQueuePushBody' in 'cellSpurs' module (0x12cd850)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0x12cd870)
LDR: ! Imported function 'cellSpursTaskAttributeSetExitCodeContainer' in 'cellSpurs' module (0x12cd890)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0x12cd8b0)
LDR: ! Imported function '_cellSpursTaskAttributeInitialize' in 'cellSpurs' module (0x12cd8d0)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0x12cd8f0)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0x12cd910)
LDR: ! Imported function 'cellSpursCreateTasksetWithAttribute' in 'cellSpurs' module (0x12cd930)
LDR: ! Imported function 'cellSpursQueueAttachLv2EventQueue' in 'cellSpurs' module (0x12cd950)
LDR: ! Imported function 'cellSpursEventFlagSet' in 'cellSpurs' module (0x12cdb70)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0x12ccb50)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0x12ccb70)
LDR: ! Imported function 'listen' in 'sys_net' module (0x12cd9d0)
LDR: ! Imported function 'socketselect' in 'sys_net' module (0x12cd9f0)
LDR: ! Imported function 'connect' in 'sys_net' module (0x12cda10)
LDR: ! Imported function 'socketclose' in 'sys_net' module (0x12cda30)
LDR: ! Imported function 'setsockopt' in 'sys_net' module (0x12cda50)
LDR: ! Imported function 'socket' in 'sys_net' module (0x12cda70)
LDR: ! Imported function 'bind' in 'sys_net' module (0x12cda90)
LDR: ! Imported function 'sys_net_show_ifconfig' in 'sys_net' module (0x12cdab0)
LDR: ! Imported function 'accept' in 'sys_net' module (0x12cdad0)
LDR: ! Imported function 'inet_addr' in 'sys_net' module (0x12cdaf0)
LDR: ! Imported function 'send' in 'sys_net' module (0x12cdb10)
LDR: ! Imported function 'recv' in 'sys_net' module (0x12cdb30)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0x12ccb90)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0x12ccbb0)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0x12ccbd0)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0x12ccbf0)
LDR: ! Imported function 'cellNetCtlGetState' in 'cellNetCtl' module (0x12cdb50)
LDR: ! Imported function 'cellFiberPpuYield' in 'cellFiber' module (0x12ccc10)
LDR: ! Imported function 'cellFiberPpuRunFibers' in 'cellFiber' module (0x12ccc30)
LDR: ! Imported function 'cellFiberPpuSelf' in 'cellFiber' module (0x12ccc50)
LDR: ! Imported function 'cellFiberPpuWaitSignal' in 'cellFiber' module (0x12ccc70)
LDR: ! Imported function 'cellFiberPpuCreateFiber' in 'cellFiber' module (0x12ccc90)
LDR: ! Imported function 'cellFiberPpuSendSignal' in 'cellFiber' module (0x12cccb0)
LDR: ! Imported function '_cellFiberPpuSchedulerAttributeInitialize' in 'cellFiber' module (0x12cccd0)
LDR: ! Imported function '_cellFiberPpuAttributeInitialize' in 'cellFiber' module (0x12cccf0)
LDR: ! Imported function 'cellFiberPpuInitializeScheduler' in 'cellFiber' module (0x12ccd10)
LDR: ! Imported function '_cellFiberPpuInitialize' in 'cellFiber' module (0x12ccd30)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x12ccd50)
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module (0x12ccd70)
LDR: ! Imported function 'cellAudioGetPortTimestamp' in 'cellAudio' module (0x12ccd90)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0x12ccdb0)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x12ccdd0)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x12ccdf0)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x12cce10)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x12cce30)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x12cce50)
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module (0x12cce70)
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module (0x12cce90)
LDR: ! Imported function 'cellRescGcmSurface2RescSrc' in 'cellResc' module (0x12cceb0)
LDR: ! Imported function 'cellRescResetFlipStatus' in 'cellResc' module (0x12cced0)
LDR: ! Imported function 'cellRescAdjustAspectRatio' in 'cellResc' module (0x12ccef0)
LDR: ! Imported function 'cellRescSetDisplayMode' in 'cellResc' module (0x12ccf10)
LDR: ! Imported function 'cellRescSetConvertAndFlip' in 'cellResc' module (0x12ccf30)
LDR: ! Imported function 'cellRescExit' in 'cellResc' module (0x12ccf50)
LDR: ! Imported function 'cellRescSetFlipHandler' in 'cellResc' module (0x12ccf70)
LDR: ! Imported function 'cellRescInit' in 'cellResc' module (0x12ccf90)
LDR: ! Imported function 'cellRescGetBufferSize' in 'cellResc' module (0x12ccfb0)
LDR: ! Imported function 'cellRescSetSrc' in 'cellResc' module (0x12ccfd0)
LDR: ! Imported function 'cellRescSetBufferAddress' in 'cellResc' module (0x12ccff0)
LDR: ! Imported function 'cellRescGetFlipStatus' in 'cellResc' module (0x12cd010)
LDR: ! Imported function 'cellRescVideoOutResolutionId2RescBufferMode' in 'cellResc' module (0x12cd030)
LDR: ! Imported function 'cellRescSetVBlankHandler' in 'cellResc' module (0x12cd050)
LDR: ! Imported function 'cellRescCreateInterlaceTable' in 'cellResc' module (0x12cd070)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0x12cd090)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0x12cd0b0)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0x12cd0d0)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0x12cd0f0)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0x12cd110)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0x12cd130)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0x12cd150)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0x12cd170)
LDR: ! Imported function 'sceNpTrophyGetTrophyUnlockState' in 'sceNpTrophy' module (0x12cd190)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0x12cd1b0)
LDR: ! Imported function 'cellGameCreateGameData' in 'cellGame' module (0x12cd1d0)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0x12cd1f0)
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module (0x12cd210)
LDR: ! Imported function 'cellGameDataCheck' in 'cellGame' module (0x12cd230)
LDR: ! Imported function 'cellGameGetSizeKB' in 'cellGame' module (0x12cd250)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0x12cd270)
LDR: ! Imported function 'sceNpBasicGetFriendListEntry' in 'sceNp' module (0x12cd290)
LDR: ! Imported function 'sceNpScoreGetRankingByRangeAsync' in 'sceNp' module (0x12cd2b0)
LDR: ! Imported function 'sceNpScoreDestroyTitleCtx' in 'sceNp' module (0x12cd2d0)
LDR: ! Imported function 'sceNpScoreInit' in 'sceNp' module (0x12cd2f0)
LDR: ! Imported function 'sceNpScoreGetRankingByNpIdAsync' in 'sceNp' module (0x12cd310)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0x12cd330)
LDR: ! Imported function 'sceNpManagerUnregisterCallback' in 'sceNp' module (0x12cd350)
LDR: ! Imported function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module (0x12cd370)
LDR: ! Imported function 'sceNpScoreCreateTransactionCtx' in 'sceNp' module (0x12cd390)
LDR: ! Imported function 'sceNpScoreTerm' in 'sceNp' module (0x12cd3b0)
LDR: ! Imported function 'sceNpScorePollAsync' in 'sceNp' module (0x12cd3d0)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0x12cd3f0)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0x12cd410)
LDR: ! Imported function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module (0x12cd430)
LDR: ! Imported function 'sceNpScoreCreateTitleCtx' in 'sceNp' module (0x12cd450)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0x12cd470)
LDR: ! Imported function 'sceNpManagerGetOnlineId' in 'sceNp' module (0x12cd490)
LDR: ! Imported function 'sceNpScoreDestroyTransactionCtx' in 'sceNp' module (0x12cd4b0)
LDR: ! Imported function 'sceNpScoreGetGameDataAsync' in 'sceNp' module (0x12cd4d0)
LDR: ! Imported function 'sceNpManagerRegisterCallback' in 'sceNp' module (0x12cd4f0)
LDR: ! Imported function 'sceNpScoreAbortTransaction' in 'sceNp' module (0x12cd510)
LDR: ! Imported function 'sceNpScoreRecordScoreAsync' in 'sceNp' module (0x12cd530)
LDR: ! Imported function 'sceNpManagerGetOnlineName' in 'sceNp' module (0x12cd550)
LDR: ! Imported function 'sceNpScoreRecordGameDataAsync' in 'sceNp' module (0x12cd570)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0x12cd590)
LDR: W Unknown module 'cellSync'
LDR: ! Imported function 'cellSyncMutexUnlock' in 'cellSync' module (0x12cd970)
LDR: ! Imported function 'cellSyncMutexInitialize' in 'cellSync' module (0x12cd990)
LDR: ! Imported function 'cellSyncMutexTryLock' in 'cellSync' module (0x12cd9b0)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x12cdb90)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x12cdbb0)
LDR: ! Imported function 'sys_lwcond_destroy' in 'sysPrxForUser' module (0x12cdbd0)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x12cdbf0)
LDR: ! Imported function 'sys_lwcond_wait' in 'sysPrxForUser' module (0x12cdc10)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x12cdc30)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x12cdc50)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x12cdc70)
LDR: ! Imported function '_sys_heap_malloc' in 'sysPrxForUser' module (0x12cdc90)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0x12cdcb0)
LDR: ! Imported function '_sys_heap_memalign' in 'sysPrxForUser' module (0x12cdcd0)
LDR: ! Imported function '_sys_spu_printf_initialize' in 'sysPrxForUser' module (0x12cdcf0)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0x12cdd10)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0x12cdd30)
LDR: ! Imported function '_sys_heap_free' in 'sysPrxForUser' module (0x12cdd50)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0x12cdd70)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0x12cdd90)
LDR: ! Imported function 'sys_ppu_thread_once' in 'sysPrxForUser' module (0x12cddb0)
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module (0x12cddd0)
LDR: ! Imported function '_sys_heap_delete_heap' in 'sysPrxForUser' module (0x12cddf0)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0x12cde10)
LDR: ! Imported function '_sys_heap_create_heap' in 'sysPrxForUser' module (0x12cde30)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0x12cde50)
LDR: ! Imported function 'sys_lwcond_create' in 'sysPrxForUser' module (0x12cde70)
LDR: ! Imported function '_sys_spu_printf_finalize' in 'sysPrxForUser' module (0x12cde90)
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module (0x12cdeb0)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0x12cded0)
LDR: ! Imported function 'sys_lwcond_signal_all' in 'sysPrxForUser' module (0x12cdef0)
LDR: ! Imported function 'sys_spu_image_import' in 'sysPrxForUser' module (0x12cdf10)
LDR: ! Imported function 'sys_lwcond_signal' in 'sysPrxForUser' module (0x12cdf30)
HLE: ! sysPrxForUser: Thread Local Storage initialized (g_tls_start=0x1e09000, user_size=0x2f0)
*** TLS segment addr: 0x01588910
*** TLS segment size: 0x000002f0
LDR: E 'BreakPoints.dat' is broken (version=0xdb50, break_count=0x0, marked_count=0x93173968, length=0x6)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x200001c8, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x007b6c34]} sys_memory: sys_memory_get_user_memory_size(mem_info_addr=0xd001fcd0)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x203001c8, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dc0138, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf488, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf4b0, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf4d8, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf3c0, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf3e8, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf410, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf438, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dbf460, attr=*0x1359250)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dc0298, attr=*0x15e2c10)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1dc0258, attr=*0x15e2c20)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x176a198, attr=*0xd001fa30)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1710180, attr=*0xd001fb60)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16c23f0, attr=*0xd001fb40)
HLE: W {PPU[0x1] Thread (main_thread)[0x012cdc50]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16c3000, attr=*0xd001fb40)
