HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00693-[Dragon Ball Raging Blast]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00693-[Dragon Ball Raging Blast]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00693-[Dragon Ball Raging Blast]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Dragon Ball: Raging Blast
LDR: ! Serial: BLES00693
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xc2a3a60000, g_priv_addr = 0xc3a3a60000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellAudioCreateNotifyEventQueue' in 'cellAudio' module (0x5d70c4)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x5d70e4)
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module (0x5d7104)
LDR: ! Imported function 'cellAudioGetPortTimestamp' in 'cellAudio' module (0x5d7124)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0x5d7144)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x5d7164)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x5d7184)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x5d71a4)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x5d71c4)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x5d71e4)
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module (0x5d7204)
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module (0x5d7224)
LDR: ! Imported function 'cellVdecOpenEx' in 'libvdec' module (0x5d7244)
LDR: ! Imported function 'cellVdecClose' in 'libvdec' module (0x5d7264)
LDR: ! Imported function 'cellVdecGetPicItem' in 'libvdec' module (0x5d7284)
LDR: ! Imported function 'cellVdecDecodeAu' in 'libvdec' module (0x5d72a4)
LDR: ! Imported function 'cellVdecGetPicture' in 'libvdec' module (0x5d72c4)
LDR: ! Imported function 'cellVdecEndSeq' in 'libvdec' module (0x5d72e4)
LDR: ! Imported function 'cellVdecStartSeq' in 'libvdec' module (0x5d7304)
LDR: ! Imported function 'cellVdecQueryAttrEx' in 'libvdec' module (0x5d7324)
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module (0x5d7344)
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module (0x5d7364)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x5d7384)
LDR: ! Imported function '_cellGcmSetFlipCommand' in 'cellGcmSys' module (0x5d73a4)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x5d73c4)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x5d73e4)
LDR: ! Imported function 'cellGcmBindTile' in 'cellGcmSys' module (0x5d7404)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0x5d7424)
LDR: ! Imported function 'cellGcmGetFlipStatus' in 'cellGcmSys' module (0x5d7444)
LDR: ! Imported function 'cellGcmGetReport' in 'cellGcmSys' module (0x5d7464)
LDR: ! Imported function 'cellGcmBindZcull' in 'cellGcmSys' module (0x5d7484)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0x5d74a4)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x5d74c4)
LDR: ! Imported function 'cellGcmUnbindZcull' in 'cellGcmSys' module (0x5d74e4)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0x5d7504)
LDR: ! Imported function 'cellGcmResetFlipStatus' in 'cellGcmSys' module (0x5d7524)
LDR: ! Imported function 'cellGcmSetDefaultCommandBuffer' in 'cellGcmSys' module (0x5d7544)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0x5d7564)
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module (0x5d7584)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0x5d75a4)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x5d75c4)
LDR: ! Imported function 'cellGcmSetVBlankFrequency' in 'cellGcmSys' module (0x5d75e4)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0x5d7604)
LDR: ! Imported function 'cellSpursAttributeEnableSpuPrintfIfAvailable' in 'cellSpurs' module (0x5d7624)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x5d7644)
LDR: ! Imported function 'cellSpursCreateJobChainWithAttribute' in 'cellSpurs' module (0x5d7664)
LDR: ! Imported function '_cellSpursJobChainAttributeInitialize' in 'cellSpurs' module (0x5d7684)
LDR: ! Imported function 'cellSpursJobGuardInitialize' in 'cellSpurs' module (0x5d76a4)
LDR: ! Imported function 'cellSpursShutdownJobChain' in 'cellSpurs' module (0x5d76c4)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0x5d76e4)
LDR: ! Imported function 'cellSpursJobChainAttributeSetName' in 'cellSpurs' module (0x5d7704)
LDR: ! Imported function 'cellSpursJoinJobChain' in 'cellSpurs' module (0x5d7724)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0x5d7744)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0x5d7764)
LDR: ! Imported function 'cellSpursJobGuardNotify' in 'cellSpurs' module (0x5d7784)
LDR: ! Imported function 'cellSpursRunJobChain' in 'cellSpurs' module (0x5d77a4)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x5d7984)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x5d79a4)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x5d79c4)
LDR: ! Imported function 'cellFiberPpuWaitSignal' in 'cellFiber' module (0x5d77c4)
LDR: ! Imported function 'cellFiberPpuCreateFiber' in 'cellFiber' module (0x5d77e4)
LDR: ! Imported function 'cellFiberPpuSendSignal' in 'cellFiber' module (0x5d7804)
LDR: ! Imported function 'cellFiberPpuJoinFiber' in 'cellFiber' module (0x5d7824)
LDR: ! Imported function 'cellFiberPpuRunFibers' in 'cellFiber' module (0x5d79e4)
LDR: ! Imported function 'cellFiberPpuFinalizeScheduler' in 'cellFiber' module (0x5d7a04)
LDR: ! Imported function 'cellFiberPpuInitializeScheduler' in 'cellFiber' module (0x5d7a24)
LDR: ! Imported function '_cellFiberPpuInitialize' in 'cellFiber' module (0x5d7b84)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x5d7844)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x5d7864)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x5d7884)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x5d78a4)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0x5d7a44)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0x5d7a64)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0x5d7a84)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x5d7aa4)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0x5d7ac4)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x5d7ae4)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x5d7b04)
LDR: ! Imported function 'cellFsRename' in 'sys_fs' module (0x5d7b24)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0x5d7b44)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x5d78c4)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x5d78e4)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0x5d7b64)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0x5d7904)
LDR: ! Imported function 'cellGamePatchCheck' in 'cellGame' module (0x5d7924)
LDR: ! Imported function 'cellGameDataCheck' in 'cellGame' module (0x5d7944)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0x5d7964)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x5d7ba4)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0x5d7bc4)
LDR: ! Imported function 'cellPadSetPortSetting' in 'sys_io' module (0x5d7be4)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x5d7c04)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0x5d7c24)
LDR: ! Imported function 'cellMouseInit' in 'sys_io' module (0x5d7c44)
LDR: ! Imported function 'cellMouseEnd' in 'sys_io' module (0x5d7c64)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x5d7c84)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0x5d7ca4)
LDR: ! Imported function 'recvfrom' in 'sys_net' module (0x5d7cc4)
LDR: ! Imported function 'listen' in 'sys_net' module (0x5d7ce4)
LDR: ! Imported function 'socketselect' in 'sys_net' module (0x5d7d04)
LDR: ! Imported function 'sys_net_show_nameserver' in 'sys_net' module (0x5d7d24)
LDR: ! Imported function '_sys_net_errno_loc' in 'sys_net' module (0x5d7d44)
LDR: ! Imported function 'connect' in 'sys_net' module (0x5d7d64)
LDR: ! Imported function 'socketclose' in 'sys_net' module (0x5d7d84)
LDR: ! Imported function 'sys_net_show_route' in 'sys_net' module (0x5d7da4)
LDR: ! Imported function 'inet_ntoa' in 'sys_net' module (0x5d7dc4)
LDR: ! Imported function 'setsockopt' in 'sys_net' module (0x5d7de4)
LDR: ! Imported function 'sys_net_abort_socket' in 'sys_net' module (0x5d7e04)
LDR: ! Imported function 'sendto' in 'sys_net' module (0x5d7e24)
LDR: ! Imported function 'socket' in 'sys_net' module (0x5d7e44)
LDR: ! Imported function 'shutdown' in 'sys_net' module (0x5d7e64)
LDR: ! Imported function 'inet_aton' in 'sys_net' module (0x5d7e84)
LDR: ! Imported function 'bind' in 'sys_net' module (0x5d7ea4)
LDR: ! Imported function 'sys_net_show_ifconfig' in 'sys_net' module (0x5d7ec4)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0x5d7ee4)
LDR: ! Imported function 'accept' in 'sys_net' module (0x5d7f04)
LDR: ! Imported function 'inet_addr' in 'sys_net' module (0x5d7f24)
LDR: ! Imported function 'send' in 'sys_net' module (0x5d7f44)
LDR: ! Imported function 'recv' in 'sys_net' module (0x5d7f64)
LDR: ! Imported function 'sys_net_free_thread_context' in 'sys_net' module (0x5d7f84)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0x5d7fa4)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0x5d7fc4)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0x5d7fe4)
LDR: ! Imported function 'cellNetCtlGetInfo' in 'cellNetCtl' module (0x5d8004)
LDR: ! Imported function 'cellNetCtlGetState' in 'cellNetCtl' module (0x5d8024)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0x5d8044)
LDR: ! Imported function 'sceNpBasicSendMessageGui' in 'sceNp' module (0x5d8064)
LDR: ! Imported function 'sceNpBasicGetFriendListEntry' in 'sceNp' module (0x5d8084)
LDR: ! Imported function 'sceNpSignalingGetConnectionInfo' in 'sceNp' module (0x5d80a4)
LDR: ! Imported function 'sceNpScoreGetRankingByRangeAsync' in 'sceNp' module (0x5d80c4)
LDR: ! Imported function 'sceNpScoreDestroyTitleCtx' in 'sceNp' module (0x5d80e4)
LDR: ! Imported function 'sceNpScoreSetTimeout' in 'sceNp' module (0x5d8104)
LDR: ! Imported function 'sceNpScoreInit' in 'sceNp' module (0x5d8124)
LDR: ! Imported function 'sceNpScoreGetRankingByNpIdAsync' in 'sceNp' module (0x5d8144)
LDR: ! Imported function 'sceNpBasicRegisterContextSensitiveHandler' in 'sceNp' module (0x5d8164)
LDR: ! Imported function 'sceNpSignalingAddExtendedHandler' in 'sceNp' module (0x5d8184)
LDR: ! Imported function 'sceNpManagerUnregisterCallback' in 'sceNp' module (0x5d81a4)
LDR: ! Imported function 'sceNpSignalingActivateConnection' in 'sceNp' module (0x5d81c4)
LDR: ! Imported function 'sceNpSignalingCreateCtx' in 'sceNp' module (0x5d81e4)
LDR: ! Imported function 'sceNpBasicRecvMessageAttachmentLoad' in 'sceNp' module (0x5d8204)
LDR: ! Imported function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module (0x5d8224)
LDR: ! Imported function 'sceNpScoreCreateTransactionCtx' in 'sceNp' module (0x5d8244)
LDR: ! Imported function 'sceNpBasicGetBlockListEntryCount' in 'sceNp' module (0x5d8264)
LDR: ! Imported function 'sceNpBasicRecvMessageCustom' in 'sceNp' module (0x5d8284)
LDR: ! Imported function 'sceNpSignalingTerminateConnection' in 'sceNp' module (0x5d82a4)
LDR: ! Imported function 'sceNpScoreTerm' in 'sceNp' module (0x5d82c4)
LDR: ! Imported function 'sceNpScorePollAsync' in 'sceNp' module (0x5d82e4)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0x5d8304)
LDR: ! Imported function 'sceNpBasicGetCustomInvitationEntryCount' in 'sceNp' module (0x5d8324)
LDR: ! Imported function 'sceNpSignalingDestroyCtx' in 'sceNp' module (0x5d8344)
LDR: ! Imported function 'sceNpBasicUnregisterHandler' in 'sceNp' module (0x5d8364)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0x5d8384)
LDR: ! Imported function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module (0x5d83a4)
LDR: ! Imported function 'sceNpManagerGetAccountRegion' in 'sceNp' module (0x5d83c4)
LDR: ! Imported function 'sceNpScoreCreateTitleCtx' in 'sceNp' module (0x5d83e4)
LDR: ! Imported function 'sceNpScoreDestroyTransactionCtx' in 'sceNp' module (0x5d8404)
LDR: ! Imported function 'sceNpSignalingGetConnectionStatus' in 'sceNp' module (0x5d8424)
LDR: ! Imported function 'sceNpProfileCallGui' in 'sceNp' module (0x5d8444)
LDR: ! Imported function 'sceNpUtilCmpNpId' in 'sceNp' module (0x5d8464)
LDR: ! Imported function 'sceNpBasicGetEvent' in 'sceNp' module (0x5d8484)
LDR: ! Imported function 'sceNpManagerRegisterCallback' in 'sceNp' module (0x5d84a4)
LDR: ! Imported function 'sceNpManagerGetChatRestrictionFlag' in 'sceNp' module (0x5d84c4)
LDR: ! Imported function 'sceNpScoreAbortTransaction' in 'sceNp' module (0x5d84e4)
LDR: ! Imported function 'sceNpScoreRecordScoreAsync' in 'sceNp' module (0x5d8504)
LDR: ! Imported function 'sceNpBasicGetBlockListEntry' in 'sceNp' module (0x5d8524)
LDR: ! Imported function 'sceNpSignalingDeactivateConnection' in 'sceNp' module (0x5d8544)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0x5d8564)
LDR: W Unknown module 'sceNp2'
LDR: E Unimplemented function 'sceNpMatching2DestroyContext' in 'sceNp2' module (0x5d8584)
LDR: E Unimplemented function 'sceNpMatching2GetWorldInfoList' in 'sceNp2' module (0x5d85a4)
LDR: E Unimplemented function 'sceNpMatching2SearchRoom' in 'sceNp2' module (0x5d85c4)
LDR: E Unimplemented function 'sceNpMatching2CreateServerContext' in 'sceNp2' module (0x5d85e4)
LDR: E Unimplemented function 'sceNpMatching2LeaveRoom' in 'sceNp2' module (0x5d8604)
LDR: E Unimplemented function 'sceNpMatching2SetRoomDataExternal' in 'sceNp2' module (0x5d8624)
LDR: E Unimplemented function 'sceNpMatching2Term2' in 'sceNp2' module (0x5d8644)
LDR: E Unimplemented function 'sceNpMatching2AbortRequest' in 'sceNp2' module (0x5d8664)
LDR: E Unimplemented function 'sceNpMatching2GetServerInfo' in 'sceNp2' module (0x5d8684)
LDR: E Unimplemented function 'sceNpMatching2GetEventData' in 'sceNp2' module (0x5d86a4)
LDR: ! Imported function 'sceNp2Init' in 'sceNp2' module (0x5d86c4)
LDR: E Unimplemented function 'sceNpMatching2JoinRoom' in 'sceNp2' module (0x5d86e4)
LDR: E Unimplemented function 'sceNpMatching2ContextStartAsync' in 'sceNp2' module (0x5d8704)
LDR: E Unimplemented function 'sceNpMatching2RegisterContextCallback' in 'sceNp2' module (0x5d8724)
LDR: E Unimplemented function 'sceNpMatching2SetRoomDataInternal' in 'sceNp2' module (0x5d8744)
LDR: E Unimplemented function 'sceNpMatching2SignalingGetPingInfo' in 'sceNp2' module (0x5d8764)
LDR: E Unimplemented function 'sceNpMatching2GetServerIdListLocal' in 'sceNp2' module (0x5d8784)
LDR: E Unimplemented function 'sceNpMatching2CreateContext' in 'sceNp2' module (0x5d87a4)
LDR: ! Imported function 'sceNp2Term' in 'sceNp2' module (0x5d87c4)
LDR: E Unimplemented function 'sceNpMatching2RegisterRoomEventCallback' in 'sceNp2' module (0x5d87e4)
LDR: E Unimplemented function 'sceNpMatching2CreateJoinRoom' in 'sceNp2' module (0x5d8804)
LDR: E Unimplemented function 'sceNpMatching2Init2' in 'sceNp2' module (0x5d8824)
LDR: W Unknown module 'cellSysutilAvc2'
LDR: E Unimplemented function 'cellSysutilAvc2GetPlayerInfo' in 'cellSysutilAvc2' module (0x5d8844)
LDR: E Unimplemented function 'cellSysutilAvc2StopStreaming' in 'cellSysutilAvc2' module (0x5d8864)
LDR: E Unimplemented function 'cellSysutilAvc2SetVoiceMuting' in 'cellSysutilAvc2' module (0x5d8884)
LDR: E Unimplemented function 'cellSysutilAvc2StartVoiceDetection' in 'cellSysutilAvc2' module (0x5d88a4)
LDR: E Unimplemented function 'cellSysutilAvc2SetStreamingTarget' in 'cellSysutilAvc2' module (0x5d88c4)
LDR: E Unimplemented function 'cellSysutilAvc2Unload' in 'cellSysutilAvc2' module (0x5d88e4)
LDR: E Unimplemented function 'cellSysutilAvc2JoinChatRequest' in 'cellSysutilAvc2' module (0x5d8904)
LDR: E Unimplemented function 'cellSysutilAvc2StartStreaming' in 'cellSysutilAvc2' module (0x5d8924)
LDR: E Unimplemented function 'cellSysutilAvc2InitParam' in 'cellSysutilAvc2' module (0x5d8944)
LDR: E Unimplemented function 'cellSysutilAvc2LeaveChatRequest' in 'cellSysutilAvc2' module (0x5d8964)
LDR: E Unimplemented function 'cellSysutilAvc2GetSpeakerMuting' in 'cellSysutilAvc2' module (0x5d8984)
LDR: E Unimplemented function 'cellSysutilAvc2SetSpeakerMuting' in 'cellSysutilAvc2' module (0x5d89a4)
LDR: E Unimplemented function 'cellSysutilAvc2Load' in 'cellSysutilAvc2' module (0x5d89c4)
LDR: E Unimplemented function 'cellSysutilAvc2SetAttribute' in 'cellSysutilAvc2' module (0x5d89e4)
LDR: E Unimplemented function 'cellSysutilAvc2GetVoiceMuting' in 'cellSysutilAvc2' module (0x5d8a04)
LDR: W Unknown module 'cellSaveData'
LDR: ! Imported function 'cellSaveDataListDelete' in 'cellSaveData' module (0x5d8a24)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0x5d8a44)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0x5d8a64)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0x5d8a84)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0x5d8aa4)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0x5d8ac4)
LDR: ! Imported function 'sceNpTrophyAbortHandle' in 'sceNpTrophy' module (0x5d8ae4)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0x5d8b04)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0x5d8b24)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0x5d8b44)
LDR: ! Imported function 'sceNpTrophyGetTrophyUnlockState' in 'sceNpTrophy' module (0x5d8b64)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0x5d8b84)
LDR: ! Imported function 'cellRtcGetCurrentClockLocalTime' in 'cellRtc' module (0x5d8ba4)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x5d8bc4)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x5d8be4)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x5d8c04)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x5d8c24)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x5d8c44)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x5d8c64)
LDR: ! Imported function '_sys_heap_malloc' in 'sysPrxForUser' module (0x5d8c84)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0x5d8ca4)
LDR: ! Imported function '_sys_heap_memalign' in 'sysPrxForUser' module (0x5d8cc4)
LDR: ! Imported function '_sys_spu_printf_initialize' in 'sysPrxForUser' module (0x5d8ce4)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0x5d8d04)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0x5d8d24)
LDR: ! Imported function '_sys_heap_free' in 'sysPrxForUser' module (0x5d8d44)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0x5d8d64)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0x5d8d84)
LDR: ! Imported function 'sys_ppu_thread_once' in 'sysPrxForUser' module (0x5d8da4)
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module (0x5d8dc4)
LDR: ! Imported function '_sys_heap_delete_heap' in 'sysPrxForUser' module (0x5d8de4)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0x5d8e04)
LDR: ! Imported function '_sys_heap_create_heap' in 'sysPrxForUser' module (0x5d8e24)
