LDR: E PSFLoader::Load() failed: unknown magic (0x0)
G: ! Stopping emulator...
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES01897-[KINGDOM HEARTS HD 1.5 ReMIX]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES01897-[KINGDOM HEARTS HD 1.5 ReMIX]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES01897-[KINGDOM HEARTS HD 1.5 ReMIX]/
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0x1155b0)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0x1155e8)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x115620)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0x115658)
LDR: ! Imported function 'cellGcmSetTileInfo' in 'cellGcmSys' module (0x115690)
LDR: ! Imported function 'cellGcmInitDefaultFifoMode' in 'cellGcmSys' module (0x1156c8)
LDR: ! Imported function '_cellGcmSetFlipCommandWithWaitLabel' in 'cellGcmSys' module (0x115700)
LDR: ! Imported function 'cellGcmUnbindTile' in 'cellGcmSys' module (0x115738)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x115770)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0x1157a8)
LDR: ! Imported function 'cellSysmoduleUnloadModule' in 'cellSysmodule' module (0x1157e0)
LDR: ! Imported function 'cellSysmoduleLoadModule' in 'cellSysmodule' module (0x115818)
LDR: ! Imported function 'cellSysmoduleIsLoaded' in 'cellSysmodule' module (0x1168f0)
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0x115850)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0x115888)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x1158c0)
LDR: ! Imported function 'cellSysCacheMount' in 'cellSysutil' module (0x1158f8)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x115930)
LDR: ! Imported function 'cellMsgDialogAbort' in 'cellSysutil' module (0x115968)
LDR: ! Imported function 'cellSysCacheClear' in 'cellSysutil' module (0x1159a0)
LDR: ! Imported function 'cellMsgDialogOpen2' in 'cellSysutil' module (0x1159d8)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x115a10)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x115a48)
LDR: ! Imported function 'cellMsgDialogProgressBarInc' in 'cellSysutil' module (0x115a80)
LDR: ! Imported function 'cellMsgDialogProgressBarSetMsg' in 'cellSysutil' module (0x115ab8)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x115af0)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x115b28)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x115b60)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0x116928)
LDR: ! Imported function 'cellAudioOutGetDeviceInfo' in 'cellSysutil' module (0x116960)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x116998)
LDR: ! Imported function 'cellAudioOutGetNumberOfDevice' in 'cellSysutil' module (0x1169d0)
LDR: ! Imported function 'cellAudioOutGetConfiguration' in 'cellSysutil' module (0x116a08)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x116a40)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0x115b98)
LDR: ! Imported function 'cellPadEnd' in 'sys_io' module (0x115bd0)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0x115c08)
LDR: ! Imported function 'cellPadGetInfo2' in 'sys_io' module (0x115c40)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0x115c78)
LDR: ! Imported function 'cellFsRmdir' in 'sys_fs' module (0x115cb0)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x115ce8)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0x115d20)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x115d58)
LDR: ! Imported function 'cellFsSdataOpenByFd' in 'sys_fs' module (0x115d90)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x115dc8)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x115e00)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0x115e38)
LDR: ! Imported function 'cellFsGetDirectoryEntries' in 'sys_fs' module (0x115e70)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x115ea8)
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module (0x115ee0)
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module (0x115f18)
LDR: E Unknown function 'cellFsUtime' in 'sys_fs' module (0x115f50)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x115f88)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x115fc0)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0x115ff8)
LDR: ! Imported function '_cellFiberPpuInitialize' in 'cellFiber' module (0x116030)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0x116068)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0x1160a0)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0x1160d8)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0x116110)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x116a78)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x116ab0)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0x116ae8)
LDR: ! Imported function 'cellSpursCreateTaskset' in 'cellSpurs' module (0x116b20)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x116b58)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x116b90)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0x116bc8)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0x116c00)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0x116c38)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0x116c70)
LDR: ! Imported function '_cellSpursSendSignal' in 'cellSpurs' module (0x116ca8)
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module (0x116148)
LDR: ! Imported function 'cellAudioGetPortTimestamp' in 'cellAudio' module (0x116180)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0x1161b8)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x1161f0)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x116228)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x116260)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x116298)
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module (0x1162d0)
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module (0x116308)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x116ce0)
LDR: ! Imported function 'cellRescSetWaitFlip' in 'cellResc' module (0x116340)
LDR: ! Imported function 'cellRescSetDsts' in 'cellResc' module (0x116378)
LDR: ! Imported function 'cellRescSetDisplayMode' in 'cellResc' module (0x1163b0)
LDR: ! Imported function 'cellRescSetConvertAndFlip' in 'cellResc' module (0x1163e8)
LDR: ! Imported function 'cellRescSetFlipHandler' in 'cellResc' module (0x116420)
LDR: ! Imported function 'cellRescInit' in 'cellResc' module (0x116458)
LDR: ! Imported function 'cellRescGetBufferSize' in 'cellResc' module (0x116490)
LDR: ! Imported function 'cellRescSetSrc' in 'cellResc' module (0x1164c8)
LDR: ! Imported function 'cellRescSetBufferAddress' in 'cellResc' module (0x116500)
LDR: ! Imported function 'cellRescVideoOutResolutionId2RescBufferMode' in 'cellResc' module (0x116538)
LDR: ! Imported function 'cellRescSetVBlankHandler' in 'cellResc' module (0x116570)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0x1165a8)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0x1165e0)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0x116618)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0x116650)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0x116688)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0x1166c0)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0x1166f8)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0x116730)
LDR: ! Imported function 'sceNpTrophyGetTrophyUnlockState' in 'sceNpTrophy' module (0x116768)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0x1167a0)
LDR: ! Imported function 'cellGameContentPermit' in 'cellGame' module (0x1167d8)
LDR: ! Imported function 'cellGameThemeInstallFromBuffer' in 'cellGame' module (0x116810)
LDR: ! Imported function 'cellGameContentErrorDialog' in 'cellGame' module (0x116848)
LDR: ! Imported function 'cellGamePatchCheck' in 'cellGame' module (0x116880)
LDR: ! Imported function 'cellGameBootCheck' in 'cellGame' module (0x1168b8)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x116d18)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x116d50)
LDR: ! Imported function 'sys_lwcond_destroy' in 'sysPrxForUser' module (0x116d88)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x116dc0)
LDR: ! Imported function 'sys_lwcond_wait' in 'sysPrxForUser' module (0x116df8)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x116e30)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x116e68)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x116ea0)
LDR: ! Imported function '_sys_heap_malloc' in 'sysPrxForUser' module (0x116ed8)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0x116f10)
LDR: ! Imported function '_sys_heap_memalign' in 'sysPrxForUser' module (0x116f48)
LDR: ! Imported function 'sys_spinlock_unlock' in 'sysPrxForUser' module (0x116f80)
LDR: ! Imported function 'sys_game_process_exitspawn2' in 'sysPrxForUser' module (0x116fb8)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0x116ff0)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0x117028)
LDR: ! Imported function '_sys_heap_free' in 'sysPrxForUser' module (0x117060)
LDR: ! Imported function 'sys_spinlock_initialize' in 'sysPrxForUser' module (0x117098)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0x1170d0)
LDR: ! Imported function 'sys_spinlock_lock' in 'sysPrxForUser' module (0x117108)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0x117140)
LDR: ! Imported function 'sys_lwmutex_trylock' in 'sysPrxForUser' module (0x117178)
LDR: ! Imported function '_sys_heap_delete_heap' in 'sysPrxForUser' module (0x1171b0)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0x1171e8)
LDR: ! Imported function '_sys_heap_create_heap' in 'sysPrxForUser' module (0x117220)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0x117258)
LDR: ! Imported function 'sys_lwcond_create' in 'sysPrxForUser' module (0x117290)
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module (0x1172c8)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0x117300)
LDR: ! Imported function 'sys_lwcond_signal_all' in 'sysPrxForUser' module (0x117338)
HLE: ! sysPrxForUser: Thread Local Storage initialized (g_tls_start=0x1f7000, user_size=0x144)
*** TLS segment addr: 0x00164f88
*** TLS segment size: 0x00000144
HLE: W {PPU[0x1] Thread (main_thread)[0x0005b690]} sys_memory: sys_memory_allocate(size=0x6e00000, flags=0x400, alloc_addr=*0x19fe78)
HLE: W {PPU[0x1] Thread (main_thread)[0x0005b700]} sys_memory: sys_memory_allocate(size=0xa00000, flags=0x400, alloc_addr=*0x19fe80)
HLE: W {PPU[0x1] Thread (main_thread)[0x0005b788]} sys_semaphore: sys_semaphore_create(sem=*0x165ee8, attr=*0xd000fcd0, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1ab338, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aaac8, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aaaf0, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aab18, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aaa00, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aaa28, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aaa50, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aaa78, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aaaa0, attr=*0x1263b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1aa860, attr=*0xd000fbf0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9de8, attr=*0xd000fbe0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9880, attr=*0xd000fbe0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9cd8, attr=*0xd000fbd0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9cf8, attr=*0xd000fbc0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9d18, attr=*0xd000fbb0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9d38, attr=*0xd000fba0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a96f8, attr=*0xd000fbe0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9788, attr=*0xd000fbd0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9640, attr=*0xd000fbe0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1a9698, attr=*0xd000fbd0)
HLE: W {PPU[0x1] Thread (main_thread)[0x0005f30c]} sys_semaphore: sys_semaphore_create(sem=*0x19ff0c, attr=*0xd000fbe0, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00059350]} sys_semaphore: sys_semaphore_create(sem=*0x19ed10, attr=*0xd000fbb0, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00059398]} sys_semaphore: sys_semaphore_create(sem=*0x19ed24, attr=*0xd000fb90, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x000593e8]} sys_semaphore: sys_semaphore_create(sem=*0x19ed3c, attr=*0xd000fb70, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00059438]} sys_semaphore: sys_semaphore_create(sem=*0x19ed5c, attr=*0xd000fb50, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00054f28]} sys_semaphore: sys_semaphore_create(sem=*0x19ec78, attr=*0xd000fbe0, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x0005e0fc]} sys_semaphore: sys_semaphore_create(sem=*0x200001f4, attr=*0xd000e930, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00053b00]} sys_semaphore: sys_semaphore_create(sem=*0x19ec7c, attr=*0xd000e9c8, initial_val=0, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116dc0]} sysPrxForUser: sys_ppu_thread_create(thread_id=*0xd000e9c0, entry=0x161600, arg=0xffffffffd000e9e8, prio=1031, stacksize=0x8000, flags=0x0, threadname=*0x1274b8)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116dc0]} sys_ppu_thread: _sys_ppu_thread_create(thread_id=*0xd000e9c0, param=*0xd000e948, arg=0xffffffffd000e9e8, unk=0x0, prio=1031, stacksize=0x8000, flags=0x0, threadname=*0x1274b8)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116dc0]} sys_ppu_thread: sys_ppu_thread_start(thread_id=0x20)
HLE: W {PPU[0x20] Thread (SysCacheInit)[0x001158f8]} cellSysutil: cellSysCacheMount(param=*0x19e824)
G: W {PPU[0x20] Thread (SysCacheInit)[0x001158f8]} Error creating directory 'D:/Emulateurs/Rpcs3/dev_hdd1/cache/BLES01897': 0xb7
HLE: E {PPU[0x20] Thread (SysCacheInit)[0x001159a0]} cellSysutil TODO: cellSysCacheClear()
HLE: W {PPU[0x1] Thread (main_thread)[0x00059b90]} sys_semaphore: sys_semaphore_create(sem=*0x26e00258, attr=*0xd000e9c0, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00055e18]} sys_semaphore: sys_semaphore_create(sem=*0x26e002b0, attr=*0xd000e9d0, initial_val=1, max_val=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00116e68]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x26e002d0, attr=*0xd000e970)
HLE: W {PPU[0x1] Thread (main_thread)[0x00115af0]} cellSysutil: cellSysutilRegisterCallback(slot=0, func=*0x161800, userdata=*0x0)
HLE: W {PPU[0x1] Thread (main_thread)[0x0005bbfc]} sys_memory: sys_memory_get_user_memory_size(mem_info=*0xd000eae0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00115dc8]} cellFs: cellFsOpen(path=*0x1187f4, flags=010000, fd=*0xd000ead0, arg=*0x0, size=0x0) -> sys_fs_open()
HLE: W {PPU[0x1] Thread (main_thread)[0x00115dc8]} sys_fs: sys_fs_open(path=*0x1187f4, flags=010000, fd=*0xd000ead0, mode=0, arg=*0x0, size=0x0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00115dc8]} sys_fs: *** path = '/dev_bdvd/PS3_GAME/USRDIR/KHLauncher/Launcher.mself'
HLE: S {PPU[0x1] Thread (main_thread)[0x00115dc8]} Last function: cellFsOpen (0x718bf5f8)
G: W {PPU[0x1] Thread (main_thread)[0x00115dc8]} Registers:
=========
GPR[0] = 0x20202020
GPR[1] = 0xd000ea00
GPR[2] = 0x16c488
GPR[3] = 0x1187f4
GPR[4] = 0x1000
GPR[5] = 0xd000ead0
GPR[6] = 0x0
GPR[7] = 0x0
GPR[8] = 0x200003a8
GPR[9] = 0x2020202020202020
GPR[10] = 0x200003e8
GPR[11] = 0x2020
GPR[12] = 0x200003e8
GPR[13] = 0x1fe030
GPR[14] = 0x0
GPR[15] = 0x15c000
GPR[16] = 0x15b000
GPR[17] = 0x0
GPR[18] = 0x15a000
GPR[19] = 0x100000
GPR[20] = 0x0
GPR[21] = 0x0
GPR[22] = 0x0
GPR[23] = 0x0
GPR[24] = 0x0
GPR[25] = 0x0
GPR[26] = 0x15b000
GPR[27] = 0x15c000
GPR[28] = 0x1
GPR[29] = 0x1187f4
GPR[30] = 0x200001f0
GPR[31] = 0x0
FPR[0] = 0
FPR[1] = 1
FPR[2] = 0
FPR[3] = 0
