HLE: ! path: /dev_hdd0/game/
HLE: W No pause.bin found, Auto Pause will not work.
HLE: W No pause.bin found, Auto Pause will not work.
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\BCES00005-[Formula One Championship Edition]\PS3_GAME\USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BCES00005-[Formula One Championship Edition]/PS3_GAME/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Formula One™ Championship Edition
LDR: ! Serial: BCES00005
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xbe982a0000, g_priv_addr = 0xbf982a0000
MEM: ! Memory initialized.
LDR: E Unimplemented function 'cellPadLddUnregisterController' in 'sys_io' module (0x6ea88c)
LDR: ! Imported function 'cellPadSetPressMode' in 'sys_io' module (0x6ea8ac)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0x6e9cac)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0x6e9ccc)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0x6e9cec)
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module (0x6e9d0c)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0x6e9d2c)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0x6e9d4c)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0x6e9d6c)
LDR: ! Imported function 'cellSpursQueuePopBody' in 'cellSpurs' module (0x6e9d8c)
LDR: ! Imported function 'cellSpursInitialize' in 'cellSpurs' module (0x6e9dac)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0x6e9dcc)
LDR: ! Imported function 'cellSpursRequestIdleSpu' in 'cellSpurs' module (0x6ea3cc)
LDR: ! Imported function 'cellSpursGetInfo' in 'cellSpurs' module (0x6ea3ec)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0x6ea40c)
LDR: ! Imported function 'cellSpursRemoveWorkload' in 'cellSpurs' module (0x6ea42c)
LDR: ! Imported function 'cellSpursWaitForWorkloadShutdown' in 'cellSpurs' module (0x6ea44c)
LDR: ! Imported function 'cellSpursAddWorkload' in 'cellSpurs' module (0x6ea46c)
LDR: ! Imported function 'cellSpursSetPriorities' in 'cellSpurs' module (0x6ea48c)
LDR: ! Imported function 'cellSpursShutdownWorkload' in 'cellSpurs' module (0x6ea4ac)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0x6ea4cc)
LDR: ! Imported function 'cellSpursSetExceptionEventHandler' in 'cellSpurs' module (0x6ea4ec)
LDR: ! Imported function 'cellSpursReadyCountStore' in 'cellSpurs' module (0x6ea50c)
LDR: ! Imported function 'cellSpursQueueDetachLv2EventQueue' in 'cellSpurs' module (0x6ea8cc)
LDR: ! Imported function '_cellSpursQueueInitialize' in 'cellSpurs' module (0x6ea8ec)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x6ea90c)
LDR: ! Imported function 'cellSpursQueueClear' in 'cellSpurs' module (0x6ea92c)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x6ea94c)
LDR: ! Imported function 'cellSpursEventFlagClear' in 'cellSpurs' module (0x6ea96c)
LDR: ! Imported function 'cellSpursEventFlagGetClearMode' in 'cellSpurs' module (0x6ea98c)
LDR: ! Imported function 'cellSpursCreateTaskset' in 'cellSpurs' module (0x6ea9ac)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x6ea9cc)
LDR: ! Imported function 'cellSpursEventFlagTryWait' in 'cellSpurs' module (0x6ea9ec)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x6eaa0c)
LDR: ! Imported function 'cellSpursEventFlagGetDirection' in 'cellSpurs' module (0x6eaa2c)
LDR: ! Imported function 'cellSpursQueuePushBody' in 'cellSpurs' module (0x6eaa4c)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0x6eaa6c)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0x6eaa8c)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0x6eaaac)
LDR: ! Imported function 'cellSpursQueueAttachLv2EventQueue' in 'cellSpurs' module (0x6eaacc)
LDR: ! Imported function 'cellSpursEventFlagSet' in 'cellSpurs' module (0x6eaaec)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x6e9dec)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0x6e9e0c)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x6e9e2c)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x6e9e4c)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x6e9e6c)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x6e9e8c)
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module (0x6e9eac)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x6eac0c)
LDR: ! Imported function 'cellSysutilUnregisterCallback' in 'cellSysutil' module (0x6e9ecc)
LDR: ! Imported function 'cellVideoOutConfigure' in 'cellSysutil' module (0x6e9eec)
LDR: ! Imported function 'cellSysutilCheckCallback' in 'cellSysutil' module (0x6e9f0c)
LDR: ! Imported function 'cellSysutilGetSystemParamInt' in 'cellSysutil' module (0x6e9f2c)
LDR: ! Imported function 'cellAudioOutConfigure' in 'cellSysutil' module (0x6e9f4c)
LDR: ! Imported function 'cellMsgDialogAbort' in 'cellSysutil' module (0x6e9f6c)
LDR: ! Imported function 'cellVideoOutGetState' in 'cellSysutil' module (0x6e9f8c)
LDR: ! Imported function 'cellSysutilGetSystemParamString' in 'cellSysutil' module (0x6e9fac)
LDR: ! Imported function 'cellSysutilRegisterCallback' in 'cellSysutil' module (0x6e9fcc)
LDR: E Unimplemented function 'cellDiscGameGetBootDiscInfo' in 'cellSysutil' module (0x6e9fec)
LDR: ! Imported function 'cellAudioOutGetSoundAvailability' in 'cellSysutil' module (0x6ea00c)
LDR: ! Imported function 'cellGameDataCheckCreate2' in 'cellSysutil' module (0x6ea02c)
LDR: E Unimplemented function 'cellDiscGameRegisterDiscChangeCallback' in 'cellSysutil' module (0x6ea04c)
LDR: ! Imported function 'cellVideoOutGetResolution' in 'cellSysutil' module (0x6ea06c)
LDR: E Unimplemented function 'cellDiscGameUnregisterDiscChangeCallback' in 'cellSysutil' module (0x6ea08c)
LDR: ! Imported function 'cellAudioOutGetState' in 'cellSysutil' module (0x6ea0ac)
LDR: E Unimplemented function 'cellMsgDialogOpen' in 'cellSysutil' module (0x6ea0cc)
LDR: ! Imported function 'cellSaveDataListLoad2' in 'cellSysutil' module (0x6eab0c)
LDR: ! Imported function 'cellSaveDataListSave2' in 'cellSysutil' module (0x6eab2c)
LDR: ! Imported function 'cellSaveDataAutoSave2' in 'cellSysutil' module (0x6eab4c)
LDR: ! Imported function 'cellSaveDataDelete2' in 'cellSysutil' module (0x6eab6c)
LDR: ! Imported function 'cellSaveDataAutoLoad2' in 'cellSysutil' module (0x6eab8c)
LDR: ! Imported function 'cellGcmSetUserHandler' in 'cellGcmSys' module (0x6ea0ec)
LDR: ! Imported function 'cellGcmSetQueueHandler' in 'cellGcmSys' module (0x6ea10c)
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module (0x6ea12c)
LDR: ! Imported function 'cellGcmSetDebugOutputLevel' in 'cellGcmSys' module (0x6ea14c)
LDR: ! Imported function 'cellGcmSetWaitFlip' in 'cellGcmSys' module (0x6ea16c)
LDR: ! Imported function 'cellGcmMapMainMemory' in 'cellGcmSys' module (0x6ea18c)
LDR: ! Imported function 'cellGcmSetFlipHandler' in 'cellGcmSys' module (0x6ea1ac)
LDR: ! Imported function 'cellGcmSetDisplayBuffer' in 'cellGcmSys' module (0x6ea1cc)
LDR: ! Imported function 'cellGcmGetControlRegister' in 'cellGcmSys' module (0x6ea1ec)
LDR: ! Imported function 'cellGcmSetVBlankHandler' in 'cellGcmSys' module (0x6ea20c)
LDR: ! Imported function 'cellGcmSetFlipImmediate' in 'cellGcmSys' module (0x6ea22c)
LDR: ! Imported function 'cellGcmSetGraphicsHandler' in 'cellGcmSys' module (0x6ea24c)
LDR: ! Imported function 'cellGcmSetTile' in 'cellGcmSys' module (0x6ea26c)
LDR: ! Imported function 'cellGcmSetZcull' in 'cellGcmSys' module (0x6ea28c)
LDR: ! Imported function 'cellGcmSetFlip' in 'cellGcmSys' module (0x6ea2ac)
LDR: ! Imported function 'cellGcmGetConfiguration' in 'cellGcmSys' module (0x6ea2cc)
LDR: ! Imported function 'cellGcmGetLabelAddress' in 'cellGcmSys' module (0x6ea2ec)
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module (0x6eabac)
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module (0x6eabcc)
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module (0x6eabec)
LDR: W Unknown module 'cellKey2char'
LDR: E Unimplemented function 'cellKey2CharClose' in 'cellKey2char' module (0x6ea30c)
LDR: E Unimplemented function 'cellKey2CharGetChar' in 'cellKey2char' module (0x6ea32c)
LDR: E Unimplemented function 'cellKey2CharOpen' in 'cellKey2char' module (0x6ea34c)
LDR: E Unimplemented function 'cellKey2CharSetMode' in 'cellKey2char' module (0x6ea36c)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0x6ea38c)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0x6ea3ac)
LDR: ! Imported function 'sceNpTerm' in 'sceNp' module (0x6ea52c)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0x6ea54c)
LDR: ! Imported function 'sceNpDrmProcessExitSpawn2' in 'sceNp' module (0x6ea56c)
HLE: ! sysPrxForUser: Thread Local Storage initialized (g_tls_start=0x72a000, user_size=0x1fc)
*** TLS segment addr: 0x007285f0
*** TLS segment size: 0x00000004
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c78a38, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 3
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c78a10, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 4
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c781a0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 5
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c781c8, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 6
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c781f0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 7
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c780d0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 8
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c78120, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 9
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c78148, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 10
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10c78170, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 11
TTY: Initialising 5*1MB System Containers\n
HLE: W {PPU[1] Thread (main_thread)[0x0001b1a0]} sys_memory: sys_memory_container_create(cid_addr=0x10101b6c, yield_size=0x500000)
HLE: W {PPU[1] Thread (main_thread)[0x0001b1a0]} sys_memory: *** memory_container created(addr=0x20100000): id = 12
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20010120, attr_addr=0xd003f720)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 13
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x200101b8, attr_addr=0xd003f720)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 14
HLE: W {PPU[1] Thread (main_thread)[0x0001ae54]} sys_memory: sys_memory_get_user_memory_size(mem_info_addr=0xd003f7a0)
TTY: ****************************************************\n
TTY: *******PS3 Initial Memory***************************\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: Available User Memory is 258998272 bytes\n
TTY: Total User Memory was 268435456 bytes\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: *******PS3 Heap Initial Sizes***********************\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: Small is 13631488 bytes\n
TTY: String is 61440 bytes\n
TTY: Large is 178257920 bytes\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: ****************************************************\n
TTY: ****************************************************\n
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20900040, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 15
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x209000f0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 16
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x209001e0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 17
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20900280, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 18
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x209002e0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 19
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20900340, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 20
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20900470, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 21
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x209004b0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 22
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x209004f0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 23
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20900530, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 24
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20900570, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 25
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x209005b0, attr_addr=0x1001f594)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x12): sq_id = 26
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10d29bb8, attr_addr=0xd003fb80)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 27
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10115b00, attr_addr=0xd003fb80)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 28
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x10102e28, attr_addr=0xd003fb50)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 29
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x100e04b8, attr_addr=0xd003fb70)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 30
TTY: *** Global Constructor (libc start) ***\n
TTY: /dev_bdvd/PS3_GAME/USRDIR/ is the BD location\n
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20904bc0, attr_addr=0xd003f750)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 31
HLE: W {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: sys_lwmutex_create(lwmutex_addr=0x20904bd8, attr_addr=0xd003f750)
HLE: ! {PPU[1] Thread (main_thread)[0x006e996c]} sys_lwmutex: *** lwmutex created [] (attribute=0x22): sq_id = 32
HLE: W {PPU[1] Thread (main_thread)[0x006e9fcc]} cellSysutil: cellSysutilRegisterCallback(slot=0, func_addr=0x6f3af0, userdata=0x216009e0)
HLE: W {PPU[1] Thread (main_thread)[0x006e98cc]} cellSysmodule: cellSysmoduleLoadModule(id=0x000e: CELL_SYSMODULE_FS)
HLE: W {PPU[1] Thread (main_thread)[0x00049b64]} sys_spu: sys_spu_initialize(max_usable_spu=5, max_raw_spu=0)
HLE: W {PPU[1] Thread (main_thread)[0x006e9dac]} cellSpurs: cellSpursInitialize(spurs_addr=0x21604a00, nSpus=5, spuPriority=128, ppuPriority=600, exitIfNoWork=0)
HLE: W {PPU[1] Thread (main_thread)[0x006e9dac]} sys_process: sys_process_is_spu_lock_line_reservation_address(addr=0x21604a00, flags=0x2)
HLE: W {PPU[1] Thread (main_thread)[0x006e9dac]} sys_semaphore: sys_semaphore_create(sem_addr=0x20600000, attr_addr=0x20601000, initial_count=0, max_count=1)
HLE: ! {PPU[1] Thread (main_thread)[0x006e9dac]} sys_semaphore: *** semaphore created [_spuWkl] (protocol=0x2): id = 33
