LDR: E PSFLoader::Load() failed: unknown magic (0x0)
G: ! RPCS3 v0.0.0.5-2554-gdfeedf2
G: ! 
G: ! Stopping emulator...
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00036/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00036/dev_bdvd.path', 0x1) failed: error 0x2
LDR: ! 
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! 
LDR: ! Settings:
LDR: ! CPU: PPU Interpreter 2
LDR: ! SPU: SPU Recompiler (ASMJIT)
LDR: ! Renderer: DirectX 12
LDR: ! D3D Adapter: Default
LDR: ! Resolution: 1280x720
LDR: ! Write Depth Buffer: No
LDR: ! Write Color Buffers: No
LDR: ! Read Color Buffer: No
LDR: ! Audio Out: XAudio2
LDR: ! Log Everything: No
LDR: ! RSX Logging: No
LDR: ! 
LDR: ! Title: Super Street Fighter 2 Turbo HD
LDR: ! Imported function 'sceNpMatchingSetRoomInfoNoLimit' in 'sceNp' module (0xf9c1b4)
LDR: ! Imported function 'sceNpSignalingActivateConnection' in 'sceNp' module (0xf9c1d4)
LDR: ! Imported function 'sceNpSignalingCreateCtx' in 'sceNp' module (0xf9c1f4)
LDR: ! Imported function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module (0xf9c214)
LDR: ! Imported function 'sceNpScoreCreateTransactionCtx' in 'sceNp' module (0xf9c234)
LDR: ! Imported function 'sceNpMatchingSendInvitationGUI' in 'sceNp' module (0xf9c254)
LDR: ! Imported function 'sceNpSignalingTerminateConnection' in 'sceNp' module (0xf9c274)
LDR: ! Imported function 'sceNpScoreTerm' in 'sceNp' module (0xf9c294)
LDR: ! Imported function 'sceNpMatchingSetRoomSearchFlag' in 'sceNp' module (0xf9c2b4)
LDR: ! Imported function 'sceNpScorePollAsync' in 'sceNp' module (0xf9c2d4)
LDR: ! Imported function 'sceNpManagerGetStatus' in 'sceNp' module (0xf9c2f4)
LDR: ! Imported function 'sceNpSignalingDestroyCtx' in 'sceNp' module (0xf9c314)
LDR: ! Imported function 'sceNpMatchingCreateCtx' in 'sceNp' module (0xf9c334)
LDR: ! Imported function 'sceNpDrmIsAvailable' in 'sceNp' module (0xf9c354)
LDR: ! Imported function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module (0xf9c374)
LDR: ! Imported function 'sceNpScoreCreateTitleCtx' in 'sceNp' module (0xf9c394)
LDR: ! Imported function 'sceNpInit' in 'sceNp' module (0xf9c3b4)
LDR: ! Imported function 'sceNpManagerGetNetworkTime' in 'sceNp' module (0xf9c3d4)
LDR: ! Imported function 'sceNpScoreDestroyTransactionCtx' in 'sceNp' module (0xf9c3f4)
LDR: ! Imported function 'sceNpSignalingGetConnectionStatus' in 'sceNp' module (0xf9c414)
LDR: ! Imported function 'sceNpUtilCmpNpId' in 'sceNp' module (0xf9c434)
LDR: ! Imported function 'sceNpMatchingGetRoomListLimitGUI' in 'sceNp' module (0xf9c454)
LDR: ! Imported function 'sceNpManagerGetChatRestrictionFlag' in 'sceNp' module (0xf9c474)
LDR: ! Imported function 'sceNpScoreRecordScoreAsync' in 'sceNp' module (0xf9c494)
LDR: ! Imported function 'sceNpManagerGetOnlineName' in 'sceNp' module (0xf9c4b4)
LDR: ! Imported function 'sceNpMatchingLeaveRoom' in 'sceNp' module (0xf9c4d4)
LDR: ! Imported function 'sceNpSignalingDeactivateConnection' in 'sceNp' module (0xf9c4f4)
LDR: ! Imported function 'sceNpManagerGetNpId' in 'sceNp' module (0xf9c514)
LDR: ! Imported function 'cellKey2CharClose' in 'cellKey2char' module (0xf9c534)
LDR: ! Imported function 'cellKey2CharGetChar' in 'cellKey2char' module (0xf9c554)
LDR: ! Imported function 'cellKey2CharOpen' in 'cellKey2char' module (0xf9c574)
LDR: ! Imported function 'cellKey2CharSetMode' in 'cellKey2char' module (0xf9c594)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0xf9c5b4)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0xf9c5d4)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0xf9c5f4)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0xf9c614)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0xf9c634)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0xf9c654)
LDR: ! Imported function 'cellPadInfoPressMode' in 'sys_io' module (0xf9c674)
LDR: ! Imported function 'cellPadInit' in 'sys_io' module (0xf9c694)
LDR: ! Imported function 'cellKbGetInfo' in 'sys_io' module (0xf9c6b4)
LDR: ! Imported function 'cellMouseGetData' in 'sys_io' module (0xf9c6d4)
LDR: ! Imported function 'cellPadGetInfo' in 'sys_io' module (0xf9c6f4)
LDR: ! Imported function 'cellKbInit' in 'sys_io' module (0xf9c714)
LDR: ! Imported function 'cellMouseGetInfo' in 'sys_io' module (0xf9c734)
LDR: ! Imported function 'cellPadInfoSensorMode' in 'sys_io' module (0xf9c754)
LDR: ! Imported function 'cellPadGetData' in 'sys_io' module (0xf9c774)
LDR: ! Imported function 'cellKbSetCodeType' in 'sys_io' module (0xf9c794)
LDR: ! Imported function 'cellPadSetSensorMode' in 'sys_io' module (0xf9c7b4)
LDR: ! Imported function 'cellKbEnd' in 'sys_io' module (0xf9c7d4)
LDR: ! Imported function 'cellMouseInit' in 'sys_io' module (0xf9c7f4)
LDR: ! Imported function 'cellPadGetCapabilityInfo' in 'sys_io' module (0xf9c814)
LDR: ! Imported function 'cellKbSetReadMode' in 'sys_io' module (0xf9c834)
LDR: ! Imported function 'cellMouseEnd' in 'sys_io' module (0xf9c854)
LDR: ! Imported function 'cellPadSetActDirect' in 'sys_io' module (0xf9c874)
LDR: ! Imported function 'cellPadSetPressMode' in 'sys_io' module (0xf9c894)
LDR: ! Imported function 'cellKbRead' in 'sys_io' module (0xf9c8b4)
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module (0xf9c8d4)
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module (0xf9c8f4)
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module (0xf9c914)
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module (0xf9c934)
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module (0xf9c954)
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module (0xf9c974)
LDR: ! Imported function 'cellFsFsync' in 'sys_fs' module (0xf9c994)
LDR: ! Imported function 'cellFsAioFinish' in 'sys_fs' module (0xf9c9b4)
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module (0xf9c9d4)
LDR: ! Imported function 'cellFsAioRead' in 'sys_fs' module (0xf9c9f4)
LDR: ! Imported function 'cellFsAioInit' in 'sys_fs' module (0xf9ca14)
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module (0xf9ca34)
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module (0xf9ca54)
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module (0xf9ca74)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0xf9ca94)
LDR: ! Imported function 'recvfrom' in 'sys_net' module (0xf9cab4)
LDR: ! Imported function 'listen' in 'sys_net' module (0xf9cad4)
LDR: ! Imported function 'connect' in 'sys_net' module (0xf9caf4)
LDR: ! Imported function 'socketclose' in 'sys_net' module (0xf9cb14)
LDR: ! Imported function 'setsockopt' in 'sys_net' module (0xf9cb34)
LDR: ! Imported function 'sendto' in 'sys_net' module (0xf9cb54)
LDR: ! Imported function 'socket' in 'sys_net' module (0xf9cb74)
LDR: ! Imported function 'bind' in 'sys_net' module (0xf9cb94)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0xf9cbb4)
LDR: ! Imported function 'accept' in 'sys_net' module (0xf9cbd4)
LDR: ! Imported function 'inet_addr' in 'sys_net' module (0xf9cbf4)
LDR: ! Imported function 'send' in 'sys_net' module (0xf9cc14)
LDR: ! Imported function 'recv' in 'sys_net' module (0xf9cc34)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0xf9cc54)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0xf9cc74)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0xf9cc94)
LDR: ! Imported function 'cellNetCtlGetInfo' in 'cellNetCtl' module (0xf9ccb4)
LDR: ! Imported function 'cellNetCtlGetState' in 'cellNetCtl' module (0xf9ccd4)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0xf9ccf4)
LDR: ! Imported function 'cellRtcGetCurrentClockLocalTime' in 'cellRtc' module (0xf9cd14)
LDR: ! Imported function 'cellRtcSetTick' in 'cellRtc' module (0xf9cd34)
LDR: ! Imported function 'cellRtcSetTime_t' in 'cellRtc' module (0xf9cd54)
LDR: ! Imported function 'cellRtcConvertUtcToLocalTime' in 'cellRtc' module (0xf9cd74)
LDR: ! Imported function 'cellRtcGetTick' in 'cellRtc' module (0xf9cd94)
LDR: ! Imported function 'cellRtcGetTime_t' in 'cellRtc' module (0xf9cdb4)
LDR: ! Imported function 'cellSpursAttributeSetNamePrefix' in 'cellSpurs' module (0xf9cdd4)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0xf9cdf4)
LDR: ! Imported function 'cellSpursCreateJobChainWithAttribute' in 'cellSpurs' module (0xf9ce14)
LDR: ! Imported function '_cellSpursJobChainAttributeInitialize' in 'cellSpurs' module (0xf9ce34)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0xf9ce54)
LDR: ! Imported function 'cellSpursDetachLv2EventQueue' in 'cellSpurs' module (0xf9ce74)
LDR: ! Imported function 'cellSpursCreateTaskset' in 'cellSpurs' module (0xf9ce94)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0xf9ceb4)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0xf9ced4)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0xf9cef4)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0xf9cf14)
LDR: ! Imported function 'cellSpursJobChainAttributeSetName' in 'cellSpurs' module (0xf9cf34)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0xf9cf54)
LDR: ! Imported function 'cellSpursJoinJobChain' in 'cellSpurs' module (0xf9cf74)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0xf9cf94)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0xf9cfb4)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0xf9cfd4)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0xf9cff4)
LDR: ! Imported function '_cellSpursSendSignal' in 'cellSpurs' module (0xf9d014)
LDR: ! Imported function 'cellSpursRunJobChain' in 'cellSpurs' module (0xf9d034)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0xf9d054)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0xf9d074)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0xf9d094)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0xf9d0b4)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0xf9d0d4)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0xf9d0f4)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0xf9d114)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0xf9d134)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0xf9d154)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0xf9d174)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0xf9d194)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0xf9d1b4)
LDR: ! Imported function 'sys_mmapper_allocate_memory' in 'sysPrxForUser' module (0xf9d1d4)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0xf9d1f4)
LDR: ! Imported function 'sys_mmapper_map_memory' in 'sysPrxForUser' module (0xf9d214)
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module (0xf9d234)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0xf9d254)
MEM: ! Thread Local Storage initialized (g_tls_start=0x1b05000, user_size=0x138)
*** TLS segment addr: 0x0131a878
*** TLS segment size: 0x00000008
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146fe58, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00029528]} sys_memory: sys_memory_get_user_memory_size(mem_info=*0xd001fc04)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146fc60, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f3f0, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f418, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f440, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f328, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f350, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f378, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f3a0, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d0d4]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x146f3c8, attr=*0xf9f7f0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bdf4]} cellSysutil: cellSysutilRegisterCallback(slot=0, func=*0x125f700, userdata=*0x0)
HLE: E {PPU[0x1] Thread (main_thread)[0x003933a8]} sys_mmapper: sys_mmapper_allocate_address(size=0x10000000, flags=0x40f, alignment=0x80000000, alloc_addr=*0xd001fab0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9d1d4]} sys_mmapper: sys_mmapper_allocate_memory(size=0x4400000, flags=0x400, mem_id=*0xd001fab4)
HLE: E {PPU[0x1] Thread (main_thread)[0x00f9d214]} sys_mmapper: sys_mmapper_map_memory(addr=0x80000000, mem_id=0xd, flags=0x40000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00331f30]} sys_memory: sys_memory_get_user_memory_size(mem_info=*0xd001fb80)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x0017: CELL_SYSMODULE_IO)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x001c: CELL_SYSMODULE_USBD)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x000e: CELL_SYSMODULE_FS)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x0000: CELL_SYSMODULE_NET)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x0009: CELL_SYSMODULE_RTC)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x0021: CELL_SYSMODULE_KEY2CHAR)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x0011: CELL_SYSMODULE_AUDIO)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9ca14]} cellFs: cellFsAioInit(mount_point=*0x132fde8)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9ca14]} cellFs: *** mount_point = '/dev_hdd0/'
HLE: W {PPU[0x1] Thread (main_thread)[0x002a2cfc]} sys_memory: sys_memory_container_create(cid=*0xd001f800, size=0x300000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bdd4]} cellGame: cellHddGameCheck(version=0, dirName=*0x132fab8, errDialog=0, funcStat=*0x125f728, container=14)
HLE: W {PPU[0x1] Thread (main_thread)[0x002a3274]} sys_memory: sys_memory_container_destroy(cid=0xe)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c954]} cellFs: cellFsOpen(path=*0xd001f908, flags=0, fd=*0x1651698, arg=*0x0, size=0x0) -> sys_fs_open()
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c954]} sys_fs: sys_fs_open(path=*0xd001f908, flags=0, fd=*0x1651698, mode=0, arg=*0x0, size=0x0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c954]} sys_fs: *** path = '/dev_hdd0/game/NPEB00036/USRDIR/flog_ps3.fpg'
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c9f4]} cellFs: cellFsAioRead(aio=*0x1652338, id=*0xd001f800, func=*0x125f718)
HLE: ! {FS AIO Read Thread} cellFs: FS AIO Request(2): fd=3, offset=0x0, buf=*0x165169c, size=0x800, user_data=0x0
HLE: W {PPU[0x1] Thread (main_thread)[0x00028194]} sys_memory: sys_memory_allocate(size=0x100000, flags=0x400, alloc_addr=*0xd001f6b0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c9f4]} cellFs: cellFsAioRead(aio=*0x1652338, id=*0xd001f800, func=*0x125f718)
HLE: ! {FS AIO Read Thread} cellFs: FS AIO Request(3): fd=3, offset=0x800, buf=*0x20000010, size=0x18000, user_data=0x0
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c694]} sys_io: cellPadInit(max_connect=4)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c7f4]} sys_io: cellMouseInit(max_connect=1)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9c714]} sys_io: cellKbInit(max_connect=7)
HLE: E {PPU[0x1] Thread (main_thread)[0x00f9c574]} cellKey2char: cellKey2CharOpen
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9bbb4]} cellSysmodule: cellSysmoduleLoadModule(id=0x0010: CELL_SYSMODULE_GCM_SYS)
HLE: W {PPU[0x1] Thread (main_thread)[0x00028194]} sys_memory: sys_memory_allocate(size=0x3c00000, flags=0x400, alloc_addr=*0xd001f730)
HLE: W {PPU[0x1] Thread (main_thread)[0x00f9b9f4]} cellGcmSys: _cellGcmInitBody(context=**0x146f140, cmdSize=0x400000, ioSize=0x3a00000, ioAddress=0x20100000)
