HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLJM60329-[CLANNAD]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLJM60329-[CLANNAD]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLJM60329-[CLANNAD]/
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: CLANNAD
LDR: ! Serial: BLJM60329
LDR: ! Elf path: /dev_bdvd/PS3_GAME/USRDIR/BOOT.BIN
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0xd29d0f0000, g_priv_addr = 0xd39d0f0000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellRescGetFlipStatus' in 'cellResc' module (0x1f74e8)
LDR: ! Imported function 'cellRescSetVBlankHandler' in 'cellResc' module (0x1f7508)
LDR: ! Imported function 'cellRescCreateInterlaceTable' in 'cellResc' module (0x1f7528)
LDR: ! Imported function 'cellFontCreateRenderer' in 'cellFont' module (0x1f7548)
LDR: ! Imported function 'cellFontGetHorizontalLayout' in 'cellFont' module (0x1f7568)
LDR: ! Imported function 'cellFontDestroyRenderer' in 'cellFont' module (0x1f7588)
LDR: ! Imported function 'cellFontSetupRenderScalePixel' in 'cellFont' module (0x1f75a8)
LDR: E Unimplemented function 'cellFontGetScalePixel' in 'cellFont' module (0x1f75c8)
LDR: ! Imported function 'cellFontSetScalePixel' in 'cellFont' module (0x1f75e8)
LDR: ! Imported function 'cellFontEndLibrary' in 'cellFont' module (0x1f7608)
LDR: ! Imported function 'cellFontBindRenderer' in 'cellFont' module (0x1f7628)
LDR: ! Imported function 'cellFontEnd' in 'cellFont' module (0x1f7648)
LDR: ! Imported function 'cellFontRenderCharGlyphImage' in 'cellFont' module (0x1f7668)
LDR: ! Imported function 'cellFontRenderSurfaceInit' in 'cellFont' module (0x1f7688)
LDR: ! Imported function 'cellFontOpenFontset' in 'cellFont' module (0x1f76a8)
LDR: ! Imported function 'cellFontCloseFont' in 'cellFont' module (0x1f76c8)
LDR: ! Imported function 'cellFontRenderSurfaceSetScissor' in 'cellFont' module (0x1f76e8)
LDR: ! Imported function 'cellFontInitializeWithRevision' in 'cellFont' module (0x1f7708)
LDR: ! Imported function 'cellFontUnbindRenderer' in 'cellFont' module (0x1f7728)
LDR: ! Imported function 'cellFontInitLibraryFreeTypeWithRevision' in 'cellFontFT' module (0x1f7748)
LDR: E Unimplemented function 'UCS2stoSJISs' in 'cellL10n' module (0x1f7768)
LDR: E Unimplemented function 'SJISstoUTF8s' in 'cellL10n' module (0x1f7788)
LDR: E Unimplemented function 'SJIStoUCS2' in 'cellL10n' module (0x1f77a8)
LDR: E Unimplemented function 'UTF8stoSJISs' in 'cellL10n' module (0x1f77c8)
LDR: E Unimplemented function 'SJISstoUCS2s' in 'cellL10n' module (0x1f77e8)
LDR: ! Imported function '_cellSpursLFQueueInitialize' in 'cellSpurs' module (0x1f7808)
LDR: ! Imported function '_cellSpursTasksetAttributeInitialize' in 'cellSpurs' module (0x1f7828)
LDR: ! Imported function 'cellSpursLFQueueAttachLv2EventQueue' in 'cellSpurs' module (0x1f7848)
LDR: ! Imported function 'cellSpursEventFlagDetachLv2EventQueue' in 'cellSpurs' module (0x1f7868)
LDR: ! Imported function 'cellSpursInitializeWithAttribute2' in 'cellSpurs' module (0x1f7888)
LDR: ! Imported function 'cellSpursEventFlagWait' in 'cellSpurs' module (0x1f78a8)
LDR: ! Imported function 'cellSpursEventFlagClear' in 'cellSpurs' module (0x1f78c8)
LDR: ! Imported function '_cellSpursEventFlagInitialize' in 'cellSpurs' module (0x1f78e8)
LDR: ! Imported function 'cellSpursTasksetAttributeSetName' in 'cellSpurs' module (0x1f7908)
LDR: ! Imported function 'cellSpursLFQueueDetachLv2EventQueue' in 'cellSpurs' module (0x1f7928)
LDR: ! Imported function 'cellSpursEventFlagAttachLv2EventQueue' in 'cellSpurs' module (0x1f7948)
LDR: ! Imported function '_cellSpursLFQueuePushBody' in 'cellSpurs' module (0x1f7968)
LDR: ! Imported function '_cellSpursAttributeInitialize' in 'cellSpurs' module (0x1f7988)
LDR: ! Imported function 'cellSpursJoinTaskset' in 'cellSpurs' module (0x1f79a8)
LDR: ! Imported function 'cellSpursShutdownTaskset' in 'cellSpurs' module (0x1f79c8)
LDR: ! Imported function 'cellSpursCreateTask' in 'cellSpurs' module (0x1f79e8)
LDR: ! Imported function 'cellSpursCreateTasksetWithAttribute' in 'cellSpurs' module (0x1f7a08)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0x1f7a28)
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module (0x1f7a48)
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module (0x1f7a68)
LDR: ! Imported function 'cellAudioGetPortTimestamp' in 'cellAudio' module (0x1f7a88)
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module (0x1f7aa8)
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module (0x1f7ac8)
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module (0x1f7ae8)
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module (0x1f7b08)
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module (0x1f7b28)
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module (0x1f7b48)
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module (0x1f7b68)
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module (0x1f7b88)
LDR: ! Imported function 'cellAtracGetBitrate' in 'cellAtrac' module (0x1f7ba8)
LDR: ! Imported function 'cellAtracSetSecondBuffer' in 'cellAtrac' module (0x1f7bc8)
LDR: ! Imported function 'cellAtracGetChannel' in 'cellAtrac' module (0x1f7be8)
LDR: ! Imported function 'cellAtracCreateDecoderExt' in 'cellAtrac' module (0x1f7c08)
LDR: ! Imported function 'cellAtracGetStreamDataInfo' in 'cellAtrac' module (0x1f7c28)
LDR: ! Imported function 'cellAtracAddStreamData' in 'cellAtrac' module (0x1f7c48)
LDR: ! Imported function 'cellAtracGetNextSample' in 'cellAtrac' module (0x1f7c68)
LDR: ! Imported function 'cellAtracGetMaxSample' in 'cellAtrac' module (0x1f7c88)
LDR: ! Imported function 'cellAtracSetDataAndGetMemSize' in 'cellAtrac' module (0x1f7ca8)
LDR: ! Imported function 'cellAtracDeleteDecoder' in 'cellAtrac' module (0x1f7cc8)
LDR: ! Imported function 'cellAtracResetPlayPosition' in 'cellAtrac' module (0x1f7ce8)
LDR: ! Imported function 'cellAtracSetLoopNum' in 'cellAtrac' module (0x1f7d08)
LDR: ! Imported function 'cellAtracDecode' in 'cellAtrac' module (0x1f7d28)
LDR: ! Imported function 'cellAtracIsSecondBufferNeeded' in 'cellAtrac' module (0x1f7d48)
LDR: ! Imported function 'cellAtracGetBufferInfoForResetting' in 'cellAtrac' module (0x1f7d68)
LDR: ! Imported function 'cellAtracGetSecondBufferInfo' in 'cellAtrac' module (0x1f7d88)
LDR: ! Imported function 'cellAtracGetSoundInfo' in 'cellAtrac' module (0x1f7da8)
LDR: ! Imported function 'cellAtracGetRemainFrame' in 'cellAtrac' module (0x1f7dc8)
LDR: W Unknown module 'cellSysutilAvconfExt'
LDR: ! Imported function 'cellVideoOutSetGamma' in 'cellSysutilAvconfExt' module (0x1f7de8)
LDR: ! Imported function 'cellSailGraphicsAdapterGetFrame' in 'cellSail' module (0x1f7e08)
LDR: ! Imported function 'cellSailPlayerSetSoundAdapter' in 'cellSail' module (0x1f7e28)
LDR: ! Imported function 'cellSailGraphicsAdapterPtsToTimePosition' in 'cellSail' module (0x1f7e48)
LDR: ! Imported function 'cellSailPlayerFinalize' in 'cellSail' module (0x1f7e68)
LDR: ! Imported function 'cellSailPlayerSetGraphicsAdapter' in 'cellSail' module (0x1f7e88)
LDR: ! Imported function 'cellSailGraphicsAdapterInitialize' in 'cellSail' module (0x1f7ea8)
LDR: ! Imported function 'cellSailPlayerInitialize2' in 'cellSail' module (0x1f7ec8)
LDR: ! Imported function 'cellSailGraphicsAdapterSetPreferredFormat' in 'cellSail' module (0x1f7ee8)
LDR: ! Imported function 'cellSailMemAllocatorInitialize' in 'cellSail' module (0x1f7f08)
LDR: ! Imported function 'cellSailPlayerOpenStream' in 'cellSail' module (0x1f7f28)
LDR: ! Imported function 'cellSailSoundAdapterInitialize' in 'cellSail' module (0x1f7f48)
LDR: ! Imported function 'cellSailGraphicsAdapterUpdateAvSync' in 'cellSail' module (0x1f7f68)
LDR: ! Imported function 'cellSailSoundAdapterPtsToTimePosition' in 'cellSail' module (0x1f7f88)
LDR: ! Imported function 'cellSailPlayerUnsubscribeEvent' in 'cellSail' module (0x1f7fa8)
LDR: ! Imported function 'cellSailPlayerGetCurrentDescriptor' in 'cellSail' module (0x1f7fc8)
LDR: ! Imported function 'cellSailPlayerAddDescriptor' in 'cellSail' module (0x1f7fe8)
LDR: ! Imported function 'cellSailSoundAdapterGetFrame' in 'cellSail' module (0x1f8008)
LDR: ! Imported function 'cellSailPlayerCloseStream' in 'cellSail' module (0x1f8028)
LDR: ! Imported function 'cellSailDescriptorGetCapabilities' in 'cellSail' module (0x1f8048)
LDR: ! Imported function 'cellSailPlayerBoot' in 'cellSail' module (0x1f8068)
LDR: ! Imported function 'cellSailDescriptorGetStreamType' in 'cellSail' module (0x1f8088)
LDR: ! Imported function 'cellSailPlayerCreateDescriptor' in 'cellSail' module (0x1f80a8)
LDR: ! Imported function 'cellSailPlayerStart' in 'cellSail' module (0x1f80c8)
LDR: ! Imported function 'cellSailPlayerStop' in 'cellSail' module (0x1f80e8)
LDR: ! Imported function 'cellSailSoundAdapterUpdateAvSync' in 'cellSail' module (0x1f8108)
LDR: ! Imported function 'cellSailSoundAdapterGetFormat' in 'cellSail' module (0x1f8128)
LDR: ! Imported function 'cellSailPlayerDestroyDescriptor' in 'cellSail' module (0x1f8148)
LDR: ! Imported function 'cellSailGraphicsAdapterGetFormat' in 'cellSail' module (0x1f8168)
LDR: W Unknown module 'cellPngEnc'
LDR: E Unimplemented function 'cellPngEncClose' in 'cellPngEnc' module (0x1f8188)
LDR: E Unimplemented function 'cellPngEncOpen' in 'cellPngEnc' module (0x1f81a8)
LDR: E Unimplemented function 'cellPngEncQueryAttr' in 'cellPngEnc' module (0x1f81c8)
LDR: E Unimplemented function 'cellPngEncGetStreamInfo' in 'cellPngEnc' module (0x1f81e8)
LDR: E Unimplemented function 'cellPngEncEncodePicture' in 'cellPngEnc' module (0x1f8208)
LDR: E Unimplemented function 'cellPngEncWaitForInput' in 'cellPngEnc' module (0x1f8228)
LDR: E Unimplemented function 'cellPngEncWaitForOutput' in 'cellPngEnc' module (0x1f8248)
LDR: ! Imported function 'sceNpTrophyRegisterContext' in 'sceNpTrophy' module (0x1f8268)
LDR: ! Imported function 'sceNpTrophyCreateHandle' in 'sceNpTrophy' module (0x1f8288)
LDR: ! Imported function 'sceNpTrophyGetRequiredDiskSpace' in 'sceNpTrophy' module (0x1f82a8)
LDR: ! Imported function 'sceNpTrophyDestroyContext' in 'sceNpTrophy' module (0x1f82c8)
LDR: ! Imported function 'sceNpTrophyInit' in 'sceNpTrophy' module (0x1f82e8)
LDR: ! Imported function 'sceNpTrophyGetGameInfo' in 'sceNpTrophy' module (0x1f8308)
LDR: ! Imported function 'sceNpTrophyDestroyHandle' in 'sceNpTrophy' module (0x1f8328)
LDR: ! Imported function 'sceNpTrophyUnlockTrophy' in 'sceNpTrophy' module (0x1f8348)
LDR: ! Imported function 'sceNpTrophyTerm' in 'sceNpTrophy' module (0x1f8368)
LDR: ! Imported function 'sceNpTrophyCreateContext' in 'sceNpTrophy' module (0x1f8388)
LDR: ! Imported function 'sceNpCommerce2Init' in 'sceNpCommerce2' module (0x1f83a8)
LDR: ! Imported function 'sceNpCommerce2GetBGDLAvailability' in 'sceNpCommerce2' module (0x1f83c8)
LDR: ! Imported function 'sceNpCommerce2Term' in 'sceNpCommerce2' module (0x1f83e8)
LDR: ! Imported function 'sceNpCommerce2DestroyCtx' in 'sceNpCommerce2' module (0x1f8408)
LDR: ! Imported function 'sceNpCommerce2DoProductBrowseStartAsync' in 'sceNpCommerce2' module (0x1f8428)
LDR: ! Imported function 'sceNpCommerce2SetBGDLAvailability' in 'sceNpCommerce2' module (0x1f8448)
LDR: ! Imported function 'sceNpCommerce2DoProductBrowseFinishAsync' in 'sceNpCommerce2' module (0x1f8468)
LDR: ! Imported function 'sceNpCommerce2CreateCtx' in 'sceNpCommerce2' module (0x1f8488)
LDR: ! Imported function 'sys_net_initialize_network_ex' in 'sys_net' module (0x1f84a8)
LDR: ! Imported function 'sys_net_finalize_network' in 'sys_net' module (0x1f84c8)
LDR: W Unknown module 'cellHttp'
LDR: E Unimplemented function 'cellHttpInit' in 'cellHttp' module (0x1f84e8)
LDR: E Unimplemented function 'cellHttpsInit' in 'cellHttp' module (0x1f8508)
LDR: E Unimplemented function 'cellHttpEndCookie' in 'cellHttp' module (0x1f8528)
LDR: E Unimplemented function 'cellHttpInitCookie' in 'cellHttp' module (0x1f8548)
LDR: E Unimplemented function 'cellHttpEnd' in 'cellHttp' module (0x1f8568)
LDR: E Unimplemented function 'cellHttpsEnd' in 'cellHttp' module (0x1f8588)
LDR: W Unknown module 'cellSsl'
LDR: E Unimplemented function 'cellSslEnd' in 'cellSsl' module (0x1f85a8)
LDR: E Unimplemented function 'cellSslCertificateLoader' in 'cellSsl' module (0x1f85c8)
LDR: E Unimplemented function 'cellSslInit' in 'cellSsl' module (0x1f85e8)
LDR: ! Imported function 'cellNetCtlNetStartDialogLoadAsync' in 'cellNetCtl' module (0x1f8608)
LDR: ! Imported function 'cellNetCtlNetStartDialogUnloadAsync' in 'cellNetCtl' module (0x1f8628)
LDR: ! Imported function 'cellNetCtlTerm' in 'cellNetCtl' module (0x1f8648)
LDR: ! Imported function 'cellNetCtlInit' in 'cellNetCtl' module (0x1f8668)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0x1f87c8)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0x1f87e8)
LDR: ! Imported function 'sys_lwcond_destroy' in 'sysPrxForUser' module (0x1f8808)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0x1f8828)
LDR: ! Imported function 'sys_prx_load_module' in 'sysPrxForUser' module (0x1f8848)
LDR: ! Imported function 'sys_lwcond_wait' in 'sysPrxForUser' module (0x1f8868)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0x1f8888)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0x1f88a8)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0x1f88c8)
LDR: ! Imported function '_sys_heap_malloc' in 'sysPrxForUser' module (0x1f88e8)
